age	region	kids04	kids59	compositeHourlyWages	education	working	familyIncome
75	62	Ontario	No	No	10.4	13	TRUE	14242
76	43	Prairies	No	No	17.92	14	TRUE	33265
77	28	Ontario	No	No	15.39	15	TRUE	55724
78	35	Atlantic	Yes	No	22.49	18	TRUE	43984
79	46	Atlantic	No	No	19.2	16	TRUE	114890
80	47	Ontario	No	No	15.36	20	TRUE	29012
81	47	Quebec	No	No	10.77	12	TRUE	61923
82	23	Prairies	No	No	6.24	14	TRUE	16361
83	43	Atlantic	Yes	No	0	11	FALSE	44454
84	29	Quebec	Yes	No	0	13.5	FALSE	28619
86	56	Quebec	No	No	0	10	FALSE	20384
87	37	Atlantic	No	No	11.95	11.5	TRUE	44786
88	43	Quebec	No	No	0	13	FALSE	36329
89	31	Ontario	Yes	Yes	6.66	15.5	TRUE	16830
90	46	Ontario	No	No	0	9.3	FALSE	31302
91	33	Prairies	Yes	Yes	17.8	14	TRUE	36545
92	53	Ontario	No	No	14	13.5	TRUE	42722
93	29	Prairies	Yes	No	14.39	14	TRUE	25633
94	48	Ontario	No	No	11.5	12	TRUE	18397
95	40	Atlantic	No	Yes	0	12	FALSE	27078
96	30	Prairies	Yes	Yes	0	12	FALSE	27239
97	39	Prairies	No	No	11.86	10	TRUE	39460
98	30	Quebec	No	Yes	7.8	12	TRUE	18403
99	51	Ontario	No	No	0	12.5	FALSE	28392
100	30	Atlantic	No	No	19.04	16.5	TRUE	24347
101	31	BC	No	No	27.84	15.1	TRUE	10708
102	38	Prairies	Yes	Yes	17	13	TRUE	10623
103	60	BC	No	No	0	10	FALSE	17088
104	47	Atlantic	No	No	6	11	TRUE	27651
106	45	Ontario	No	Yes	8.23	13	TRUE	36683
107	31	Prairies	Yes	No	17.18	13	TRUE	33167
108	60	Quebec	No	No	0	15	FALSE	30176
110	51	Ontario	No	No	15.36	11	TRUE	60650
111	60	Ontario	No	No	0	13	FALSE	9204
112	37	Ontario	Yes	Yes	0	14	FALSE	34506
113	38	Atlantic	No	No	0	12	FALSE	88684
114	60	Prairies	No	No	0	13.3	FALSE	28735
115	43	BC	No	No	11.4	9	TRUE	6246
116	38	Quebec	No	No	5.63	8	TRUE	11124
117	44	Ontario	Yes	No	24.96	18	TRUE	33580
118	40	Prairies	No	Yes	0	12.5	FALSE	46990
119	34	Quebec	Yes	No	10	15.8	TRUE	33365
120	36	Quebec	Yes	No	0	15	FALSE	15324
121	52	Prairies	No	No	24.41	20	TRUE	18379
122	41	Quebec	No	No	18.1	9	TRUE	64473
123	22	Atlantic	Yes	No	6	12	TRUE	15252
124	42	Prairies	No	No	10.25	14.7	TRUE	43702
125	35	Atlantic	No	No	7.15	12	TRUE	21887
126	43	Quebec	No	No	36.68	15	TRUE	14864
127	43	Quebec	No	No	0	14	FALSE	68895
128	46	Atlantic	No	No	21.5	16	TRUE	6361
129	41	Atlantic	No	Yes	10.97	12.5	TRUE	21989
130	48	Atlantic	No	No	3.36	14	TRUE	55183
131	54	Atlantic	No	No	0	9	FALSE	41945
132	26	Prairies	No	No	15.4	16	TRUE	28690
133	54	Quebec	No	No	6.62	13	TRUE	18249
134	46	BC	No	No	21.5	16	TRUE	44936
135	49	Quebec	No	No	11.37	11	TRUE	28043
136	26	Ontario	No	No	10.2	12	TRUE	25024
137	61	Prairies	No	No	0	11.5	FALSE	32970
138	35	Quebec	No	No	6.75	11	TRUE	53906
139	64	Prairies	No	No	0	8	FALSE	12527
140	62	Ontario	No	No	0	13	FALSE	71873
141	44	Atlantic	No	No	5.25	11	TRUE	29895
142	35	Ontario	Yes	No	25.91	14	TRUE	16500
144	56	Atlantic	No	No	0	6	FALSE	7880
146	56	Prairies	No	No	21.7	14	TRUE	32928
147	59	Ontario	No	No	0	9	FALSE	21615
148	27	Prairies	Yes	Yes	6	11	TRUE	18799
149	52	Atlantic	No	No	0	15	FALSE	10132
150	49	Ontario	No	No	8.75	12	TRUE	34594
151	49	Quebec	No	No	6.82	4	TRUE	55111
153	56	Atlantic	No	No	0	14	FALSE	49993
154	35	Quebec	No	Yes	12	13	TRUE	37509
155	27	Ontario	Yes	Yes	11	13	TRUE	13231
156	34	Prairies	No	Yes	10.55	13	TRUE	30623
157	52	Prairies	No	No	19.2	15	TRUE	24061
158	58	Prairies	No	No	5.6	12	TRUE	32461
159	41	Prairies	No	Yes	0	18	FALSE	36429
160	37	Atlantic	No	Yes	21.86	16	TRUE	18676
161	52	Ontario	No	No	0	10	FALSE	41365
162	51	Ontario	No	No	8	12	TRUE	16783
163	56	Quebec	No	No	0	12	FALSE	42115
164	29	Quebec	Yes	Yes	0	12	FALSE	27360
165	65	Prairies	No	No	0	17	FALSE	3224
166	52	Quebec	No	No	0	20	FALSE	13691
167	31	Ontario	Yes	Yes	9	13	TRUE	20535
168	44	BC	No	No	10	13.4	TRUE	46847
169	47	BC	No	No	14.75	17	TRUE	24017
170	35	Atlantic	Yes	Yes	10.93	14	TRUE	46782
171	62	Atlantic	No	No	0	12	FALSE	20801
172	47	Atlantic	No	No	8.25	13	TRUE	14605
173	60	Ontario	No	No	0	12	FALSE	49628
174	53	Ontario	No	No	12	11	TRUE	39190
175	55	Ontario	No	No	0	8	FALSE	18545
176	38	BC	Yes	Yes	0	17	FALSE	38692
177	60	Ontario	No	No	0	13	FALSE	24754
178	27	Atlantic	No	Yes	10.5	10.5	TRUE	16737
179	42	Quebec	No	No	0	16.9	FALSE	9891
180	42	Atlantic	No	No	15.73	18	TRUE	27271
181	34	Ontario	Yes	Yes	10	12.1	TRUE	17782
182	36	BC	No	No	10	12	TRUE	39039
183	65	Atlantic	No	No	0	14.3	FALSE	9208
184	32	Quebec	No	Yes	12.33	11	TRUE	33514
185	27	Quebec	Yes	Yes	0	11	FALSE	32052
186	57	Quebec	No	No	5.85	2.3	TRUE	31728
187	54	Prairies	No	No	0	11	FALSE	10476
188	48	Prairies	No	No	16.46	9	TRUE	24446
189	49	Quebec	No	No	0	7	FALSE	32405
190	33	Ontario	Yes	Yes	0	14	FALSE	29578
191	18	Ontario	No	No	8.89	12	TRUE	18444
192	44	Quebec	No	No	9	11	TRUE	16509
194	32	Atlantic	No	Yes	16.32	16	TRUE	34526
195	45	Prairies	No	No	15.51	14.7	TRUE	11782
197	24	Atlantic	No	No	6.25	15	TRUE	26666
198	64	BC	No	No	0	11	FALSE	21040
200	42	Prairies	No	Yes	0	12	FALSE	55803
201	49	Quebec	No	No	0	6	FALSE	15591
202	56	BC	No	No	25.44	18	TRUE	48797
203	45	Quebec	No	No	9.28	11	TRUE	25205
204	53	Ontario	No	No	0	12	FALSE	38274
205	47	Quebec	No	No	28.53	18.9	TRUE	35823
207	64	Ontario	No	No	0	8	FALSE	25036
208	30	Ontario	Yes	Yes	0	12.5	FALSE	22258
209	47	BC	No	No	12.14	13.4	TRUE	56530
210	23	Ontario	Yes	No	0	14.1	FALSE	26738
211	62	Ontario	No	No	0	8	FALSE	24650
212	27	BC	Yes	Yes	10.52	9.1	TRUE	39854
213	45	Prairies	No	No	0	12.5	FALSE	36914
214	54	Prairies	No	No	16.15	10	TRUE	6262
215	26	Atlantic	No	No	5.42	13	TRUE	31540
217	45	Ontario	No	Yes	0	12	FALSE	79309
218	36	Quebec	No	No	0	19	FALSE	42373
219	24	Quebec	Yes	No	11.42	12.5	TRUE	26039
220	36	Atlantic	No	Yes	5.25	12	TRUE	22706
221	63	Prairies	No	No	0	8	FALSE	15676
222	46	Quebec	No	No	9.77	12	TRUE	13539
223	44	Atlantic	No	No	0	15	FALSE	25164
224	30	Atlantic	No	Yes	0	7	FALSE	27827
225	40	Ontario	Yes	No	9.25	10	TRUE	24804
226	45	Atlantic	No	No	0	10	FALSE	54321
227	32	Quebec	No	Yes	9.52	8.2	TRUE	24898
228	63	Prairies	No	No	0	8	FALSE	33754
229	46	Atlantic	No	No	7.14	12	TRUE	63742
230	41	Atlantic	Yes	No	0	10	FALSE	31595
231	40	Atlantic	No	Yes	0	12.5	FALSE	17736
232	34	BC	Yes	Yes	15.08	14	TRUE	25243
233	41	Ontario	No	Yes	21.39	18	TRUE	6432
234	40	Quebec	Yes	Yes	0	12	FALSE	35136
235	33	Prairies	No	No	0	14	FALSE	11546
236	38	BC	Yes	No	24.96	16	TRUE	43362
238	38	BC	No	Yes	0	14	FALSE	27859
239	53	Atlantic	No	No	8.11	10.5	TRUE	17259
240	28	Ontario	No	No	14.96	16.1	TRUE	45300
241	55	Ontario	No	No	0	11	FALSE	29811
242	36	BC	No	No	11.4	16	TRUE	43313
243	34	Atlantic	Yes	Yes	9.86	15	TRUE	27035
244	36	Prairies	Yes	No	0	12	FALSE	28604
245	37	Prairies	No	No	12.51	14	TRUE	48877
246	40	BC	No	No	18.94	11	TRUE	24350
247	37	Prairies	No	No	13.96	17	TRUE	55098
248	34	Ontario	Yes	Yes	5.17	17.3	TRUE	33787
249	56	Prairies	No	No	23.6	17	TRUE	0
250	50	Prairies	No	No	6	13	TRUE	17408
251	32	Quebec	Yes	Yes	14.65	13.5	TRUE	17156
252	32	Ontario	Yes	Yes	0	11	FALSE	47677
254	34	Ontario	No	No	27.8	12	TRUE	11141
255	33	BC	No	No	23	19.1	TRUE	9673
256	51	Prairies	No	No	18.04	15.8	TRUE	799
257	58	Ontario	No	No	15	17	TRUE	23854
258	63	Ontario	No	No	7.31	11	TRUE	36620
259	40	Prairies	No	No	19.1	15.2	TRUE	36459
260	33	Ontario	No	No	13.88	12	TRUE	37023
261	36	Prairies	No	Yes	20.35	13	TRUE	11932
262	57	Ontario	No	No	16	11	TRUE	61423
263	30	Quebec	Yes	No	8	11.5	TRUE	15198
264	29	BC	No	No	19.15	15	TRUE	70087
265	31	Quebec	No	Yes	9.86	13.3	TRUE	19263
266	37	Atlantic	Yes	Yes	24.73	16.1	TRUE	16364
267	52	Quebec	No	No	0	11	FALSE	13450
268	35	Ontario	No	Yes	0	11	FALSE	16289
269	51	Quebec	No	No	0	12	FALSE	37315
270	31	Ontario	No	Yes	9.22	13	TRUE	37988
271	49	BC	No	No	8	12	TRUE	17027
272	35	Quebec	No	Yes	0	11	FALSE	639
273	31	Quebec	Yes	No	0	14	FALSE	6128
274	35	Prairies	Yes	Yes	0	17	FALSE	31684
275	55	Quebec	No	No	8.23	6	TRUE	1184
277	51	Prairies	No	No	0	10	FALSE	607
278	48	Atlantic	No	No	34.29	20	TRUE	58253
279	31	Prairies	Yes	Yes	0	15.7	FALSE	35591
280	52	Ontario	No	No	0	14	FALSE	180333
281	31	Atlantic	Yes	Yes	7.44	12.5	TRUE	14307
283	43	Atlantic	No	Yes	17.48	14.5	TRUE	25110
284	36	Prairies	No	No	26.4	14	TRUE	24863
285	34	Prairies	No	Yes	11.32	12.5	TRUE	12144
286	58	Atlantic	No	No	0	11.5	FALSE	24783
287	22	Prairies	No	No	7.5	12	TRUE	2790
288	55	Quebec	No	No	0	13	FALSE	21961
289	60	Quebec	No	No	0	7.5	FALSE	19733
290	61	Quebec	No	No	0	9	FALSE	35486
291	46	Ontario	No	No	0	13.3	FALSE	26358
292	31	Ontario	Yes	Yes	0	12	FALSE	41091
293	40	Prairies	No	No	5.75	10	TRUE	39762
294	63	Quebec	No	No	0	6	FALSE	0
295	51	Atlantic	No	No	11.26	13	TRUE	52245
296	59	Prairies	No	No	0	10	FALSE	18749
297	61	Ontario	No	No	0	8.5	FALSE	5442
298	48	Prairies	No	No	0	12	FALSE	32810
299	39	Ontario	No	Yes	17.6	16.9	TRUE	39320
300	30	Atlantic	Yes	No	15.51	20	TRUE	15773
301	47	Atlantic	No	No	15	13	TRUE	21858
302	62	BC	No	No	0	13	FALSE	24355
304	60	Prairies	No	No	0	12.5	FALSE	61687
305	37	Quebec	No	Yes	0	10	FALSE	6247
306	56	Atlantic	No	No	0	10	FALSE	11195
307	38	Atlantic	No	No	9.35	10	TRUE	36657
308	57	Prairies	No	No	10.83	12.5	TRUE	40719
309	40	Prairies	No	Yes	0	14	FALSE	38275
311	49	Atlantic	No	No	6	12	TRUE	32479
313	26	Quebec	Yes	No	0	12	FALSE	21630
314	56	Prairies	No	No	10.19	9	TRUE	13696
315	30	Ontario	Yes	Yes	17.14	12.5	TRUE	34535
316	47	Prairies	No	No	10.63	15	TRUE	64866
317	52	Quebec	No	No	0	8	FALSE	52398
318	35	Ontario	No	Yes	7	8	TRUE	24292
319	48	Ontario	No	No	0	13	FALSE	37481
321	54	Atlantic	No	No	0	8	FALSE	17205
322	49	Ontario	No	No	0	13	FALSE	41611
323	34	Quebec	Yes	Yes	19.2	14	TRUE	35604
324	46	Prairies	No	No	8	5	TRUE	45450
325	36	Ontario	No	Yes	12	14.1	TRUE	36904
326	42	Quebec	No	No	0	14	FALSE	23199
327	34	Atlantic	Yes	Yes	9.5	13	TRUE	31422
328	48	Prairies	No	No	13.06	16.2	TRUE	11456
329	24	Ontario	Yes	No	8.5	14	TRUE	17313
330	46	Atlantic	No	No	19.2	15	TRUE	24681
331	36	Ontario	No	Yes	19.67	12	TRUE	32527
332	59	Atlantic	No	No	0	9	FALSE	21542
333	34	Atlantic	No	Yes	6.25	12	TRUE	9282
336	29	Quebec	Yes	No	0	11	FALSE	24504
337	28	Ontario	Yes	No	0	13	FALSE	38995
338	26	Ontario	Yes	No	0	12	FALSE	19612
339	27	Quebec	Yes	No	0	9.4	FALSE	15155
340	32	Quebec	No	Yes	0	6	FALSE	12328
341	32	Atlantic	No	No	13.68	12	TRUE	42532
342	43	Quebec	No	No	24.15	17.5	TRUE	22927
343	48	Ontario	No	Yes	0	10	FALSE	25041
344	34	Ontario	No	Yes	15.92	20	TRUE	47090
345	42	Atlantic	No	Yes	6.5	9	TRUE	3131
346	42	Ontario	No	No	0	12.5	FALSE	44267
347	37	Ontario	No	Yes	12	14	TRUE	41599
348	26	Prairies	No	No	8.53	19	TRUE	18812
349	25	Quebec	Yes	No	0	10	FALSE	22222
350	35	Atlantic	No	Yes	5.26	13	TRUE	11185
351	61	Quebec	No	No	0	11	FALSE	60516
352	42	Quebec	No	No	12.62	15	TRUE	44543
353	58	Prairies	No	No	5.17	18	TRUE	36796
354	47	Atlantic	No	No	0	9	FALSE	6961
355	27	Ontario	Yes	No	12.8	12.5	TRUE	25133
356	43	Ontario	No	No	7.5	18.8	TRUE	38332
357	55	BC	No	No	0	13.2	FALSE	53388
358	29	BC	Yes	Yes	15.25	12.5	TRUE	28264
359	52	Ontario	No	No	7	16	TRUE	62299
360	43	Ontario	No	No	11.3	12	TRUE	56244
361	46	Atlantic	No	No	17.41	15.3	TRUE	43105
362	56	Prairies	No	No	0	10	FALSE	25744
363	32	Prairies	Yes	No	13.35	13	TRUE	29768
364	59	BC	No	No	25	12	TRUE	58580
365	36	Ontario	Yes	Yes	0	12.5	FALSE	57637
366	35	Prairies	No	No	12.11	12	TRUE	45073
367	32	Prairies	No	Yes	3.07	12.5	TRUE	22119
368	38	Ontario	No	Yes	15.43	17.8	TRUE	49524
369	53	Atlantic	No	No	0	7	FALSE	21919
370	45	Quebec	No	Yes	10.03	7	TRUE	19325
371	55	Quebec	No	No	6	6	TRUE	21915
372	59	Prairies	No	No	0	11.5	FALSE	25778
373	38	Prairies	Yes	Yes	0	16.5	FALSE	41952
374	32	Quebec	No	Yes	12.09	12	TRUE	27584
375	46	Ontario	No	No	16.22	15	TRUE	41829
376	28	BC	Yes	No	0	12	FALSE	38503
377	63	Atlantic	No	Yes	0	5	FALSE	41771
378	29	Ontario	Yes	No	13.65	14.5	TRUE	38465
379	30	Ontario	No	No	16.8	17	TRUE	48962
380	29	Quebec	No	No	10.73	12	TRUE	27333
381	63	Prairies	No	No	5.25	11	TRUE	12366
382	31	Ontario	Yes	No	8.5	13	TRUE	21191
383	56	Ontario	No	No	0	10.5	FALSE	7293
384	44	Prairies	No	No	9.16	14	TRUE	58498
385	33	Quebec	Yes	No	11.78	17	TRUE	36827
386	39	Ontario	No	No	20.29	20	TRUE	62129
387	24	Ontario	Yes	No	0	16	FALSE	27673
388	64	Atlantic	No	No	0	5	FALSE	12531
389	43	Prairies	No	No	20.95	18	TRUE	47603
390	49	BC	No	No	15.62	12.5	TRUE	41536
391	42	Prairies	No	No	0	14	FALSE	46262
392	35	Prairies	Yes	Yes	9.6	16	TRUE	30097
393	47	BC	No	No	0	10	FALSE	52074
394	21	Atlantic	Yes	No	0	12	FALSE	48642
395	42	Prairies	No	No	9.2	17	TRUE	28958
396	48	Atlantic	No	No	21.06	16	TRUE	34427
397	49	Ontario	No	No	14.75	16	TRUE	47156
398	55	Quebec	No	No	0	4	FALSE	5691
399	62	BC	No	No	0	8	FALSE	28067
400	45	Atlantic	No	No	5.66	13	TRUE	6911
401	39	Atlantic	No	No	13.68	12.2	TRUE	47579
403	40	Ontario	No	Yes	17.45	17	TRUE	25105
404	46	Ontario	No	No	16	16.5	TRUE	92734
405	57	BC	No	No	0	15	FALSE	60105
406	53	Quebec	No	No	0	7	FALSE	34761
407	43	Prairies	No	No	18.19	15.5	TRUE	24433
408	51	Atlantic	No	No	0	12	FALSE	33169
409	34	Quebec	No	No	38.5	12	TRUE	22832
410	34	Atlantic	No	Yes	7.25	10	TRUE	19974
411	39	Quebec	No	No	12.02	11.5	TRUE	23450
412	30	Atlantic	Yes	Yes	15.91	12	TRUE	7457
413	59	Prairies	No	No	0	12	FALSE	19336
414	28	Ontario	Yes	No	11.6	12.3	TRUE	45634
415	35	Prairies	No	Yes	13.64	13	TRUE	28422
416	43	Atlantic	No	No	0	13	FALSE	57949
417	35	Atlantic	Yes	No	10.04	13	TRUE	13936
418	43	Ontario	No	No	0	14	FALSE	47833
419	45	Atlantic	No	No	8	12	TRUE	5504
420	31	Quebec	Yes	Yes	14	17	TRUE	12469
421	40	Ontario	No	Yes	9.65	14	TRUE	46462
422	47	Prairies	No	No	28.65	17	TRUE	15159
423	35	Quebec	No	No	0	14	FALSE	32530
424	26	Prairies	No	No	19.1	16.8	TRUE	16763
425	40	BC	No	Yes	7.63	13	TRUE	20803
426	24	Ontario	Yes	No	0	10.6	FALSE	32137
427	36	Ontario	No	Yes	21.33	20	TRUE	30751
428	37	Prairies	No	No	17.84	12	TRUE	61919
429	51	Ontario	No	No	22.99	12.5	TRUE	13714
430	36	Atlantic	No	No	12.52	13	TRUE	18130
431	48	Quebec	No	No	0	7	FALSE	41023
432	25	Quebec	Yes	No	0	8	FALSE	15144
433	46	Quebec	No	No	18.43	12	TRUE	28954
434	43	Ontario	No	No	21.12	17	TRUE	43311
435	42	Prairies	No	No	0	13.5	FALSE	20724
437	54	Atlantic	No	No	0	16	FALSE	0
438	31	Ontario	Yes	Yes	19.94	12	TRUE	30689
439	62	Ontario	No	No	21.43	12	TRUE	18055
440	48	Atlantic	No	No	0	9	FALSE	10312
441	57	Prairies	No	No	0	12.5	FALSE	31022
442	31	Prairies	No	No	16.3	12	TRUE	40528
443	33	Atlantic	No	Yes	0	11	FALSE	16843
444	54	Quebec	No	No	0	11	FALSE	34617
445	57	Prairies	No	No	0	12	FALSE	15631
446	42	Ontario	No	Yes	17.67	13	TRUE	28742
447	44	Quebec	No	No	0	13	FALSE	72213
448	43	Prairies	No	No	21	14	TRUE	24231
449	43	Ontario	No	No	16	13	TRUE	30920
450	47	Quebec	No	No	16.64	11	TRUE	39222
451	21	Prairies	No	No	9.05	12	TRUE	21608
452	38	Quebec	No	Yes	24	11	TRUE	35835
453	30	Prairies	Yes	No	11	12	TRUE	22802
454	34	Prairies	No	No	9.02	14	TRUE	20041
455	44	Atlantic	No	No	0	11.5	FALSE	18311
456	50	Prairies	No	No	9.2	15.1	TRUE	24608
458	33	BC	Yes	No	15.85	17	TRUE	28568
459	25	Atlantic	No	No	9.08	12	TRUE	15954
460	52	Quebec	No	No	0	13	FALSE	50350
461	24	Prairies	No	No	0	15	FALSE	19988
462	41	Ontario	No	No	0	9	FALSE	101886
463	44	Ontario	No	No	29.53	17	TRUE	42788
464	48	Prairies	No	No	15.18	13	TRUE	47458
465	57	Quebec	No	No	13.64	14	TRUE	0
466	42	Quebec	No	No	0	12	FALSE	16211
467	52	Ontario	No	No	0	5	FALSE	52049
468	34	BC	Yes	No	13.5	15	TRUE	38584
469	41	Atlantic	No	No	7.29	11.5	TRUE	15779
470	51	Prairies	No	No	14.32	10	TRUE	55679
471	36	Quebec	No	Yes	0	9.2	FALSE	12715
472	54	BC	No	No	15	10	TRUE	29418
473	33	Atlantic	No	Yes	0	12.5	FALSE	29293
474	47	Atlantic	No	No	0	18.3	FALSE	40584
475	43	Ontario	No	No	32.91	18	TRUE	57962
476	57	BC	No	No	0	15	FALSE	13292
477	60	Prairies	No	No	0	12	FALSE	17303
478	25	Atlantic	No	No	22.02	13	TRUE	15783
479	44	Quebec	No	No	9.6	8	TRUE	34231
480	34	Quebec	No	Yes	19.47	12.5	TRUE	40952
481	38	Prairies	No	No	12	12	TRUE	25247
482	31	BC	Yes	No	26	18	TRUE	46525
483	41	Ontario	No	No	0	12.5	FALSE	38162
484	51	Ontario	No	No	0	14.5	FALSE	51631
485	32	Ontario	Yes	Yes	28.54	15	TRUE	27039
486	34	Atlantic	Yes	No	12.07	13.6	TRUE	24116
487	39	Atlantic	No	No	8.95	9	TRUE	14769
488	34	Atlantic	No	Yes	12.14	12.5	TRUE	20812
489	33	Prairies	Yes	Yes	17.42	16	TRUE	25255
490	55	Ontario	No	No	0	9	FALSE	33328
491	30	Ontario	Yes	No	12.86	13	TRUE	27994
492	34	Prairies	Yes	No	18.22	17	TRUE	24267
493	28	Ontario	Yes	Yes	13.6	16	TRUE	5293
494	41	Quebec	No	No	23.46	15.8	TRUE	47859
495	44	Atlantic	No	No	0	10	FALSE	27884
496	28	Ontario	Yes	No	18.25	17	TRUE	35511
497	33	Quebec	Yes	No	16.38	12	TRUE	31061
498	40	Prairies	No	No	6	12	TRUE	21692
499	41	Ontario	No	No	19	11	TRUE	38251
500	38	Atlantic	No	No	0	10	FALSE	25899
501	35	Ontario	Yes	Yes	34.67	17	TRUE	46776
502	56	Ontario	No	No	11.25	10.5	TRUE	26477
503	62	Ontario	No	No	0	8	FALSE	21233
504	45	Ontario	No	No	7	14	TRUE	44732
505	50	Ontario	No	No	23.04	13.5	TRUE	43206
506	37	Atlantic	Yes	Yes	11.62	13	TRUE	25567
507	27	Prairies	Yes	No	14.97	12.5	TRUE	24661
508	32	Ontario	No	Yes	20.1	17.1	TRUE	32726
509	31	Ontario	No	Yes	13.91	18	TRUE	59154
510	27	Prairies	Yes	No	15	12	TRUE	87584
511	55	BC	No	No	0	12	FALSE	22030
512	30	Ontario	Yes	No	14.85	12	TRUE	25398
513	27	Quebec	Yes	No	13.17	13	TRUE	12186
514	41	Prairies	No	Yes	0	12	FALSE	18028
515	46	Atlantic	No	No	0	9	FALSE	20195
516	53	Ontario	No	No	12	12	TRUE	65800
517	57	Ontario	No	No	0	12	FALSE	23866
518	27	Prairies	Yes	No	12.87	8	TRUE	30026
519	24	Ontario	No	No	9.56	17	TRUE	28608
520	62	Prairies	No	No	0	8	FALSE	16551
521	42	Prairies	No	No	11.5	19	TRUE	40714
522	37	Atlantic	No	No	12	14.1	TRUE	13850
523	61	Quebec	No	No	0	11	FALSE	34891
524	38	Atlantic	No	No	0	11	FALSE	19451
525	29	Atlantic	No	Yes	0	12	FALSE	18007
526	52	Ontario	No	No	27.73	17	TRUE	34586
527	26	Ontario	Yes	No	10	14	TRUE	18942
528	59	Prairies	No	No	0	11	FALSE	29246
529	45	Quebec	No	No	0	9	FALSE	30058
530	37	Ontario	No	Yes	9.83	14	TRUE	29001
531	60	Ontario	No	No	0	8	FALSE	25539
532	45	Prairies	No	No	12	11	TRUE	5932
534	55	Atlantic	No	No	9.22	13	TRUE	38880
535	41	Ontario	No	No	22.23	16	TRUE	336
536	56	Prairies	No	No	8	12	TRUE	15206
537	30	Prairies	Yes	No	10.56	12.1	TRUE	34084
538	41	Ontario	No	No	12	13.5	TRUE	43180
