vote age men economic.cond.national economic.cond.household Blair Hague Kennedy Europe political.knowledge
67  Labour                72  0   4   4   4   4   4   11  2
68  Labour                35  1   4   4   5   2   4    3  2
69  Labour                68  0   4   4   4   2   4   11  0
70  "Liberal Democrat"    67  1   4   3   2   1   4    6  2
71  Labour                64  0   4   4   4   2   4    2  3
72  Labour                39  1   4   3   4   2   2    5  0
73  Conservative          88  0   3   3   4   4   4   11  0
74  "Liberal Democrat"    40  1   4   4   4   1   4    4  3
75  Labour                43  1   4   3   4   2   4    6  2
76  "Liberal Democrat"    53  1   4   4   4   2   4    5  3
77  "Liberal Democrat"    42  0   4   3   4   2   4    4  2
78  "Liberal Democrat"    38  1   3   3   4   4   4    4  2
79  Labour                66  0   2   1   4   2   3    6  0
80  Labour                76  0   4   3   4   2   4    3  2
81  Labour                44  0   2   2   4   2   3    8  0
82  Labour                43  0   2   4   2   4   2    5  0
83  Conservative          78  0   3   3   4   4   4   11  0
84  Labour                47  0   3   4   4   4   4    3  0
85  Labour                65  0   2   2   4   2   4    5  2
86  "Liberal Democrat"    74  1   4   3   4   2   4    3  2
87  Conservative          53  0   3   4   2   2   3    6  0
88  "Liberal Democrat"    28  0   2   3   4   4   4   11  2
89  Labour                56  0   2   2   4   1   3    4  2
90  "Liberal Democrat"    82  1   4   4   4   1   5    5  3
91  Labour                55  1   3   3   4   1   4    4  2
92  Conservative          49  0   1   1   2   4   3    8  3
93  Conservative          77  1   3   4   4   4   4    8  3
94  Labour                84  1   5   5   5   2   4    1  0
95  Labour                65  0   3   3   4   2   2    6  0
96  Labour                81  0   4   4   5   1   4    5  3
97  Labour                41  0   3   3   4   4   3    5  2
98  Labour                45  1   3   2   2   2   3   10  0
99  "Liberal Democrat"    74  1   3   4   2   4   4    1  0
100 Labour                67  1   3   4   5   1   4   11  0
101 Labour                40  1   4   4   4   2   4    6  0
102 Labour                71  1   3   4   4   2   4    3  2
103 Labour                49  0   3   3   4   2   4    6  2
104 Conservative          70  0   2   3   2   4   4    8  2
105 "Liberal Democrat"    61  1   2   2   4   2   3    7  2
106 Labour                60  0   1   3   1   4   1    8  0
107 Labour                67  1   4   3   4   2   2    4  0
108 Labour                76  1   3   3   5   1   5    1  2
109 "Liberal Democrat"    69  0   3   2   4   4   2    9  0
110 Labour                31  1   1   1   2   4   4   11  0
111 Labour                47  1   3   3   4   1   2    4  2
112 Labour                62  1   3   3   2   2   2    3  0
113 Labour                56  0   3   3   4   4   3    8  0
114 Conservative          66  0   3   2   2   3   3    2  0
115 Labour                62  0   3   3   4   2   3    5  2
116 Labour                63  0   4   4   5   4   2   11  3
117 Labour                48  1   4   3   4   2   2    6  0
118 "Liberal Democrat"    64  0   4   4   4   2   4    8  2
119 Labour                89  0   4   3   4   4   3    4  2
120 Labour                68  0   4   3   4   2   2   11  0
121 Conservative          81  1   2   4   2   1   4    8  0
122 Labour                74  1   3   2   4   2   4    1  2
123 Labour                83  0   4   2   5   1   2    5  0
124 Labour                57  0   4   4   4   2   4   11  2
125 Labour                70  1   4   3   4   2   4    6  2
126 Conservative          79  0   3   3   2   2   3    9  2
127 Labour                46  1   4   3   4   4   2    2  2
128 Labour                41  1   4   4   4   2   2    3  2
129 Labour                53  0   4   3   4   4   4    7  0
130 Labour                29  0   3   4   2   4   4    4  0
131 Labour                44  0   3   2   4   4   3    7  3
132 Conservative          92  0   3   3   4   4   3    8  2
133 Conservative          73  0   2   2   4   4   2    7  2
134 Conservative          58  1   2   3   2   4   3    5  2
135 "Liberal Democrat"    60  1   4   3   2   3   4    6  2
136 Conservative          73  1   3   3   2   4   2    6  0
137 Conservative          76  0   4   3   4   5   3    3  0
138 Labour                55  0   4   4   4   4   2    6  2
139 Conservative          49  1   3   3   2   5   1   10  3
140 Labour                66  0   3   3   2   4   2    1  0
141 Labour                35  1   4   3   4   2   4    4  3
142 Labour                62  0   4   3   5   2   4    1  2
143 Labour                61  1   4   2   4   3   3    3  0
144 Labour                34  0   2   4   4   1   3    6  0
145 "Liberal Democrat"    79  0   3   3   2   2   4    1  2
146 Labour                39  0   4   2   4   4   3    6  0
147 Labour                69  0   3   2   4   2   2    8  2
148 Labour                61  0   4   4   4   2   2    6  0
149 Labour                50  1   3   3   5   2   4    6  0
150 Labour                33  0   2   3   4   4   4    3  2
151 Labour                33  0   3   3   4   2   3    6  2
152 Conservative          65  0   4   2   1   4   4   11  2
153 Labour                49  0   3   3   2   2   3    6  2
154 Labour                72  1   4   4   4   2   2    8  2
155 Labour                70  0   3   4   5   2   4    1  2
156 Labour                75  0   3   3   5   3   3    4  2
157 Labour                24  1   3   5   4   1   2    4  0
158 Labour                39  0   4   3   5   1   1   11  0
159 "Liberal Democrat"    55  1   4   4   2   2   4    4  0
160 Labour                67  0   1   3   2   4   2   11  0
161 Labour                37  0   4   4   4   4   2    6  0
162 Labour                51  1   3   3   4   1   4    6  2
163 Conservative          79  0   2   3   2   4   2    5  0
164 Labour                65  0   4   4   4   2   4    4  2
165 Labour                70  0   3   2   4   2   1    3  2
166 Conservative          53  1   1   3   1   4   4    6  2
167 Labour                68  0   3   4   4   4   4    4  2
168 Labour                83  1   3   4   4   4   3    3  2
169 "Liberal Democrat"    35  0   3   3   1   2   5    5  3
170 "Liberal Democrat"    31  0   3   3   4   1   5    3  0
171 Labour                33  0   4   3   4   1   1    5  2
172 Labour                60  0   4   3   4   1   4    3  2
173 "Liberal Democrat"    26  0   4   4   4   2   4    5  2
174 Labour                51  1   4   4   4   2   4    2  3
175 "Liberal Democrat"    42  1   4   3   2   1   4    3  3
176 Labour                55  0   4   4   4   1   4    2  2
177 "Liberal Democrat"    41  1   4   3   4   4   4    1  2
178 Conservative          40  0   3   2   2   2   2    6  2
179 Conservative          43  0   3   2   2   4   2    8  3
180 "Liberal Democrat"    50  1   2   2   4   2   2    4  3
181 Labour                47  1   4   4   5   1   2    2  3
182 Conservative          90  0   4   4   2   4   4   11  3
183 Conservative          76  1   4   3   1   4   2   11  3
184 "Liberal Democrat"    73  0   3   2   4   4   3    3  0
185 Conservative          52  0   3   3   2   4   2   11  2
186 Labour                46  0   4   4   2   4   5    5  0
187 Conservative          70  0   5   2   2   5   4   11  2
188 Conservative          66  0   3   3   2   2   1   11  2
189 "Liberal Democrat"    54  0   3   4   2   2   3   10  0
190 Conservative          75  1   3   5   4   4   2    8  3
191 Labour                41  0   3   2   4   2   4    5  0
192 "Liberal Democrat"    62  0   2   3   2   2   2   11  0
193 "Liberal Democrat"    33  1   3   4   2   2   4   11  2
194 Conservative          59  0   3   2   4   2   4    8  2
195 Conservative          73  1   3   3   2   4   1   11  2
196 "Liberal Democrat"    46  0   3   3   2   4   4    3  2
197 Conservative          54  0   3   5   2   4   2   11  2
198 "Liberal Democrat"    40  0   4   2   2   2   5    7  2
199 "Liberal Democrat"    57  0   4   3   2   1   4    2  3
200 Conservative          43  1   2   3   1   4   2    8  2
201 "Liberal Democrat"    46  1   4   4   4   1   3    8  0
202 "Liberal Democrat"    51  1   2   2   4   4   4    4  2
203 "Liberal Democrat"    67  1   3   4   4   4   3    7  0
204 Conservative          65  0   3   3   2   2   4    6  2
205 "Liberal Democrat"    42  0   2   3   2   2   2    6  0
206 Conservative          45  1   4   4   4   2   4   11  3
207 Conservative          34  1   4   3   1   4   1    5  3
208 "Liberal Democrat"    55  0   3   3   4   2   4    5  0
209 "Liberal Democrat"    56  1   4   4   2   2   4    5  3
210 Conservative          39  0   2   2   4   1   5    4  0
211 "Liberal Democrat"    35  0   3   2   4   2   4    6  2
212 "Liberal Democrat"    45  0   3   3   2   2   4    2  1
213 Labour                28  0   4   4   4   4   2    7  1
214 Conservative          49  1   3   3   4   2   4    2  2
215 Labour                60  1   2   2   4   2   1    7  0
216 Conservative          34  1   1   1   1   4   1   11  3
217 "Liberal Democrat"    56  1   2   3   4   1   4    3  3
218 Labour                72  0   3   4   2   2   4    3  0
219 Labour                59  1   3   3   2   2   2    4  2
220 Labour                33  1   4   4   4   2   4    5  2
221 Labour                65  0   2   2   4   3   3    9  2
222 "Liberal Democrat"    24  0   4   2   4   2   4    4  0
223 Labour                67  0   5   3   5   1   4    6  0
224 Conservative          25  0   2   3   1   4   4    7  2
225 Labour                44  0   4   3   4   2   1    8  2
226 "Liberal Democrat"    64  1   3   3   2   1   3    6  2
227 Labour                58  0   3   2   2   4   1    8  1
228 Labour                33  0   3   3   4   4   4    5  2
229 Labour                53  0   3   2   4   2   2    6  0
230 Labour                68  0   2   3   5   2   4    8  0
231 Labour                67  0   4   4   5   4   4   10  0
232 Labour                44  1   4   2   4   2   2    4  3
233 Labour                77  0   3   3   4   2   3    6  1
234 Labour                35  0   3   3   2   1   2    1  2
235 Labour                49  1   4   3   4   2   2    6  0
236 Labour                36  0   4   4   4   2   2    7  2
237 Labour                31  0   3   3   2   3   3    6  0
238 Labour                52  1   3   3   4   1   4    5  0
239 Labour                29  0   4   4   4   4   3    6  2
240 Labour                74  0   4   4   5   1   2    9  0
241 Labour                36  0   3   3   5   2   3    3  2
242 Labour                47  0   3   1   2   1   4    4  0
243 Labour                68  1   3   3   2   1   1    8  0
244 Labour                40  0   3   2   2   4   4    1  3
245 Labour                59  0   4   3   4   2   4    6  2
246 Labour                54  0   3   3   5   4   3    1  0
247 Conservative          65  0   3   3   2   4   4   11  0
248 "Liberal Democrat"    54  0   3   3   2   2   5    5  0
249 "Liberal Democrat"    24  1   4   3   4   1   4    2  3
250 Conservative          28  0   3   2   2   4   2    6  0
251 Labour                79  1   3   3   5   1   5   11  2
252 Labour                80  0   4   5   4   2   4    1  0
253 Labour                32  0   3   2   5   1   5    6  2
254 Labour                32  0   3   2   5   1   4    3  2
255 Labour                34  1   3   3   2   1   1    2  2
256 Labour                36  0   3   3   4   2   4    4  0
257 Labour                53  0   3   4   2   1   3    9  0
258 Labour                63  0   4   3   4   2   2    9  0
259 Labour                27  0   3   3   4   4   4    7  0
260 "Liberal Democrat"    45  0   3   3   2   2   4    1  0
261 "Liberal Democrat"    77  0   4   3   4   4   2    4  2
262 Labour                57  1   4   3   4   2   2    3  2
263 "Liberal Democrat"    75  0   4   2   4   4   5   11  0
264 Labour                36  0   4   4   2   2   2   11  2
265 Labour                69  0   3   3   4   1   4    1  2
266 "Liberal Democrat"    58  1   3   3   4   3   3   10  0
267 "Liberal Democrat"    71  1   5   2   4   3   3    3  3
268 "Liberal Democrat"    55  1   4   4   4   4   5    9  2
269 Labour                38  0   2   4   4   2   2    1  3
270 "Liberal Democrat"    37  0   4   4   4   2   4   11  0
271 "Liberal Democrat"    44  0   2   3   4   4   4    6  0
272 Conservative          64  0   3   3   4   4   4   10  2
273 "Liberal Democrat"    37  0   2   3   2   2   4    5  0
274 Conservative          52  1   3   2   2   4   2   11  2
275 "Liberal Democrat"    71  0   2   3   4   2   5   11  0
276 Conservative          49  0   3   3   2   2   4    8  0
277 Labour                88  0   3   3   4   1   2    6  0
278 Conservative          63  0   2   4   2   4   2   10  3
279 "Liberal Democrat"    74  0   4   3   4   2   5    8  0
280 "Liberal Democrat"    29  0   3   5   4   4   4    6  0
281 "Liberal Democrat"    66  0   3   3   4   2   4    6  0
282 "Liberal Democrat"    43  1   3   4   1   1   1    8  3
283 Labour                71  0   2   2   2   1   4   11  0
284 "Liberal Democrat"    42  1   3   3   2   2   4    9  0
285 "Liberal Democrat"    79  1   2   2   2   2   4    9  3
286 Labour                61  0   3   3   1   1   2    6  2
287 Conservative          74  0   4   4   4   2   4    7  2
288 "Liberal Democrat"    54  0   2   3   2   4   4   11  0
289 Labour                81  0   4   4   4   1   4    1  2
290 Conservative          47  1   4   3   2   4   1    3  3
291 Conservative          75  0   2   3   4   4   2    8  2
292 Conservative          60  0   1   2   2   5   1   11  2
293 "Liberal Democrat"    51  0   3   3   4   2   4    6  1
294 Conservative          47  0   4   1   4   2   4    8  3
295 Conservative          70  0   3   2   4   4   2   11  0
296 Labour                61  1   2   3   4   2   2    2  3
297 Labour                62  1   4   2   4   4   3    6  2
298 Labour                69  1   5   5   4   2   3   11  0
299 "Liberal Democrat"    74  0   3   2   4   2   4   11  0
300 Labour                30  1   4   3   4   1   2    2  2
301 "Liberal Democrat"    70  1   4   4   4   2   3    4  2
302 Conservative          75  1   3   4   2   2   5   11  0
303 Labour                75  0   4   3   4   2   4    9  0
304 Labour                30  0   4   4   1   2   4   11  0
305 "Liberal Democrat"    77  0   2   2   2   2   2   11  2
306 Conservative          66  1   2   3   4   4   4   10  2
307 Conservative          70  1   2   2   4   2   2   10  3
308 Labour                38  1   4   4   4   2   2    4  2
309 Labour                49  1   4   4   4   4   2    2  2
310 Labour                40  0   4   5   4   1   3    1  0
311 "Liberal Democrat"    82  1   4   4   5   2   3    6  2
312 "Liberal Democrat"    48  1   3   2   4   2   4    6  2
313 Conservative          58  1   2   2   1   1   1   11  2
314 "Liberal Democrat"    29  0   3   2   2   4   4    9  2
315 Conservative          65  1   2   3   2   2   1    4  1
316 Conservative          33  1   3   1   2   4   2    9  2
317 Conservative          55  1   3   3   4   4   2   11  3
318 Labour                56  1   4   5   4   1   5   11  2
319 Labour                45  0   3   4   5   2   3    7  2
320 Conservative          50  0   3   5   1   5   1   10  1
321 Labour                80  0   3   3   5   1   2    4  2
322 "Liberal Democrat"    51  0   3   4   4   1   2    6  2
323 "Liberal Democrat"    55  0   2   3   1   4   4    1  0
324 Labour                55  0   4   4   4   2   2    6  0
325 "Liberal Democrat"    61  0   4   3   4   1   4    6  0
326 Labour                39  0   3   3   4   2   3    9  0
327 "Liberal Democrat"    49  1   3   3   2   1   5   11  0
328 Conservative          77  1   3   3   2   4   2    9  2
329 "Liberal Democrat"    43  0   3   3   4   1   4    7  2
330 "Liberal Democrat"    34  1   3   3   4   2   4    3  2
331 Labour                72  0   5   5   5   4   4   11  0
332 Conservative          60  1   4   4   2   4   3   10  2
333 "Liberal Democrat"    39  0   3   3   1   3   3   11  0
334 "Liberal Democrat"    38  1   2   4   2   2   4    4  3
335 "Liberal Democrat"    35  1   3   5   4   2   4    5  2
336 Labour                44  0   4   4   2   2   4   10  0
337 Labour                31  1   4   4   4   1   4    6  3
338 "Liberal Democrat"    33  1   3   3   2   4   4    6  3
339 Conservative          66  1   2   3   1   5   1   11  3
340 "Liberal Democrat"    63  1   3   2   4   2   4    2  3
341 Labour                47  1   4   4   4   4   4    7  0
342 Conservative          38  1   3   2   2   4   2   11  2
343 Labour                67  0   4   3   5   4   5    6  2
344 Conservative          37  0   1   4   1   5   1   11  2
345 Labour                27  0   2   4   2   4   4   10  0
346 Labour                50  1   3   3   5   5   5    1  3
347 Labour                77  1   3   3   5   4   2    2  0
348 "Liberal Democrat"    71  1   3   4   1   4   3   11  2
349 Labour                53  0   3   3   4   2   4    6  2
350 Labour                56  0   4   2   5   2   2    1  2
351 Conservative          32  0   3   4   2   2   3    9  3
352 Conservative          83  0   2   4   2   4   3   10  2
353 Labour                52  0   4   3   4   2   2    5  3
354 Conservative          74  0   4   2   2   5   3   11  2
355 Conservative          92  0   3   3   2   4   2    6  0
356 Conservative          34  1   4   4   2   4   3   10  2
357 "Liberal Democrat"    80  0   2   3   4   4   4    3  3
358 Conservative          39  0   3   5   4   4   3   11  3
359 "Liberal Democrat"    80  0   3   5   4   1   4   10  2
360 "Liberal Democrat"    66  1   3   3   4   2   2    5  2
361 Conservative          71  0   3   3   2   3   3   11  3
362 "Liberal Democrat"    46  0   3   2   4   2   4   11  2
363 Conservative          54  1   3   3   4   4   4   11  1
364 Conservative          55  0   4   4   4   4   4    9  2
365 Conservative          69  1   2   2   1   5   1   11  0
366 Labour                74  1   4   4   4   2   4    5  2
367 "Liberal Democrat"    56  1   4   4   5   1   4    2  3
368 Conservative          74  0   2   3   4   4   3    9  0
369 Conservative          37  0   4   4   2   4   1   11  2
370 "Liberal Democrat"    43  1   3   2   4   2   4    8  3
371 Conservative          50  0   2   3   4   4   5   10  2
372 Labour                57  1   4   4   4   4   2    5  2
373 "Liberal Democrat"    42  1   3   4   4   2   4    4  3
374 Conservative          42  1   2   3   1   2   2    8  2
375 Labour                36  1   4   5   5   2   4    4  0
376 "Liberal Democrat"    55  1   4   4   4   4   2    9  0
377 Conservative          73  0   2   1   2   2   1   11  2
378 Conservative          29  1   4   5   4   4   1    8  2
379 Labour                56  0   4   4   5   2   4    5  2
380 Conservative          67  0   2   3   4   4   4    9  2
381 "Liberal Democrat"    47  0   4   3   4   2   3    7  1
382 Conservative          38  1   2   2   4   4   4   10  2
383 Labour                35  0   3   3   5   1   2    4  3
384 Labour                83  0   4   4   4   4   3    1  0
385 Conservative          32  1   4   4   4   2   1    9  2
386 Conservative          68  0   1   1   2   4   1   10  2
387 Conservative          76  1   4   3   4   5   4   11  2
388 Conservative          63  1   2   2   4   4   2    5  3
389 "Liberal Democrat"    86  1   3   3   4   2   4   11  0
390 Labour                35  1   4   1   4   2   2   11  0
391 Labour                39  1   3   4   4   2   4    5  2
392 "Liberal Democrat"    65  1   2   2   4   2   4   11  2
393 Labour                32  1   3   3   4   2   4    2  3
394 Labour                81  0   4   4   4   4   4   10  2
395 Conservative          83  0   1   2   2   4   3    6  0
396 "Liberal Democrat"    33  1   4   2   4   2   4    7  0
397 "Liberal Democrat"    37  0   2   3   4   4   4    5  2
398 "Liberal Democrat"    48  1   4   4   4   4   3    3  3
399 "Liberal Democrat"    61  0   4   2   4   2   2    6  2
400 Labour                66  0   3   3   5   1   1   11  0
401 "Liberal Democrat"    38  1   2   1   2   2   4    9  2
402 "Liberal Democrat"    79  1   4   3   5   4   4   11  0
403 "Liberal Democrat"    58  0   4   3   4   4   4    5  2
404 Conservative          56  1   2   5   1   4   1    4  0
405 Conservative          61  0   4   3   2   4   4   10  2
406 "Liberal Democrat"    58  0   3   3   4   2   2    3  3
407 "Liberal Democrat"    57  0   3   3   1   1   4    6  2
408 Conservative          35  0   4   5   4   5   4   11  2
409 "Liberal Democrat"    59  1   3   3   4   4   4    1  3
410 "Liberal Democrat"    84  0   3   4   1   2   3    9  3
411 "Liberal Democrat"    65  0   3   3   4   1   2   10  2
412 Labour                24  0   4   4   4   2   2    4  2
413 Labour                35  1   4   3   4   4   2   11  2
414 "Liberal Democrat"    50  1   2   2   4   4   3    2  2
415 "Liberal Democrat"    42  0   3   2   2   4   2   11  3
416 Conservative          55  1   4   4   4   4   4   11  2
417 Labour                35  1   4   3   2   1   1    7  2
418 "Liberal Democrat"    53  1   4   3   2   2   4    6  3
419 Conservative          46  1   2   2   2   2   2   11  2
420 Conservative          55  0   4   4   4   2   4    7  2
421 "Liberal Democrat"    42  1   3   3   5   1   4    2  3
422 Conservative          59  0   3   3   2   4   4    8  2
423 Labour                56  1   3   3   4   2   5    1  2
424 "Liberal Democrat"    48  1   4   3   4   1   4    3  2
425 Conservative          52  1   4   2   1   4   1    9  0
426 "Liberal Democrat"    35  0   3   4   5   4   4    9  2
427 "Liberal Democrat"    36  1   4   4   4   2   4    2  2
428 "Liberal Democrat"    77  0   4   4   4   1   3   11  2
429 "Liberal Democrat"    51  0   3   3   4   2   4    6  2
430 Conservative          76  1   2   2   2   4   2   11  2
431 Conservative          39  0   3   4   2   4   4   11  2
432 "Liberal Democrat"    38  1   3   2   4   2   3   11  1
433 Labour                65  0   4   3   4   4   4    1  3
434 Conservative          48  0   3   3   2   4   3   11  2
435 Labour                31  1   3   4   4   2   4    8  3
436 "Liberal Democrat"    49  1   1   1   2   2   4    6  0
437 Conservative          37  1   4   1   1   4   1    8  2
438 Conservative          60  1   4   4   4   2   2    6  2
439 Labour                58  1   4   4   5   1   4    5  3
440 Labour                65  1   4   2   4   1   2    6  2
441 Labour                51  0   3   3   4   4   4   11  0
442 Labour                78  0   1   1   4   4   3    1  0
443 Conservative          58  1   2   4   4   4   2    3  0
444 Labour                61  1   4   2   4   2   3    7  2
445 Labour                88  0   4   4   5   1   2   10  0
446 Labour                33  1   4   3   4   1   4    3  2
447 Conservative          66  1   1   1   2   4   2    9  2
448 Labour                40  1   4   4   4   4   2    1  0
449 "Liberal Democrat"    49  0   2   3   4   4   2    3  2
450 Labour                48  1   1   1   4   4   4   11  2
451 Labour                41  0   3   4   4   4   2   11  0
452 "Liberal Democrat"    42  1   4   3   4   4   3   11  2
453 Labour                72  0   3   4   4   2   4    8  2
454 Labour                76  0   4   4   4   1   2   11  0
455 Labour                37  0   4   4   5   4   4   11  3
456 Labour                70  0   5   4   4   2   4    6  3
457 Labour                63  1   3   4   5   1   1    1  3
458 Labour                27  0   3   3   4   2   3   11  0
459 "Liberal Democrat"    57  1   3   3   4   3   3    5  3
460 "Liberal Democrat"    66  1   4   4   4   2   4   11  0
461 Conservative          57  1   3   2   2   4   4    3  0
462 Labour                72  0   5   4   4   2   1    2  2
463 "Liberal Democrat"    69  1   3   4   2   2   2    6  0
464 Labour                46  0   3   4   4   1   4    6  2
465 "Liberal Democrat"    75  0   2   1   1   2   4   10  2
466 Conservative          73  0   3   1   4   4   3   11  2
467 Labour                82  1   3   4   5   4   4   11  2
468 "Liberal Democrat"    28  1   4   3   4   4   4    2  2
469 Conservative          66  1   4   3   4   2   2    5  0
470 Conservative          67  1   3   2   2   4   2   11  2
471 Conservative          51  1   3   3   2   4   2   10  3
472 Conservative          43  1   3   3   4   2   2    7  2
473 Labour                30  1   3   4   4   2   2    8  0
474 Conservative          47  0   2   3   4   4   3    4  2
475 Conservative          27  1   3   3   2   4   2    8  2
476 Labour                32  0   3   4   4   2   2    3  3
477 Conservative          61  0   3   3   2   4   3   11  2
478 Conservative          52  1   4   4   2   4   4    9  2
479 Labour                34  1   4   4   4   2   2    1  2
480 "Liberal Democrat"    71  0   5   3   5   2   3    2  2
481 Conservative          54  0   3   3   1   4   4   11  2
482 "Liberal Democrat"    28  1   3   3   2   2   4    3  3
483 Conservative          70  1   4   3   4   2   2    3  3
484 "Liberal Democrat"    43  1   2   3   4   2   4    2  3
485 "Liberal Democrat"    70  1   2   3   4   1   3    6  2
486 Conservative          63  0   2   2   4   4   2   10  2
487 "Liberal Democrat"    62  0   2   3   2   4   4    3  0
488 "Liberal Democrat"    62  1   4   3   4   1   4    3  3
489 Conservative          47  1   2   2   2   4   2    9  2
490 "Liberal Democrat"    57  1   2   3   4   1   4    3  3
491 Conservative          26  0   3   5   4   4   4    6  0
492 Labour                41  1   4   3   4   2   4    5  3
493 Labour                72  0   4   4   2   1   2    6  0
494 Labour                53  0   1   1   1   4   3    7  2
495 "Liberal Democrat"    68  0   3   3   4   4   4    7  2
496 Labour                79  0   3   3   5   3   4    6  0
497 "Liberal Democrat"    26  1   3   3   4   2   4    8  2
498 "Liberal Democrat"    54  1   2   2   1   2   2   11  2
499 Conservative          60  1   3   4   2   4   2   11  0
500 Labour                74  1   3   4   4   2   2    1  2
501 Labour                30  1   2   4   4   2   2    3  2
502 "Liberal Democrat"    41  1   4   5   4   2   2    7  2
503 Conservative          68  0   3   3   1   4   4    5  2
504 Conservative          33  0   3   5   4   4   2    7  2
505 "Liberal Democrat"    71  0   3   3   2   2   4    8  2
506 Conservative          69  1   3   4   2   4   2    9  2
507 Conservative          72  0   4   3   4   4   2    6  2
508 Labour                40  1   3   4   4   2   4    7  3
509 Conservative          29  0   1   2   1   4   3   11  2
510 Conservative          63  1   2   2   1   5   4   11  2
511 Conservative          53  0   1   2   1   2   1   10  2
512 Conservative          46  0   3   3   2   4   4    7  2
513 "Liberal Democrat"    39  1   3   4   4   1   4    8  0
514 Conservative          80  1   2   2   2   4   3    7  2
515 Conservative          40  1   4   4   2   2   5    7  3
516 Conservative          44  1   4   3   4   3   3    4  2
517 Labour                58  1   3   3   5   4   5   11  0
518 Conservative          35  1   4   4   4   4   2    8  2
519 Conservative          39  1   2   3   4   2   2   11  3
520 "Liberal Democrat"    53  1   3   3   2   4   4   11  2
521 Labour                40  0   3   4   2   2   2    8  0
522 Labour                51  1   4   3   4   1   4    2  2
523 Conservative          51  0   3   2   2   2   4    3  2
524 Conservative          50  0   3   4   2   2   1    7  2
525 Conservative          68  0   3   3   2   4   4    5  2
526 Labour                32  0   4   4   4   4   4    2  2
527 "Liberal Democrat"    66  0   4   4   4   2   4    3  2
528 Conservative          62  0   3   2   2   4   2   11  2
529 Labour                79  0   3   2   4   4   4    5  2
530 "Liberal Democrat"    70  0   4   3   2   4   4   10  2
531 Labour                75  1   3   4   4   4   2    8  0
532 "Liberal Democrat"    78  0   4   4   2   2   3    6  2
533 Conservative          78  1   2   3   4   5   2   11  1
