experience	education	race	occupation
78	49	14	nonwhite	bluecollar
79	32	12	white	bluecollar
80	9	12	white	bluecollar
81	9	12	white	bluecollar
82	8	13	white	bluecollar
83	5	12	white	bluecollar
84	34	9	white	bluecollar
85	19	8	white	bluecollar
86	41	7	nonwhite	bluecollar
87	37	14	white	bluecollar
88	4	9	white	bluecollar
89	43	11	white	bluecollar
90	14	12	white	bluecollar
91	9	12	white	bluecollar
92	33	8	white	bluecollar
93	15	13	white	bluecollar
94	12	12	white	bluecollar
95	19	13	white	bluecollar
96	23	8	nonwhite	bluecollar
97	26	13	white	bluecollar
98	13	13	white	bluecollar
99	22	12	white	bluecollar
100	4	11	white	bluecollar
101	22	12	white	craft
102	10	11	white	craft
103	21	9	white	craft
104	38	6	nonwhite	craft
105	11	12	white	craft
106	47	9	white	craft
107	18	13	white	craft
108	8	12	white	craft
109	13	12	white	craft
110	10	12	white	craft
111	41	11	white	craft
112	49	11	white	craft
113	4	13	white	craft
114	9	12	white	craft
115	33	12	white	craft
116	2	12	white	craft
117	11	15	white	craft
118	56	6	white	craft
119	31	13	white	craft
120	13	14	white	craft
121	33	11	white	craft
122	41	12	white	craft
123	6	12	white	craft
124	21	12	white	craft
125	25	13	white	craft
126	13	15	white	craft
127	2	12	white	craft
128	23	12	white	craft
129	32	12	white	craft
130	46	12	white	craft
131	13	12	white	craft
132	29	12	white	craft
133	30	12	white	craft
134	50	10	white	craft
135	32	10	white	craft
136	29	12	white	craft
137	9	16	nonwhite	craft
138	49	8	white	craft
139	9	14	nonwhite	craft
140	41	14	white	craft
141	9	12	white	craft
142	5	11	white	craft
143	17	12	white	craft
144	9	11	white	craft
145	30	12	white	craft
146	29	7	nonwhite	craft
147	9	14	white	craft
148	37	12	white	craft
149	44	7	nonwhite	craft
150	22	12	white	craft
151	26	12	white	craft
152	10	12	white	craft
153	33	13	white	craft
154	41	8	white	craft
155	39	12	white	craft
156	29	12	nonwhite	craft
157	38	14	white	craft
158	12	12	nonwhite	craft
159	9	12	nonwhite	craft
160	10	14	white	craft
161	9	16	nonwhite	craft
162	20	12	white	craft
163	9	11	white	craft
164	41	14	white	craft
165	6	14	white	craft
166	10	12	white	craft
167	11	14	nonwhite	craft
168	21	12	white	craft
169	20	13	white	craft
170	31	14	white	craft
171	4	16	white	craft
172	12	13	white	craft
173	17	14	white	craft
174	40	6	white	craft
175	53	12	white	craft
176	35	14	white	craft
177	12	14	white	craft
178	13	15	white	craft
179	48	8	white	craft
180	23	12	white	craft
181	11	12	white	craft
182	9	12	white	craft
183	9	12	white	craft
184	4	12	white	craft
185	34	16	white	whitecollar
186	12	12	white	whitecollar
187	21	13	nonwhite	whitecollar
188	12	15	white	whitecollar
189	17	12	white	whitecollar
190	21	12	white	whitecollar
191	20	12	white	whitecollar
192	35	12	nonwhite	whitecollar
193	44	15	white	whitecollar
194	6	16	white	whitecollar
195	5	14	white	whitecollar
196	42	11	white	whitecollar
197	34	12	white	whitecollar
198	37	16	white	whitecollar
199	19	13	white	whitecollar
200	32	12	white	whitecollar
201	25	12	white	whitecollar
202	19	12	white	whitecollar
203	50	12	white	whitecollar
204	6	12	white	whitecollar
205	49	12	white	whitecollar
206	3	11	white	whitecollar
207	49	18	white	whitecollar
208	39	15	white	whitecollar
209	20	15	white	whitecollar
210	10	12	white	whitecollar
211	5	12	white	whitecollar
212	10	13	white	whitecollar
213	30	16	white	whitecollar
214	31	15	white	whitecollar
215	9	12	white	whitecollar
216	8	12	white	whitecollar
217	49	13	white	whitecollar
218	11	16	white	whitecollar
219	2	12	white	whitecollar
220	6	12	white	whitecollar
221	12	10	white	whitecollar
222	5	17	white	whitecollar
223	3	12	white	whitecollar
224	6	16	white	whitecollar
225	38	8	white	whitecollar
226	9	16	white	professional
227	10	16	white	professional
228	37	14	white	professional
229	13	14	white	professional
230	11	13	white	professional
231	21	16	nonwhite	professional
232	4	16	white	professional
233	2	16	white	professional
234	6	16	white	professional
235	13	17	white	professional
236	13	16	white	professional
237	18	16	white	professional
238	44	14	white	professional
239	9	16	white	professional
240	38	16	white	professional
241	25	14	white	professional
242	32	13	white	professional
243	18	17	white	professional
244	22	19	white	professional
245	20	12	white	professional
246	11	18	white	professional
247	9	16	white	professional
248	14	14	white	professional
249	2	15	white	professional
250	8	14	white	professional
251	26	12	nonwhite	professional
252	10	15	white	professional
253	8	12	white	professional
254	25	16	white	professional
255	8	16	white	professional
256	20	14	white	professional
257	11	12	white	professional
258	23	20	white	professional
259	25	19	white	professional
260	31	13	white	professional
261	2	16	white	professional
262	25	14	white	professional
263	3	16	white	professional
264	16	19	nonwhite	professional
265	6	14	white	professional
266	17	19	white	professional
267	23	15	white	professional
268	16	14	white	professional
269	19	13	white	professional
270	9	14	white	professional
271	14	19	white	professional
272	45	14	white	professional
273	17	16	white	professional
274	42	13	white	professional
275	15	12	white	professional
276	17	12	white	professional
277	8	16	white	professional
278	15	17	white	professional
279	37	18	white	professional
280	33	16	white	professional
281	16	11	white	professional
282	13	18	white	professional
283	44	15	white	professional
284	28	16	white	professional
285	41	11	white	professional
286	25	16	white	professional
287	66	12	white	professional
288	31	12	white	professional
289	25	20	white	professional
290	17	17	white	professional
291	23	16	white	professional
292	34	17	white	professional
293	21	16	white	professional
294	4	15	white	professional
295	41	8	white	professional
296	8	12	white	professional
297	2	19	white	professional
298	20	16	white	professional
299	38	15	white	professional
300	23	16	nonwhite	professional
301	31	18	white	professional
302	19	20	white	professional
303	4	20	white	professional
304	29	19	nonwhite	professional
305	47	12	nonwhite	professional
306	27	20	white	professional
307	11	16	white	professional
308	24	13	white	professional
309	12	14	white	professional
310	14	19	white	professional
311	22	16	white	professional
312	11	18	white	professional
313	16	16	white	professional
314	18	19	white	professional
315	17	13	white	professional
316	41	13	white	professional
317	6	16	white	professional
318	3	16	white	professional
319	6	19	white	professional
320	36	18	white	professional
321	3	12	white	professional
322	6	18	white	professional
323	6	13	white	professional
324	9	17	white	professional
325	6	16	white	professional
326	14	19	white	professional
327	7	19	white	professional
328	11	19	nonwhite	professional
329	14	14	white	professional
330	13	16	white	professional
331	24	15	white	professional
332	7	18	white	professional
333	19	13	white	professional
334	43	12	white	professional
335	31	12	white	professional
336	39	7	white	professional
337	12	16	white	professional
