job	gender	phd	mentor	fellowship	articles	citations
77	NA	male	2.5599999	55	yes	3	14
78	2.47	male	4.48	63	yes	1	5
79	3.04	male	2.96	84	no	2	0
80	NA	male	1.76	54	no	5	15
81	2.72	male	2.5599999	55	yes	5	47
82	3.52	male	3.4000001	33	yes	2	35
83	2.22	male	2.8699999	140	yes	2	13
84	2.8800001	male	4.54	239	yes	4	48
85	1.8	male	1.6799999	28	yes	2	5
86	NA	male	3.1500001	27	no	1	0
87	3.8399999	male	4.6399999	15	yes	1	5
88	3.3599999	male	3.3599999	155	yes	5	23
89	2.8800001	male	4.25	178	yes	4	65
90	3.52	male	4.48	64	yes	10	120
91	2.1500001	male	2.2	0	no	0	0
92	2.4000001	male	4.1599998	91	yes	1	20
93	2.5599999	male	2	6	no	0	0
94	3.2	male	4.1399999	277	no	0	0
95	1.47	male	3.2	39	yes	3	77
96	1.47	male	3.2	39	yes	3	77
97	2.24	male	3.2	39	yes	3	18
98	NA	male	1.1799999	4	no	0	0
99	1.84	male	1.42	0	no	0	0
100	2.24	male	2.24	0	yes	2	2
101	3.04	male	3.52	45	yes	3	20
102	1.7	male	3.1500001	15	yes	3	19
103	2.4000001	male	3.52	3	yes	2	23
104	1.4	male	2.96	8	no	1	0
105	1.1	male	1.6799999	3	yes	0	0
106	1.4400001	male	1.22	0	no	1	2
107	NA	male	3.3599999	1	yes	4	65
108	NA	male	4.54	47	no	5	27
109	NA	male	1.1799999	0	no	2	1
110	2.3	male	3.6900001	339	no	3	123
111	1.84	male	4.3200002	14	yes	9	66
112	2.1099999	male	4.1599998	57	yes	4	24
113	1.48	male	2.5599999	5	yes	5	23
114	2.8800001	male	4.54	76	yes	2	10
115	2.72	male	2.8299999	1	no	2	15
116	2.02	male	3.3599999	11	yes	2	19
117	NA	male	1.74	9	no	1	4
118	4	male	4	94	yes	1	7
119	1.53	male	2.3900001	0	yes	0	0
120	NA	male	2.96	0	yes	5	36
121	NA	male	2.8299999	17	no	2	13
122	2.3	male	4.48	35	yes	3	5
123	1.86	male	2.5	19	yes	6	56
124	1.9	male	3.54	203	yes	5	71
125	NA	male	4.6399999	16	yes	3	24
126	1.53	male	3.52	26	yes	0	0
127	2.23	male	2.23	7	yes	3	105
128	2.3	male	3.8399999	9	yes	0	0
129	1.9	male	3.1500001	3	no	5	34
130	NA	male	2.51	7	yes	1	2
131	3.8399999	male	4.1599998	144	yes	2	59
132	1.4	male	1.4	46	yes	4	15
133	1.63	male	4.29	144	no	12	100
134	3.3599999	male	4.6399999	62	yes	5	67
135	1.9400001	male	1.8099999	8	no	4	18
136	3.8399999	male	4.29	9	no	1	5
137	NA	male	1.25	4	no	3	5
138	3.3599999	male	3.3599999	0	yes	6	15
139	1.5599999	male	2.72	4	yes	0	0
140	NA	male	2.0999999	0	no	1	1
141	NA	male	4.29	18	no	1	0
142	3.04	male	3.04	20	yes	0	0
143	NA	male	4.29	32	yes	2	7
144	2.5	male	4.29	62	yes	4	23
145	2.5599999	male	2.5599999	0	yes	1	2
146	NA	male	4.29	18	no	0	0
147	3.2	male	4.3200002	44	yes	3	47
148	1.5	male	4.29	9	no	0	0
149	3.52	male	3.52	197	yes	1	36
150	2.5599999	male	4.29	18	yes	2	26
151	1.96	male	2.1400001	1	yes	0	0
152	2.72	male	2.52	4	yes	3	11
153	3.6800001	male	4.3200002	31	yes	4	65
154	2.5599999	male	3.2	43	yes	4	28
155	NA	male	1.8099999	65	no	1	9
156	2.0999999	male	2.0999999	144	yes	1	3
157	NA	male	2.0999999	0	no	1	2
158	3.04	male	2.1500001	9	no	0	0
159	2.1600001	male	2.26	1	no	1	1
160	1.4	male	4.29	46	yes	1	2
161	4.48	male	3.5899999	20	yes	0	0
162	2.1099999	male	3.4100001	66	yes	7	86
163	3.6800001	male	3.5899999	10	yes	5	14
164	3.04	male	3.6199999	28	no	3	3
165	1.63	male	3.6800001	0	yes	3	12
166	2.0999999	male	3.8399999	18	yes	0	0
167	NA	male	2.26	8	no	1	2
168	3.2	male	2.76	19	yes	6	27
169	1.22	male	2.6099999	4	no	1	2
170	2.1300001	male	4.29	14	no	2	6
171	NA	male	2.0999999	2	no	2	3
172	2.8800001	male	3.47	5	yes	2	1
173	1.74	male	2.96	2	no	2	9
174	1.6799999	male	3.8399999	137	yes	6	75
175	1.9400001	male	4.54	2	yes	5	37
176	2.5599999	male	2	95	yes	1	3
177	1.91	male	2.54	4	no	0	0
178	1.65	male	4.54	55	yes	1	6
179	NA	male	2.8599999	159	no	1	3
180	2.52	male	4.6199999	137	yes	0	0
181	4.3200002	male	4.1399999	142	yes	4	24
182	2.1099999	male	1.6799999	59	yes	4	9
183	4.6399999	male	4.6399999	88	yes	5	88
184	NA	male	2	31	no	1	4
185	2.8800001	male	2.8800001	2	yes	4	9
186	NA	male	2.8599999	11	no	1	18
187	2.1500001	male	3.54	103	yes	0	0
188	3.3599999	male	3.4000001	41	no	1	10
189	2.52	male	3.2	78	yes	8	149
190	2.8800001	male	2.54	7	no	1	2
191	3.8399999	male	3.8399999	37	yes	15	169
192	3.04	male	3.9200001	0	no	1	1
193	1.4	male	2.8599999	87	no	4	47
194	3.04	male	4.6199999	63	yes	1	20
195	3.2	male	2.8599999	31	no	0	0
196	3.3599999	male	2.8299999	27	no	1	9
197	3.3599999	male	3.6900001	176	no	4	31
198	2.3499999	male	3.4000001	41	no	0	0
199	2.72	male	3.3599999	37	yes	2	30
200	3.3599999	male	3.3599999	0	yes	18	201
201	NA	male	3.3599999	21	yes	3	19
202	2.72	male	4.54	232	no	3	24
203	3.2	male	3.04	3	yes	6	48
204	2.1099999	male	3.3599999	90	yes	6	74
205	NA	male	2.8599999	31	no	1	0
206	1.99	male	1.63	29	yes	6	51
207	4.48	male	4.6199999	137	no	4	55
208	2.72	male	2.3599999	12	yes	1	2
209	3.6800001	male	2.51	70	yes	4	41
210	3.52	male	3.6900001	29	no	2	18
211	2.72	male	4.48	88	yes	4	21
212	NA	male	2.72	2	yes	1	3
213	1.97	male	3.4000001	16	no	1	7
214	2.1099999	male	2.5	0	yes	4	42
215	3.3599999	male	3.3599999	68	yes	6	57
216	3.04	male	3.54	114	yes	6	83
217	1.6799999	male	1.52	4	no	2	1
218	NA	male	2.3599999	18	yes	0	0
219	2.5599999	male	2.5599999	14	yes	1	5
220	2.3599999	male	4.3200002	80	yes	5	47
221	2.3900001	male	3.9200001	3	yes	3	7
222	NA	male	2.8699999	2	no	1	8
223	3.3599999	male	3.52	123	yes	2	13
224	1.48	male	2.3900001	13	no	0	0
225	NA	male	2.3199999	3	no	2	8
226	3.3599999	male	3.52	147	yes	4	35
227	2.5599999	male	2.3199999	22	no	1	2
228	2.3699999	male	2.1199999	0	no	0	0
229	4.48	male	4.3200002	258	yes	4	32
230	3.52	male	3.8399999	41	yes	0	0
231	3.3599999	male	3.47	44	no	3	18
232	NA	male	4.6199999	88	yes	0	0
233	1.79	male	1.86	50	no	4	21
234	NA	male	3.8399999	14	yes	1	0
235	2.72	male	3.6900001	44	yes	3	66
236	1.9400001	male	3.8399999	6	yes	0	0
237	3.6800001	male	4.3200002	52	yes	1	13
238	3.2	male	3.2	3	yes	7	33
239	2.1099999	male	1.63	2	yes	6	46
240	2.72	male	3.52	16	yes	1	0
241	3.04	male	3.3599999	3	yes	0	0
242	2.2	male	2.96	0	yes	3	24
243	2.8800001	male	1.8099999	233	yes	4	22
244	3.3599999	male	4.54	2	no	2	0
245	2.4000001	male	2.1500001	48	no	1	14
246	2.5599999	male	2.3599999	33	yes	2	13
247	2.4000001	male	2.21	2	no	0	0
248	2.3599999	male	2.21	7	no	0	0
249	NA	male	2.3599999	10	yes	1	10
250	2.72	female	2.1199999	9	no	0	0
251	2.5599999	female	2.3900001	57	yes	4	11
252	NA	female	2.5799999	27	no	2	26
253	NA	female	3.75	26	no	0	0
254	NA	female	3.75	24	yes	0	0
255	NA	female	3.75	108	no	0	0
256	1.84	female	3.3599999	84	yes	2	13
257	NA	female	3.75	13	no	0	0
258	3.2	female	3.04	28	yes	3	58
259	NA	female	2.54	0	no	0	0
260	3.6800001	female	3.6800001	19	yes	4	36
261	NA	female	1.4	38	no	0	0
262	NA	female	1.4	3	no	1	20
263	2.2	female	4.3400002	55	yes	0	0
264	NA	female	2.0999999	9	yes	0	0
265	2.51	female	3.4100001	12	yes	2	3
266	1.89	female	3.4000001	21	no	1	12
267	3.52	female	3.52	13	yes	1	1
268	3.2	female	4	13	yes	2	30
269	2.8800001	female	2.52	10	yes	2	10
270	1.6	female	3.52	0	yes	0	0
271	NA	female	2.8699999	62	yes	1	8
272	NA	female	4.1599998	66	yes	3	80
273	2.5599999	female	2.5599999	37	yes	4	20
274	NA	female	2.8699999	116	yes	4	32
275	NA	female	4.6399999	2	yes	0	0
276	2.72	female	4.54	284	no	2	22
277	1.9	female	4.54	232	no	1	2
278	3.04	female	4.1599998	30	yes	10	113
279	2.5	female	2.5	204	yes	2	26
280	3.04	female	4.3200002	169	yes	2	15
281	NA	female	3.52	50	yes	3	18
282	3.3599999	female	1.28	4	yes	1	32
283	NA	female	1.28	12	yes	1	1
284	NA	female	3.8499999	248	yes	2	1
285	2	female	4.6399999	288	yes	2	11
286	2.52	female	4.3200002	52	yes	1	2
287	2.0999999	female	2.05	0	no	2	5
288	NA	female	1.1799999	0	no	1	0
289	1.84	female	4.29	19	no	0	0
290	2.5599999	female	3.3599999	67	yes	1	7
291	3.8399999	female	4.29	12	no	3	34
292	1.4	female	3.52	1	yes	2	4
293	2.1500001	female	4.48	73	yes	3	51
294	NA	female	2.8800001	14	yes	1	10
295	2.4100001	female	2.3900001	12	no	0	0
296	2.3199999	female	1.95	4	no	1	4
297	2.3900001	female	4.29	6	no	2	4
298	NA	female	3.5899999	65	yes	2	24
299	NA	female	2.8599999	38	yes	0	0
300	NA	female	3.52	32	yes	0	0
301	2.1300001	female	2.1300001	8	yes	1	7
302	NA	female	2.1199999	0	yes	3	6
303	4	female	3.6800001	3	yes	1	3
304	2.1500001	female	3.52	26	yes	0	0
305	2.1199999	female	1.53	9	yes	1	1
306	3.52	female	3.52	216	yes	5	64
307	3.04	female	4	26	yes	0	0
308	1.47	female	1.1799999	0	no	3	1
309	NA	female	3.0899999	0	no	0	0
310	3.6800001	female	3.3199999	59	yes	2	45
311	2.8800001	female	2.5799999	17	no	5	30
312	3.6800001	female	3.3599999	41	yes	2	48
313	NA	female	2.4300001	16	yes	2	13
314	4	female	4	15	yes	0	0
315	3.6800001	female	4.54	89	yes	3	19
316	2.47	female	2.5599999	30	yes	3	14
317	NA	female	1.4	4	no	1	0
318	2.3599999	female	2.3599999	85	yes	5	81
319	2.1199999	female	4.6399999	304	yes	2	60
320	1.63	female	4.29	50	no	1	1
321	3.04	female	2.5	23	yes	7	163
322	1.9400001	female	1.91	1	yes	1	18
323	NA	female	2.0999999	1	no	0	0
324	3.2	female	2.8599999	0	no	2	14
325	1.62	female	4.29	29	no	4	57
326	1.83	female	2.72	13	yes	4	70
327	3.3599999	female	3.2	17	yes	5	38
328	1.7	female	2.3900001	27	no	1	1
329	NA	female	2.5799999	41	no	1	4
330	3.2	female	3.2	4	yes	3	8
331	2.47	female	2.5	54	yes	1	2
332	3.2	female	3.2	39	yes	2	27
333	3.6800001	female	3.6800001	22	yes	5	100
334	3.52	female	2.8699999	36	no	1	18
335	2.52	female	2.52	3	yes	0	0
336	1.1	female	1.22	5	no	0	0
337	3.04	female	4	2	yes	1	0
338	2.72	female	2.55	126	no	2	23
339	NA	female	1.95	10	no	1	1
340	NA	female	4	4	yes	3	56
341	3.04	female	4.54	65	no	1	6
342	3.6800001	female	2.8599999	20	no	0	0
343	NA	female	3.54	12	no	0	0
344	NA	female	3.6800001	36	yes	2	0
345	NA	female	3.8399999	204	yes	1	5
346	NA	female	4.54	23	no	1	5
347	4.3200002	female	4.54	33	no	2	0
348	1.75	female	2.1800001	5	yes	1	1
349	2.5599999	female	2.55	0	no	0	0
350	NA	female	1.63	3	no	2	2
351	3.2	female	4.1599998	26	yes	3	39
352	3.3599999	female	3.3599999	198	yes	2	5
353	1.62	female	4.29	4	no	0	0
354	4.1599998	female	4.6199999	0	yes	4	201
355	3.6800001	female	3.3599999	24	yes	2	5
356	3.04	female	3.3599999	53	yes	6	66
357	2.03	female	3.2	23	yes	4	48
358	1.9400001	female	3.6800001	19	yes	3	65
359	NA	female	3.8399999	73	yes	3	3
360	NA	female	4.29	204	no	2	9
361	2.2	female	2.96	0	no	0	0
362	2.3	female	3.2	10	yes	1	6
363	NA	female	2.21	0	yes	2	25
364	3.52	female	3.52	20	yes	3	55
365	1.9	female	2.1199999	3	yes	1	1
366	2.8800001	female	2.26	6	yes	3	15
367	NA	female	4.29	12	no	0	0
368	NA	female	4.29	18	no	1	1
369	2.8800001	female	2.8800001	176	yes	3	18
370	2.72	female	4.6199999	110	yes	3	34
371	NA	female	4.29	198	no	3	26
372	1.84	female	4	241	yes	1	0
373	2.72	female	2.72	0	yes	4	30
374	2.5599999	female	3.1900001	4	no	1	0
375	2.28	female	4.29	36	yes	0	0
376	NA	female	2.8599999	14	no	0	0
377	NA	female	1.76	122	no	0	0
378	2.5599999	female	2.5599999	19	yes	5	46
379	NA	female	3.6800001	86	yes	1	13
380	NA	female	2.26	15	no	1	6
381	NA	female	1.76	4	no	1	3
382	NA	female	3.5899999	1	yes	1	2
383	2.5599999	female	3.5899999	1	yes	0	0
384	4.8000002	female	4.8000002	163	yes	8	63
385	NA	female	2.3900001	0	no	0	0
386	2.72	female	2.72	80	yes	3	13
387	NA	female	3.3599999	17	yes	1	1
388	1.53	female	1.25	10	no	1	0
389	2.5599999	female	2.5799999	0	no	2	1
390	3.52	female	4.3200002	9	yes	4	146
391	1.47	female	2.76	3	no	0	0
392	NA	female	3.1900001	0	no	0	0
393	3.52	female	3.52	0	yes	7	11
394	NA	female	3.3599999	3	yes	2	2
395	3.52	female	3.52	91	yes	0	0
396	NA	female	1.9	109	yes	2	16
397	2.3599999	female	3.6800001	85	yes	4	54
398	NA	female	2.1199999	0	yes	0	0
399	3.52	female	2.3900001	0	no	0	0
400	2.28	female	1.9400001	16	yes	2	48
401	3.04	female	3.04	44	yes	2	29
402	2.72	female	2.3900001	61	no	0	0
403	2.47	female	4.29	21	no	2	12
404	3.04	female	4.48	12	yes	4	65
405	NA	female	3.75	12	no	0	0
406	1.2	female	1	0	no	1	0
407	NA	female	1	0	no	0	0
408	1.2	female	2.25	19	no	1	2
