state region bush age education race gender previous
FL S no 45-64 someCollege white male 0.6116
GA S yes 30-44 collegeGrad white female 0.523
MI MW no 30-44 someCollege white male 0.5481
PA NE no 18-29 highschool white female 0.5266
GA S no 30-44 highschool white female 0.523
MA NE no 30-44 collegeGrad white male 0.4898
VA S no 18-29 highschool white male 0.6081
MA NE no 18-29 highschool white male 0.4898
NY NE no 18-29 highschool white female 0.5244
IL MW no 18-29 noHS white male 0.537
MO MW no 45-64 highschool white female 0.5336
NE MW yes 45-64 someCollege white female 0.6655
MI MW yes 18-29 highschool white male 0.5481
NJ NE yes 30-44 collegeGrad white male 0.5642
SD MW yes 30-44 someCollege white female 0.5997
NJ NE no 65+ highschool white male 0.5642
TX S yes 65+ noHS white female 0.594
NC S yes 30-44 someCollege black male 0.5718
GA S yes 18-29 someCollege white male 0.523
IL MW no 30-44 highschool white male 0.537
NY NE no 18-29 highschool black male 0.5244
TN S yes 65+ collegeGrad white female 0.5543
IN MW yes 65+ noHS white female 0.5818
IN MW no 30-44 someCollege white female 0.5818
NJ NE no 65+ highschool white male 0.5642
MA NE no 30-44 collegeGrad white female 0.4898
MO MW yes 45-64 highschool white female 0.5336
AL S yes 30-44 noHS black female 0.5651
WV NE yes 30-44 highschool white male 0.4936
IL MW no 45-64 highschool white female 0.537
NY NE yes 18-29 highschool white female 0.5244
NY NE no 65+ highschool white male 0.5244
NJ NE yes 30-44 collegeGrad white male 0.5642
VA S no 30-44 collegeGrad white male 0.6081
OH MW yes 45-64 someCollege white male 0.5522
NY NE yes 45-64 noHS white male 0.5244
NY NE no 30-44 someCollege white female 0.5244
NH NE no 30-44 highschool white male 0.632
MA NE no 18-29 highschool white female 0.4898
TX S yes 45-64 collegeGrad white female 0.594
MS S yes 30-44 someCollege white male 0.583
NY NE yes 30-44 collegeGrad white female 0.5244
MI MW yes 45-64 highschool white female 0.5481
MI MW no 45-64 highschool white female 0.5481
SC S yes 45-64 collegeGrad white male 0.5728
MN MW yes 45-64 someCollege white female 0.5055
RI NE yes 30-44 highschool white male 0.4787
TX S no 45-64 highschool white female 0.594
MA NE no 30-44 highschool white male 0.4898
MN MW no 65+ noHS white female 0.5055
VT NE yes 30-44 highschool white male 0.5593
NJ NE no 30-44 someCollege white female 0.5642
NY NE no 30-44 someCollege white female 0.5244
TX S yes 18-29 highschool white male 0.594
OH MW yes 30-44 someCollege white male 0.5522
NC S no 45-64 highschool white female 0.5718
SC S yes 30-44 collegeGrad white female 0.5728
LA S no 30-44 highschool white female 0.5841
NJ NE yes 18-29 collegeGrad white male 0.5642
LA S yes 18-29 highschool white female 0.5841
VA S yes 18-29 highschool black female 0.6081
NJ NE yes 30-44 highschool white female 0.5642
RI NE no 30-44 collegeGrad white female 0.4787
SC S yes 45-64 highschool white male 0.5728
FL S yes 18-29 collegeGrad white male 0.6116
IL MW no 18-29 collegeGrad black female 0.537
MA NE no 45-64 highschool white female 0.4898
NJ NE no 45-64 collegeGrad white male 0.5642
FL S no 45-64 highschool white male 0.6116
TX S yes 45-64 someCollege white female 0.594
PA NE yes 18-29 highschool white female 0.5266
WV NE yes 18-29 noHS white female 0.4936
GA S yes 30-44 highschool white female 0.523
NY NE no 45-64 collegeGrad white male 0.5244
FL S no 18-29 someCollege white male 0.6116
GA S yes 30-44 someCollege white female 0.523
NC S yes 30-44 highschool white male 0.5718
NC S yes 65+ noHS white male 0.5718
MO MW yes 30-44 someCollege white male 0.5336
MI MW yes 45-64 highschool white female 0.5481
NY NE yes 30-44 collegeGrad white male 0.5244
MD NE yes 18-29 someCollege white female 0.5012
VA S yes 18-29 collegeGrad white male 0.6081
GA S yes 45-64 collegeGrad white female 0.523
VA S yes 30-44 highschool white female 0.6081
KS MW yes 30-44 someCollege white female 0.6021
MA NE yes 30-44 collegeGrad white male 0.4898
NY NE yes 30-44 collegeGrad white male 0.5244
FL S yes 30-44 noHS black male 0.6116
TX S yes 65+ highschool white male 0.594
NY NE yes 18-29 collegeGrad black female 0.5244
MS S yes 45-64 highschool white female 0.583
MI MW yes 30-44 highschool white male 0.5481
LA S yes 18-29 highschool white male 0.5841
MD NE no 18-29 highschool black male 0.5012
WV NE no 45-64 highschool white male 0.4936
SC S no 65+ highschool white female 0.5728
WV NE yes 30-44 highschool white female 0.4936
NY NE no 30-44 collegeGrad white female 0.5244
PA NE no 65+ collegeGrad white male 0.5266
GA S no 45-64 highschool black female 0.523
PA NE yes 65+ highschool white female 0.5266
FL S yes 18-29 highschool white male 0.6116
FL S yes 30-44 highschool white female 0.6116
MD NE no 45-64 highschool white female 0.5012
TX S yes 45-64 collegeGrad white female 0.594
TX S yes 30-44 collegeGrad white female 0.594
NY NE yes 45-64 highschool white female 0.5244
TX S yes 65+ collegeGrad white male 0.594
KY S yes 30-44 highschool white female 0.5292
TX S yes 65+ collegeGrad white female 0.594
TN S yes 30-44 collegeGrad white female 0.5543
NY NE yes 45-64 collegeGrad white female 0.5244
TX S yes 18-29 highschool white female 0.594
NC S yes 18-29 highschool white male 0.5718
NJ NE yes 18-29 someCollege white male 0.5642
CA W yes 65+ highschool white female 0.5437
NC S yes 30-44 collegeGrad white female 0.5718
NJ NE yes 30-44 noHS white male 0.5642
IL MW no 65+ noHS white female 0.537
KY S yes 45-64 highschool white female 0.5292
MA NE no 18-29 collegeGrad white female 0.4898
TN S yes 45-64 highschool white female 0.5543
CO W yes 18-29 collegeGrad white female 0.5846
IL MW no 30-44 collegeGrad white female 0.537
NJ NE yes 30-44 someCollege white female 0.5642
PA NE yes 18-29 highschool white male 0.5266
FL S no 45-64 collegeGrad white male 0.6116
NC S no 30-44 noHS white female 0.5718
FL S yes 65+ highschool white male 0.6116
PA NE no 30-44 someCollege white female 0.5266
IN MW no 45-64 highschool white male 0.5818
MA NE yes 30-44 someCollege white female 0.4898
TX S yes 30-44 collegeGrad white male 0.594
IL MW yes 30-44 someCollege white female 0.537
FL S yes 65+ highschool white male 0.6116
TX S yes 18-29 collegeGrad white female 0.594
VA S yes 18-29 someCollege white male 0.6081
KY S yes 18-29 someCollege white male 0.5292
TX S yes 18-29 someCollege white female 0.594
RI NE no 30-44 someCollege white female 0.4787
OK S no 30-44 someCollege white male 0.6032
OH MW no 30-44 highschool white female 0.5522
KY S yes 45-64 someCollege white male 0.5292
PA NE no 65+ highschool white male 0.5266
NY NE yes 30-44 highschool white male 0.5244
TN S yes 18-29 someCollege white female 0.5543
MN MW no 30-44 highschool white female 0.5055
FL S no 18-29 noHS white female 0.6116
OH MW yes 18-29 collegeGrad white female 0.5522
IL MW yes 45-64 highschool white female 0.537
FL S yes 30-44 collegeGrad white female 0.6116
FL S yes 30-44 collegeGrad white female 0.6116
GA S yes 18-29 highschool white female 0.523
FL S yes 65+ noHS white male 0.6116
NY NE yes 45-64 someCollege white female 0.5244
PA NE no 18-29 highschool white female 0.5266
KS MW yes 45-64 highschool white female 0.6021
MO MW no 30-44 collegeGrad white female 0.5336
VA S yes 30-44 highschool white female 0.6081
FL S yes 30-44 someCollege white female 0.6116
WI MW no 18-29 someCollege white female 0.5278
GA S yes 30-44 collegeGrad white male 0.523
KY S yes 30-44 highschool white female 0.5292
WI MW yes 30-44 highschool white female 0.5278
NY NE yes 18-29 highschool white male 0.5244
NE MW yes 45-64 collegeGrad white female 0.6655
TN S yes 45-64 highschool white male 0.5543
MN MW no 45-64 highschool white male 0.5055
LA S no 30-44 someCollege white male 0.5841
NJ NE yes 18-29 collegeGrad white female 0.5642
NY NE yes 30-44 someCollege white female 0.5244
MO MW no 65+ someCollege white male 0.5336
MI MW yes 30-44 someCollege white female 0.5481
IL MW yes 30-44 someCollege white male 0.537
TN S yes 18-29 collegeGrad white female 0.5543
TX S yes 30-44 highschool white female 0.594
KY S yes 45-64 noHS white male 0.5292
AR S yes 18-29 highschool white female 0.5397
IL MW yes 18-29 highschool white female 0.537
MO MW yes 30-44 collegeGrad white female 0.5336
AL S yes 30-44 highschool white male 0.5651
UT W yes 18-29 collegeGrad white male 0.6927
KS MW yes 30-44 highschool white female 0.6021
TX S yes 18-29 collegeGrad white male 0.594
MS S no 30-44 noHS white female 0.583
AZ W yes 45-64 someCollege white male 0.6134
TX S yes 30-44 highschool white female 0.594
CA W yes 30-44 collegeGrad white female 0.5437
TN S yes 18-29 collegeGrad white female 0.5543
MS S no 30-44 highschool black male 0.583
AZ W yes 18-29 collegeGrad white male 0.6134
WI MW no 30-44 collegeGrad white female 0.5278
TX S yes 18-29 highschool white male 0.594
TN S yes 65+ highschool white male 0.5543
WI MW no 30-44 highschool white female 0.5278
CA W no 18-29 collegeGrad white male 0.5437
CO W no 30-44 highschool white female 0.5846
CA W no 30-44 collegeGrad white male 0.5437
CA W yes 45-64 someCollege white male 0.5437
CA W yes 18-29 highschool white female 0.5437
CA W no 18-29 collegeGrad white male 0.5437
WA W no 18-29 noHS white female 0.5544
WA W yes 18-29 collegeGrad white male 0.5544
WY W yes 30-44 someCollege white male 0.6338
CA W yes 18-29 collegeGrad white male 0.5437
NM W yes 30-44 collegeGrad white male 0.5478
CA W yes 18-29 highschool white female 0.5437
CA W yes 30-44 collegeGrad white male 0.5437
CA W yes 30-44 collegeGrad white male 0.5437
CA W no 45-64 collegeGrad black male 0.5437
CA W no 65+ collegeGrad white female 0.5437
CA W no 65+ noHS black male 0.5437
WA W no 45-64 collegeGrad white male 0.5544
OR W yes 45-64 highschool white male 0.5443
WA W no 18-29 highschool white female 0.5544
NY NE no 30-44 highschool black female 0.5244
NY NE yes 45-64 highschool white female 0.5244
PA NE no 45-64 highschool white female 0.5266
PA NE yes 45-64 someCollege white female 0.5266
NY NE yes 45-64 someCollege white female 0.5244
MA NE yes 30-44 collegeGrad white female 0.4898
NY NE no 30-44 collegeGrad white female 0.5244
NY NE no 45-64 collegeGrad white male 0.5244
NY NE no 18-29 highschool black female 0.5244
NY NE no 30-44 highschool white female 0.5244
NY NE yes 18-29 collegeGrad white male 0.5244
NY NE yes 45-64 noHS white male 0.5244
NY NE yes 30-44 collegeGrad white male 0.5244
PA NE no 30-44 collegeGrad white female 0.5266
CT NE yes 65+ noHS white female 0.5666
RI NE yes 18-29 highschool white female 0.4787
NY NE no 45-64 collegeGrad white female 0.5244
MA NE yes 30-44 someCollege white female 0.4898
NY NE yes 30-44 someCollege white female 0.5244
NJ NE yes 45-64 collegeGrad white male 0.5642
WI MW no 45-64 someCollege white female 0.5278
NY NE no 30-44 collegeGrad white male 0.5244
MI MW no 30-44 someCollege white female 0.5481
NJ NE no 45-64 highschool white female 0.5642
PA NE yes 65+ highschool white female 0.5266
NY NE yes 30-44 someCollege white male 0.5244
IN MW yes 45-64 highschool white female 0.5818
MO MW yes 18-29 highschool white female 0.5336
NY NE no 30-44 someCollege white female 0.5244
NJ NE yes 18-29 highschool white female 0.5642
PA NE yes 30-44 highschool white female 0.5266
OH MW yes 45-64 highschool white female 0.5522
OH MW yes 18-29 someCollege white male 0.5522
OH MW yes 45-64 highschool white female 0.5522
RI NE no 30-44 collegeGrad white female 0.4787
NY NE no 30-44 collegeGrad white female 0.5244
PA NE yes 45-64 highschool white female 0.5266
PA NE yes 18-29 highschool white female 0.5266
WI MW no 30-44 highschool white male 0.5278
WI MW no 30-44 collegeGrad white female 0.5278
OH MW no 18-29 highschool white male 0.5522
CT NE no 30-44 highschool white male 0.5666
KS MW yes 65+ noHS white female 0.6021
OH MW no 30-44 someCollege white male 0.5522
WI MW yes 30-44 collegeGrad white male 0.5278
OH MW yes 30-44 highschool white female 0.5522
MA NE yes 65+ collegeGrad white male 0.4898
NY NE no 30-44 collegeGrad black female 0.5244
WI MW yes 18-29 collegeGrad white female 0.5278
IL MW yes 18-29 highschool white female 0.537
MI MW yes 18-29 collegeGrad white female 0.5481
RI NE yes 30-44 noHS white male 0.4787
KS MW yes 30-44 someCollege white male 0.6021
OH MW yes 30-44 highschool white male 0.5522
MA NE yes 30-44 collegeGrad white male 0.4898
KS MW yes 30-44 someCollege white male 0.6021
PA NE no 65+ highschool white female 0.5266
MO MW yes 30-44 collegeGrad white male 0.5336
LA S no 45-64 highschool black female 0.5841
IL MW no 18-29 collegeGrad white female 0.537
OH MW yes 45-64 highschool white male 0.5522
WI MW no 18-29 highschool white male 0.5278
IL MW no 30-44 highschool white female 0.537
MN MW no 30-44 highschool white female 0.5055
WI MW no 30-44 highschool white female 0.5278
NY NE no 30-44 highschool white female 0.5244
MN MW yes 18-29 highschool white male 0.5055
MI MW no 45-64 noHS black female 0.5481
IN MW yes 30-44 highschool white female 0.5818
NE MW no 30-44 collegeGrad white male 0.6655
OH MW no 30-44 collegeGrad white male 0.5522
VA S yes 30-44 highschool white male 0.6081
NY NE no 30-44 collegeGrad white male 0.5244
FL S yes 45-64 highschool white male 0.6116
TN S no 45-64 collegeGrad white male 0.5543
WI MW yes 45-64 highschool white male 0.5278
OH MW yes 45-64 noHS white male 0.5522
OH MW yes 18-29 highschool white female 0.5522
PA NE yes 18-29 someCollege white male 0.5266
FL S yes 65+ someCollege white male 0.6116
VA S yes 65+ collegeGrad white female 0.6081
OH MW no 30-44 collegeGrad black female 0.5522
MO MW yes 45-64 someCollege white female 0.5336
VA S yes 65+ highschool white female 0.6081
KY S yes 45-64 highschool white female 0.5292
NC S yes 30-44 highschool white female 0.5718
NY NE no 45-64 collegeGrad white male 0.5244
MI MW yes 18-29 someCollege white male 0.5481
IL MW yes 30-44 highschool white female 0.537
IA MW no 45-64 highschool white male 0.5248
MS S no 65+ noHS black female 0.583
FL S yes 18-29 collegeGrad white female 0.6116
AR S no 30-44 collegeGrad white male 0.5397
TX S no 30-44 someCollege white female 0.594
WV NE no 30-44 highschool white female 0.4936
TX S no 30-44 collegeGrad white female 0.594
WV NE yes 45-64 someCollege white male 0.4936
NE MW yes 18-29 someCollege white female 0.6655
NY NE no 18-29 noHS white female 0.5244
NY NE no 45-64 highschool white female 0.5244
FL S yes 65+ collegeGrad white female 0.6116
TX S yes 30-44 collegeGrad white female 0.594
MN MW yes 30-44 highschool white male 0.5055
MO MW yes 18-29 highschool black female 0.5336
GA S no 18-29 noHS black male 0.523
LA S yes 18-29 collegeGrad white female 0.5841
FL S no 30-44 highschool white female 0.6116
WI MW no 18-29 someCollege white male 0.5278
TX S yes 65+ collegeGrad white female 0.594
TX S no 30-44 someCollege black male 0.594
TX S no 45-64 highschool white female 0.594
PA NE no 18-29 highschool white male 0.5266
TX S yes 18-29 highschool white female 0.594
VA S yes 65+ highschool white male 0.6081
NC S no 65+ highschool black male 0.5718
TX S yes 45-64 highschool white male 0.594
IL MW yes 30-44 collegeGrad white male 0.537
NC S no 65+ highschool white female 0.5718
TN S yes 30-44 collegeGrad white female 0.5543
WI MW yes 45-64 highschool white male 0.5278
