age	nonint	mwork	meduc	income	nsibs	fundprot	tradrole
144	14.5	yes	yes	9	7603	3	no	D
147	17.583333333	no	yes	10	12702	0	no	A
149	14.916666667	yes	yes	11	9839	2	yes	D
151	21.083333333	no	no	12	15652	2	no	SD
152	17.25	no	yes	12	15652	2	no	SD
153	16	yes	yes	12	12500	2	no	SD
154	14.333333333	yes	yes	12	12500	2	no	D
157	16.75	no	yes	12	15652	2	no	SA
158	20.333333333	no	no	12	15652	2	no	SD
159	18.75	no	yes	12	15652	2	no	D
160	18.916666667	no	no	8	7603	3	no	D
161	17.833333333	no	no	12	7603	3	no	D
164	18.833333333	no	yes	12	8491	3	no	D
165	18.25	no	yes	10	10000	3	no	SD
167	18.916666667	no	no	12	7354	4	no	SD
170	22	yes	no	12	10399	1	no	SD
172	21.416666667	yes	no	12	3162	9	no	D
175	21.25	no	yes	12	6600	2	no	SD
176	19.333333333	no	yes	12	6577	2	no	SD
179	20.416666667	no	yes	11	7071	2	no	SD
180	21.833333333	no	no	12	10795	4	no	SD
183	20.166666667	no	yes	12	10286	3	no	D
184	18	no	yes	12	10286	3	no	A
186	19.75	no	yes	12	13416	2	no	SD
188	20	no	yes	10	12702	1	no	SD
190	17.5	no	yes	16	13000	2	no	SD
192	15.583333333	no	yes	12	10000	1	no	D
197	16.333333333	no	yes	11	11180	3	no	SA
200	20.333333333	no	no	16	17819	2	no	D
208	20.416666667	no	no	12	5515	3	no	SD
211	15	no	no	12	8944	2	no	D
216	18.416666667	no	no	11	9436	2	no	SD
219	19.5	no	no	12	27500	1	no	D
220	17.666666667	no	no	12	27500	1	no	D
229	15.916666667	no	no	8	8491	1	no	SD
231	21.583333333	no	no	12	12969	3	no	A
236	17.083333333	no	no	9	15000	1	no	SD
237	21.416666667	yes	no	11	5710	4	no	D
238	21.583333333	no	no	9	4243	6	no	D
239	18	no	no	10	75	7	no	D
240	16.416666667	no	no	8	3536	6	no	D
242	20.166666667	no	yes	12	7236	2	no	A
244	21.666666667	no	yes	16	4567	4	yes	SD
245	16.416666667	no	yes	14	6708	3	no	D
249	15.916666667	yes	no	12	2858	4	yes	D
250	20.583333333	no	no	12	6120	1	no	D
252	14.833333333	yes	yes	10	3000	2	no	D
254	17.583333333	no	no	11	10399	4	no	SA
255	16.583333333	no	no	10	8315	4	no	A
256	17.25	no	yes	11	8050	2	no	D
258	21	no	yes	14	13753	3	no	D
262	18.583333333	no	no	12	9391	4	no	SD
264	17.416666667	no	no	10	8000	2	no	SD
265	16.333333333	yes	yes	12	19000	0	no	SD
271	14.75	no	no	12	6577	3	no	SD
272	21.916666667	yes	yes	12	6935	6	no	SD
275	15.916666667	yes	no	14	2594	6	no	D
276	17.25	no	yes	12	10392	1	no	SD
278	18.5	no	yes	12	4025	2	no	D
280	19.833333333	yes	no	14	7354	2	no	SD
282	15.416666667	no	no	13	10206	3	no	A
287	20.083333333	no	no	10	6004	3	no	D
288	17.416666667	no	no	10	6004	4	no	SA
289	16.333333333	no	yes	11	6004	4	no	SD
292	21.833333333	no	no	12	7354	2	no	SD
293	19.666666667	no	no	12	7354	2	no	D
294	17.666666667	no	no	12	8944	3	no	SD
297	21.416666667	no	no	12	9645	2	no	D
307	21.333333333	no	yes	12	6577	1	no	D
312	16.75	no	yes	12	6940	3	no	D
314	20.083333333	no	no	12	7354	4	no	D
319	21.75	no	no	12	21927	1	no	SD
321	21.166666667	no	no	10	22361	4	no	D
322	20.916666667	no	no	10	20125	4	no	SD
326	21.583333333	no	yes	16	14000	1	no	SD
327	20.666666667	no	yes	15	37500	3	no	SD
341	19.833333333	no	yes	12	7603	3	no	SD
344	19.25	no	yes	16	8491	0	no	SD
347	16.416666667	no	yes	12	13279	3	no	SD
352	17.25	no	no	12	17500	3	no	D
354	21.916666667	no	no	12	8971	4	no	D
359	15.916666667	no	yes	14	12247	3	no	D
360	17.666666667	no	yes	16	20125	2	no	SD
363	17.666666667	no	no	12	5367	3	no	SD
365	17.25	no	no	14	4434	8	no	D
367	19.333333333	no	yes	16	17321	2	no	SD
369	20.416666667	no	no	12	23000	1	no	SD
370	19.166666667	no	no	12	23000	1	no	SD
371	19.416666667	no	no	12	14758	2	no	SD
373	20.333333333	no	yes	4	13537	2	no	SD
374	17.666666667	no	yes	4	13537	2	no	SD
389	21.333333333	no	yes	12	27577	1	no	SD
399	21.75	no	no	12	11404	2	no	D
400	17.75	no	no	12	11404	2	no	SD
401	17.75	yes	yes	11	10000	3	no	A
402	21	no	no	8	10399	5	no	D
405	19.416666667	no	yes	12	8944	4	yes	D
407	16	no	yes	16	7500	3	no	D
414	14.833333333	yes	yes	17	5485	1	no	D
416	21.583333333	no	yes	12	7354	1	no	SD
418	14.833333333	no	no	13	3000	1	no	SD
423	18.333333333	no	yes	16	31305	2	no	SD
425	21.416666667	no	yes	14	7354	6	no	D
427	21.333333333	no	yes	12	10399	5	no	SD
428	20.75	no	no	12	6004	3	no	SD
431	19	no	yes	15	5559	4	no	D
436	15.833333333	no	no	12	9815	3	no	SD
437	21.416666667	yes	yes	8	13619	5	no	SD
438	16.083333333	yes	yes	10	6000	2	no	D
439	17.75	no	no	12	9000	2	no	SD
442	21.833333333	no	no	12	7375	1	no	SD
444	17.25	no	no	13	20000	1	no	SD
446	20.25	yes	yes	12	7000	2	no	SD
449	18.833333333	no	no	12	13416	4	no	D
452	14.333333333	yes	yes	12	1273	3	no	SD
454	17.416666667	yes	yes	12	8491	2	no	SD
455	19.75	yes	yes	12	8491	2	no	SD
458	17.333333333	no	yes	12	23094	0	no	SD
459	15.916666667	no	yes	12	11547	3	no	SD
460	17.083333333	no	yes	12	5774	0	no	D
462	19	no	yes	16	8491	0	no	D
465	15.416666667	no	yes	12	10104	3	no	D
467	18.333333333	no	no	12	31305	2	no	SD
471	19.75	no	no	14	10399	3	no	SD
472	16.583333333	yes	no	12	6004	4	no	D
474	17.916666667	yes	no	12	6004	4	no	SD
475	14.583333333	yes	no	12	6004	4	no	A
476	14.5	no	no	12	8944	2	yes	D
478	19.083333333	no	yes	7	11513	6	yes	SA
485	16.75	no	no	12	10733	2	no	A
487	18.666666667	no	no	14	5559	4	no	D
491	19.75	no	no	12	20572	3	no	A
492	17.833333333	no	no	12	20572	3	no	D
494	20.333333333	no	no	12	10607	6	no	SD
495	18.666666667	no	no	12	10607	6	no	SD
496	16.083333333	no	no	12	10607	6	no	SD
499	17.666666667	no	yes	10	16330	4	no	SD
500	15.166666667	no	yes	10	16330	4	no	D
501	15.416666667	no	yes	12	13416	2	no	SD
503	17.916666667	no	no	10	13416	2	no	D
504	15.166666667	no	no	10	13416	2	yes	SD
506	18.333333333	no	no	12	22454	3	no	SD
507	17.333333333	yes	no	14	13000	9	no	D
510	17.333333333	no	no	11	13685	2	no	D
515	14.583333333	no	yes	8	12000	1	no	D
527	21.666666667	no	no	13	9899	2	no	D
528	15.333333333	yes	yes	12	6577	2	no	SD
529	20.666666667	yes	yes	12	16815	2	no	D
530	21.75	yes	yes	5	7354	1	yes	D
532	21.416666667	no	no	12	12500	6	yes	A
533	19	no	no	12	12500	3	no	SD
536	18.083333333	no	no	8	4899	9	no	SA
542	17.5	no	no	6	8132	7	no	D
544	18.416666667	no	no	12	30000	1	no	SD
546	14.916666667	no	no	9	12500	5	yes	SD
548	16.166666667	no	yes	12	13500	1	no	D
550	20.333333333	no	yes	14	15768	2	no	D
551	16.25	no	yes	12	10000	6	no	D
552	18.583333333	no	no	12	11068	7	no	D
557	19.416666667	no	yes	12	18500	3	no	D
558	16.166666667	no	yes	12	21362	3	no	SD
561	19.666666667	no	yes	12	30000	1	no	SD
563	20.583333333	no	no	6	10399	7	no	D
566	17.5	no	no	12	15910	5	no	SD
567	15.916666667	no	yes	12	11547	0	no	D
568	17.416666667	no	no	12	8491	6	no	D
572	17.833333333	no	yes	12	6577	1	no	D
574	15.5	no	yes	12	7354	1	no	D
576	17.583333333	no	no	12	5559	4	yes	A
577	20.333333333	no	no	12	5559	4	yes	D
579	16.166666667	no	yes	12	12247	3	no	D
582	19.833333333	no	yes	17	7000	2	no	SD
585	15.916666667	no	no	12	11500	3	no	A
588	15.416666667	no	no	12	5543	6	no	SA
589	15.833333333	no	no	12	3628	4	yes	D
590	17.25	yes	yes	11	8491	2	no	SD
601	15.833333333	no	yes	16	9798	3	no	D
603	19	no	yes	12	6577	2	no	SD
604	16.916666667	no	yes	12	13416	2	no	A
608	18.666666667	no	no	14	10000	7	no	SD
609	17.333333333	no	no	14	10000	7	no	A
611	19.583333333	no	no	12	8491	8	no	D
612	20.833333333	no	no	12	2828	8	no	SA
615	18.333333333	no	no	9	11023	3	no	A
617	16.666666667	yes	yes	10	8491	2	no	SA
618	19.833333333	yes	no	12	2878	3	no	SD
619	21.083333333	no	no	10	7585	5	no	D
626	20.916666667	no	yes	16	10399	4	no	D
627	21.666666667	no	yes	12	8165	3	no	SD
632	18.333333333	no	no	9	4653	5	yes	D
634	19.083333333	no	yes	8	6470	2	yes	A
635	21.583333333	no	yes	12	10399	1	no	D
636	17.333333333	no	no	12	43302	2	no	D
640	15.5	no	yes	10	10000	1	yes	SD
642	16.25	no	no	12	17000	1	yes	SA
643	14.583333333	no	no	12	17000	1	yes	A
646	16.083333333	no	no	12	8660	0	no	D
648	15.25	no	yes	12	20000	1	no	SD
650	17.75	no	yes	17	22000	2	no	SD
652	18.083333333	yes	yes	12	6928	1	no	D
654	14.166666667	no	yes	12	13500	1	no	SD
655	18.916666667	no	no	12	31754	6	no	D
656	16.333333333	no	yes	13	5277	3	no	D
657	15.083333333	no	no	16	16500	1	yes	A
660	19	no	no	12	14849	5	no	D
661	17.5	no	no	12	5200	5	no	SD
662	16.25	no	yes	12	14849	5	no	D
664	18.916666667	no	no	12	21229	4	no	SD
665	14.416666667	no	no	12	18371	4	no	A
668	14.666666667	no	yes	12	14434	4	no	D
670	17.916666667	no	no	12	13856	1	no	SD
688	16.166666667	yes	yes	11	6708	9	yes	D
689	14.75	yes	yes	11	6708	4	yes	SD
691	17.916666667	yes	yes	11	8944	5	no	SD
692	16.416666667	no	yes	13	8944	2	yes	SD
694	19.5	no	yes	12	15300	2	no	A
696	15.416666667	no	yes	12	6004	3	no	SD
698	19.833333333	no	no	7	8491	3	yes	A
699	21.083333333	yes	no	14	7354	3	yes	SD
703	16.833333333	no	no	9	9411	5	yes	D
704	20.583333333	no	yes	12	16000	4	no	D
708	19.166666667	yes	no	11	2946	6	no	D
712	19.833333333	no	yes	12	25000	5	no	D
713	16	no	no	12	6283	2	no	SD
720	18.25	no	no	8	9675	4	yes	D
721	16.416666667	no	no	8	8165	4	yes	D
723	16.833333333	no	yes	11	26833	4	no	D
724	17.75	no	yes	17	20000	1	no	SD
726	17.5	no	no	12	6000	1	no	SD
733	15.583333333	no	yes	12	22361	3	no	D
736	16	no	no	10	7603	3	yes	D
739	20.583333333	no	no	12	8865	6	no	SD
740	16.25	no	yes	13	24749	1	yes	SD
743	19.333333333	no	yes	14	23094	1	no	SD
746	17.916666667	no	no	14	13100	1	no	SD
748	18.583333333	no	yes	12	20000	1	yes	SA
752	21.5	yes	no	8	4250	2	no	SD
761	19.666666667	no	no	12	2227	5	no	SD
768	16.833333333	yes	yes	10	10399	1	no	SA
770	17.25	no	yes	11	17500	1	no	SD
775	20.666666667	no	no	11	7240	4	no	SD
779	14.666666667	yes	yes	17	10000	5	no	SD
781	19.833333333	no	yes	12	24249	2	no	SD
785	21.666666667	no	no	8	6803	4	no	D
787	17.333333333	no	no	8	6803	4	no	D
788	20.25	no	no	12	16000	3	no	SD
789	19.166666667	yes	no	12	18898	7	no	D
790	15	yes	no	11	9839	2	no	D
792	18.416666667	yes	yes	12	14434	4	no	D
798	17	no	no	12	9827	4	no	SA
801	19.25	no	no	11	7559	5	yes	D
803	16.333333333	no	yes	12	12247	3	yes	SD
804	14.916666667	no	no	12	12247	3	yes	SD
805	21.083333333	no	yes	12	18826	1	no	D
808	14.5	no	no	12	14289	3	no	A
810	18.583333333	no	no	12	15652	4	no	SD
811	19.833333333	no	no	12	15000	1	no	A
812	18.416666667	no	no	12	10500	1	no	D
814	20.75	no	yes	12	22500	2	no	D
816	20.916666667	no	no	12	17898	2	no	D
820	18.166666667	no	yes	17	17321	1	no	SD
821	21.083333333	no	yes	18	32500	1	no	SD
824	19.666666667	no	no	12	17500	1	no	SD
828	17.333333333	no	no	14	17321	3	no	A
829	21.833333333	no	no	14	5410	3	no	D
841	20.166666667	no	yes	11	10399	1	yes	A
842	19.333333333	no	yes	12	7354	2	no	A
843	16.833333333	no	no	13	6940	3	yes	D
845	18.25	no	yes	12	7354	3	yes	D
846	15.666666667	yes	yes	12	8485	7	yes	A
848	20.25	no	no	12	5715	4	no	D
849	18.416666667	no	no	12	5367	4	no	D
852	19.083333333	yes	no	12	6577	1	no	D
854	16.333333333	no	no	12	15652	3	yes	SD
855	20.083333333	yes	no	12	7559	6	no	D
856	18.5	yes	yes	12	9449	6	no	A
857	16.916666667	yes	yes	12	7559	4	no	SD
858	15.25	yes	yes	12	7559	6	no	SD
861	16.416666667	yes	no	12	7500	4	no	A
862	20	yes	yes	9	6178	1	no	SD
866	14.916666667	no	yes	12	10500	1	no	D
867	14.5	no	no	12	8491	4	no	A
869	17.333333333	no	no	12	16330	4	no	SD
875	21.333333333	no	no	15	5000	6	no	D
876	20	no	no	14	5090	6	no	SD
878	14.416666667	no	no	14	19000	6	no	D
879	14.583333333	no	yes	19	12500	5	no	D
880	21.916666667	no	no	11	10399	4	no	A
883	14.666666667	no	no	16	16994	6	no	D
884	20.666666667	no	no	13	12124	2	no	SD
886	18.25	no	yes	14	7354	5	no	SD
887	18.25	no	yes	14	7354	5	no	SD
889	20.166666667	no	no	12	8910	2	no	SD
892	16.75	no	yes	13	9391	4	no	SD
893	19.583333333	no	yes	12	8491	4	no	SD
894	17.416666667	no	no	12	8491	11	no	A
895	17.833333333	no	yes	12	7354	1	no	SD
896	17.583333333	no	yes	16	10206	3	no	SD
897	15.833333333	no	yes	16	12522	3	no	D
898	14.416666667	no	yes	16	12522	3	no	A
900	17.25	yes	yes	10	6577	7	yes	SD
901	14.916666667	yes	yes	11	6577	7	yes	SD
904	15.25	no	yes	12	7354	1	no	A
905	16.916666667	no	no	12	10000	2	yes	D
906	14.333333333	yes	yes	13	11547	1	no	SD
909	15	no	yes	12	8944	4	yes	D
912	21.416666667	no	no	12	9500	2	no	D
918	15.833333333	no	yes	12	14000	3	no	D
923	17.5	no	yes	12	7937	6	no	SD
926	19.333333333	no	no	13	25000	2	no	A
928	17.75	no	yes	12	5559	9	no	D
932	19.583333333	no	yes	12	6698	5	no	SD
935	20.833333333	no	yes	12	8839	6	no	D
936	17.833333333	no	yes	12	8839	6	no	SD
939	20.083333333	no	no	12	10399	5	no	D
940	19.333333333	no	yes	12	10399	3	no	SD
942	17.833333333	yes	yes	12	10607	3	no	SD
943	20.666666667	no	no	14	19803	0	no	SD
949	16	no	no	12	10500	1	no	D
950	14.916666667	no	no	12	10500	1	no	D
952	14.833333333	no	no	12	7348	3	no	D
953	19.833333333	yes	no	9	8491	4	no	SD
954	18.25	yes	yes	12	10399	0	no	SD
962	17.583333333	no	no	12	30619	3	no	D
963	16.5	no	no	12	30619	3	no	D
964	14.5	no	no	12	30619	3	no	D
966	17	no	yes	12	5669	7	no	D
967	15.916666667	no	yes	12	5669	7	no	SD
969	20.5	no	yes	12	12473	4	no	D
971	17	no	yes	12	12473	4	no	SD
972	15.5	no	yes	12	12473	4	no	D
974	18.25	no	yes	12	8050	2	no	SD
975	14.916666667	yes	yes	12	8050	2	no	SA
976	21.583333333	no	yes	11	20125	3	no	D
978	19.833333333	no	yes	11	5559	4	no	D
979	19.416666667	no	no	8	7506	7	no	D
981	18.833333333	no	no	10	6004	5	no	A
982	15.916666667	no	no	10	6004	5	no	D
989	22	no	no	12	24495	8	no	SD
991	16	no	yes	12	24495	8	no	SD
992	20.333333333	no	no	16	9815	6	no	D
995	21.5	no	no	12	11489	4	yes	SD
998	21.166666667	no	yes	12	9908	3	yes	D
999	15.75	yes	yes	10	10001	9	no	SD
1004	18.166666667	yes	yes	12	7500	2	no	D
1005	19.416666667	no	yes	12	14707	5	yes	D
1006	19.75	no	no	12	1500	4	no	SD
1008	20	no	no	8	8491	4	no	D
1009	21.333333333	no	no	8	11316	4	no	D
1015	16.166666667	no	no	12	34641	3	no	D
1016	18.666666667	no	no	12	7354	4	no	SD
1017	17.333333333	yes	yes	12	7354	4	no	SD
1018	14.333333333	yes	yes	12	7354	4	no	D
1019	14.416666667	no	no	16	25000	2	no	SD
1020	18.25	no	no	16	22361	2	no	D
1022	16.333333333	no	yes	12	6577	3	no	D
1024	16.583333333	no	no	14	21500	1	no	D
1035	14.916666667	yes	yes	8	7937	5	no	D
1036	16.166666667	yes	yes	10	5814	3	no	A
1037	17.5	no	no	12	10000	2	no	SD
1038	14.416666667	no	yes	12	10000	2	no	D
1039	19	yes	yes	13	11455	3	no	SD
1040	19.083333333	yes	yes	12	5500	5	no	A
1041	21.833333333	yes	yes	11	3420	1	yes	D
1047	19.833333333	yes	yes	16	5700	3	no	D
1048	20.666666667	no	yes	11	6395	2	no	SA
1049	16.5	no	yes	12	14500	1	no	SD
1050	17.333333333	yes	yes	12	7071	3	no	D
1056	19.5	no	yes	11	7216	2	yes	D
1063	18.416666667	yes	no	10	1133	8	no	D
1065	20.25	yes	yes	12	7200	3	yes	SD
1069	21.333333333	no	yes	10	14142	2	no	D
1075	21.25	no	no	8	7750	0	no	D
1077	18.5	no	yes	12	8066	7	no	SD
1080	14.833333333	no	yes	10	20000	2	no	SD
1082	16	no	no	16	22808	3	no	SD
1083	19.083333333	no	no	12	7354	3	no	D
1086	17.5	no	no	16	19500	2	no	SD
1087	15.666666667	no	no	16	19500	2	no	D
1088	18.75	no	no	16	30000	2	no	D
1090	14.833333333	no	yes	10	6500	2	no	A
1093	18.083333333	no	no	12	25000	3	no	SD
1100	16.583333333	no	no	16	13985	4	no	SD
1103	20.833333333	no	yes	12	10614	4	no	D
1104	20.833333333	no	yes	12	10614	4	no	D
1105	17.333333333	no	yes	12	10614	4	no	D
1106	14.666666667	no	yes	12	10614	4	no	SD
1108	21.166666667	no	no	12	25000	2	no	SD
1110	16.25	no	yes	10	8500	5	yes	SD
1111	22	no	yes	9	9102	6	no	SD
1112	14.5	yes	no	9	3674	3	no	D
1129	20.416666667	no	yes	12	11547	0	no	D
1133	18.5	no	yes	13	10206	3	no	D
1135	14.5	no	yes	15	10206	3	no	D
1139	17.833333333	no	yes	13	25000	6	no	SD
1140	20	no	yes	12	26833	1	no	D
1141	20	no	no	12	43302	2	yes	D
1147	17.666666667	no	yes	14	14434	0	no	D
1163	20.166666667	no	yes	12	100	2	yes	D
1164	18.083333333	no	yes	6	7354	4	yes	D
1167	15.666666667	no	no	14	31305	2	no	SD
1170	17.666666667	no	no	12	6004	3	yes	SD
1172	19.333333333	no	no	12	7354	3	yes	D
1175	20.583333333	no	no	12	7354	2	no	SD
1177	17.583333333	no	yes	12	6577	2	yes	D
1178	16.083333333	no	yes	12	6577	2	yes	SD
1179	16.083333333	no	yes	12	0	2	yes	SD
1181	22	no	yes	13	28868	2	no	SD
1182	20.583333333	no	yes	17	21913	2	no	D
1184	21.416666667	no	no	16	6700	2	yes	D
1187	18.666666667	no	no	12	8944	2	no	D
1199	21	yes	yes	10	5548	2	yes	D
1200	18.833333333	yes	yes	12	7566	1	yes	A
1225	21.416666667	yes	no	11	15547	6	no	D
1228	17.75	no	yes	12	6001	4	no	SD
1230	21.666666667	no	yes	12	10399	3	yes	D
1231	15.5	no	no	16	7354	1	no	D
1233	19.166666667	no	no	12	12728	3	yes	SD
1234	17.916666667	no	yes	12	6004	4	no	D
1236	15.666666667	no	yes	12	6004	4	no	D
1238	21.25	yes	yes	12	4989	7	yes	D
1240	15.166666667	no	yes	12	12500	1	yes	D
1241	18.083333333	no	no	12	10399	3	yes	D
1242	14.75	no	no	12	6577	3	yes	A
1244	14.583333333	yes	no	9	6577	8	yes	A
1246	16.25	yes	yes	9	7603	8	yes	D
1250	21.583333333	no	yes	12	8821	4	yes	D
1251	15.333333333	no	no	12	12702	2	no	D
1252	21	no	no	12	13000	3	yes	SD
1253	15.25	no	yes	12	13000	3	yes	SD
1254	17.166666667	no	yes	12	6708	2	no	SD
1255	16.166666667	no	no	12	6708	2	yes	SD
1258	17.083333333	no	yes	12	13000	3	yes	D
1259	20.916666667	yes	yes	12	6500	2	no	SD
1261	20.416666667	no	yes	14	5400	2	no	SD
1262	19.416666667	no	no	18	4200	2	yes	D
1263	18.166666667	no	yes	12	10399	0	yes	D
1271	15.083333333	no	no	11	9815	2	yes	D
1274	18.416666667	no	no	12	7354	1	yes	SD
1276	15.25	yes	yes	12	17500	3	no	SD
1277	14.333333333	no	yes	12	6577	5	yes	D
1279	20.25	no	yes	17	19200	2	no	D
1281	15.416666667	no	yes	12	6577	2	yes	SD
1283	15.333333333	yes	yes	17	10399	2	no	SD
1285	15	no	yes	10	9839	2	yes	A
1296	16.833333333	no	no	7	8491	0	yes	A
1302	16.5	yes	no	9	10399	5	yes	A
1304	14.5	no	no	12	6004	3	yes	SD
1305	22	no	yes	12	2000	1	yes	SD
1306	16.25	yes	no	12	6004	2	yes	D
1310	17.333333333	yes	yes	12	7354	4	yes	D
1312	21.5	no	yes	10	7155	3	yes	D
1322	21.5	no	no	8	10399	3	no	D
1323	16.75	no	yes	12	13500	2	yes	D
1324	16.416666667	no	no	13	7354	1	no	D
1326	16.416666667	no	yes	12	6000	3	no	D
1327	17.416666667	no	no	12	8900	3	no	D
1328	17.333333333	yes	no	12	10399	3	yes	D
1334	20.5	no	no	10	4678	3	yes	SD
1335	18.5	no	no	10	2121	3	yes	A
1336	18.916666667	yes	no	4	500	9	yes	D
1339	16.416666667	no	no	5	12990	2	yes	D
1341	20.166666667	yes	no	8	3795	4	yes	A
1343	17.583333333	no	yes	12	7071	1	yes	D
1344	19.666666667	no	yes	12	5000	8	yes	SA
1347	17.5	no	yes	12	10392	6	yes	D
1348	16.916666667	no	yes	12	8314	0	yes	A
1352	20.25	no	yes	12	16391	2	yes	SD
1356	16.25	no	no	12	8491	0	no	A
1359	21.333333333	no	no	14	4243	2	yes	A
1360	21.916666667	no	no	11	6000	4	yes	A
1361	14.916666667	no	yes	10	5774	1	yes	D
1362	16.25	yes	yes	14	7506	1	no	D
1365	16.416666667	no	no	9	8491	3	no	SD
1366	20.5	no	yes	12	26517	7	no	SD
1370	14.583333333	no	no	11	6004	3	yes	D
1374	15.833333333	no	yes	16	15652	2	yes	D
1392	21.083333333	no	yes	6	16843	5	yes	A
1394	18.833333333	no	no	11	8506	4	yes	D
1395	15.666666667	no	yes	12	10392	0	yes	SD
1398	19.666666667	yes	no	12	2475	5	no	D
1407	16.166666667	no	yes	12	9000	1	no	D
1409	14.5	no	yes	12	12500	2	yes	SD
1410	17.5	no	yes	11	8491	2	yes	D
1411	17.166666667	yes	no	9	4792	3	yes	D
1412	16.583333333	no	yes	11	8491	7	no	D
1416	17.416666667	no	no	9	6005	4	yes	SD
1421	17.666666667	no	yes	12	13416	2	yes	A
1422	15.833333333	no	yes	12	13416	2	yes	A
1423	20.833333333	yes	yes	10	7354	3	no	A
1426	17	no	yes	13	11547	1	no	A
1427	14.666666667	no	no	16	6577	2	no	D
1443	15.75	yes	yes	12	3667	2	yes	D
1455	22	no	no	4	6532	7	yes	SA
1459	15.083333333	yes	yes	7	7357	8	yes	D
1460	20.583333333	no	no	14	2700	6	no	D
1463	20.25	yes	yes	12	6785	2	yes	SD
1465	14.583333333	yes	yes	10	7653	4	no	D
1467	19.25	no	no	12	8491	9	no	D
1469	21.416666667	yes	no	12	5569	3	yes	D
1470	18.333333333	no	no	11	0	3	yes	D
1472	15.916666667	no	yes	10	7354	1	yes	D
1474	21.333333333	yes	yes	12	7283	3	no	SD
1478	19.75	yes	yes	12	6577	2	yes	SD
1493	15.5	no	no	12	8497	2	yes	D
1494	19	no	yes	12	6004	3	yes	D
1495	21.166666667	no	yes	9	10970	3	yes	D
1497	20.416666667	no	no	12	15588	1	yes	D
1498	15.833333333	no	no	12	6577	2	yes	A
1499	21.75	no	no	14	15344	2	yes	D
1502	14.916666667	no	no	16	18371	3	no	D
1507	17.5	no	yes	14	8165	3	yes	D
1510	15.416666667	no	yes	12	6928	2	no	A
1511	18.416666667	no	yes	12	7354	2	no	D
1512	18.083333333	no	no	16	13640	2	no	D
1514	19.333333333	no	no	12	20412	2	yes	D
