age	region	kids04	kids59	hoursWorked	education	familyIncome
263	30	Quebec	Yes	No	1095	11.5	15198
264	29	BC	No	No	1130	15	70087
265	31	Quebec	No	Yes	1564	13.3	19263
266	37	Atlantic	Yes	Yes	1981	16.1	16364
267	52	Quebec	No	No	0	11	13450
268	35	Ontario	No	Yes	782	11	16289
269	51	Quebec	No	No	0	12	37315
270	31	Ontario	No	Yes	2497	13	37988
271	49	BC	No	No	1297	12	17027
272	35	Quebec	No	Yes	0	11	639
273	31	Quebec	Yes	No	0	14	6128
274	35	Prairies	Yes	Yes	499	17	31684
275	55	Quebec	No	No	2294	6	1184
277	51	Prairies	No	No	0	10	607
278	48	Atlantic	No	No	1460	20	58253
279	31	Prairies	Yes	Yes	0	15.7	35591
280	52	Ontario	No	No	0	14	180333
281	31	Atlantic	Yes	Yes	2086	12.5	14307
283	43	Atlantic	No	Yes	2086	14.5	25110
284	36	Prairies	No	No	2086	14	24863
285	34	Prairies	No	Yes	1981	12.5	12144
286	58	Atlantic	No	No	0	11.5	24783
287	22	Prairies	No	No	1423	12	2790
288	55	Quebec	No	No	0	13	21961
289	60	Quebec	No	No	0	7.5	19733
290	61	Quebec	No	No	0	9	35486
291	46	Ontario	No	No	0	13.3	26358
292	31	Ontario	Yes	Yes	0	12	41091
293	40	Prairies	No	No	1304	10	39762
294	63	Quebec	No	No	0	6	0
295	51	Atlantic	No	No	1512	13	52245
296	59	Prairies	No	No	0	10	18749
297	61	Ontario	No	No	0	8.5	5442
298	48	Prairies	No	No	2086	12	32810
299	39	Ontario	No	Yes	1251	16.9	39320
300	30	Atlantic	Yes	No	1220	20	15773
301	47	Atlantic	No	No	1981	13	21858
302	62	BC	No	No	0	13	24355
304	60	Prairies	No	No	0	12.5	61687
305	37	Quebec	No	Yes	0	10	6247
306	56	Atlantic	No	No	0	10	11195
307	38	Atlantic	No	No	2086	10	36657
308	57	Prairies	No	No	869	12.5	40719
309	40	Prairies	No	Yes	0	14	38275
311	49	Atlantic	No	No	527	12	32479
313	26	Quebec	Yes	No	0	12	21630
314	56	Prairies	No	No	2086	9	13696
315	30	Ontario	Yes	Yes	256	12.5	34535
316	47	Prairies	No	No	311	15	64866
317	52	Quebec	No	No	3129	8	52398
318	35	Ontario	No	Yes	2086	8	24292
319	48	Ontario	No	No	2998	13	37481
321	54	Atlantic	No	No	0	8	17205
322	49	Ontario	No	No	2868	13	41611
323	34	Quebec	Yes	Yes	1825	14	35604
324	46	Prairies	No	No	1890	5	45450
325	36	Ontario	No	Yes	2086	14.1	36904
326	42	Quebec	No	No	0	14	23199
327	34	Atlantic	Yes	Yes	2086	13	31422
328	48	Prairies	No	No	1825	16.2	11456
329	24	Ontario	Yes	No	2086	14	17313
330	46	Atlantic	No	No	2086	15	24681
331	36	Ontario	No	Yes	1955	12	32527
332	59	Atlantic	No	No	0	9	21542
333	34	Atlantic	No	Yes	1077	12	9282
336	29	Quebec	Yes	No	0	11	24504
337	28	Ontario	Yes	No	0	13	38995
338	26	Ontario	Yes	No	0	12	19612
339	27	Quebec	Yes	No	0	9.4	15155
340	32	Quebec	No	Yes	0	6	12328
341	32	Atlantic	No	No	1903	12	42532
342	43	Quebec	No	No	1825	17.5	22927
343	48	Ontario	No	Yes	0	10	25041
344	34	Ontario	No	Yes	1060	20	47090
345	42	Atlantic	No	Yes	2294	9	3131
346	42	Ontario	No	No	0	12.5	44267
347	37	Ontario	No	Yes	1669	14	41599
348	26	Prairies	No	No	491	19	18812
349	25	Quebec	Yes	No	0	10	22222
350	35	Atlantic	No	Yes	695	13	11185
351	61	Quebec	No	No	0	11	60516
352	42	Quebec	No	No	1560	15	44543
353	58	Prairies	No	No	2086	18	36796
354	47	Atlantic	No	No	782	9	6961
355	27	Ontario	Yes	No	1955	12.5	25133
356	43	Ontario	No	No	869	18.8	38332
357	55	BC	No	No	1304	13.2	53388
358	29	BC	Yes	Yes	2086	12.5	28264
359	52	Ontario	No	No	1755	16	62299
360	43	Ontario	No	No	1738	12	56244
361	46	Atlantic	No	No	1955	15.3	43105
362	56	Prairies	No	No	0	10	25744
363	32	Prairies	Yes	No	1898	13	29768
364	59	BC	No	No	104	12	58580
366	35	Prairies	No	No	2086	12	45073
367	32	Prairies	No	Yes	2086	12.5	22119
368	38	Ontario	No	Yes	1825	17.8	49524
369	53	Atlantic	No	No	0	7	21919
370	45	Quebec	No	Yes	261	7	19325
371	55	Quebec	No	No	243	6	21915
372	59	Prairies	No	No	0	11.5	25778
373	38	Prairies	Yes	Yes	0	16.5	41952
374	32	Quebec	No	Yes	1877	12	27584
375	46	Ontario	No	No	1536	15	41829
376	28	BC	Yes	No	217	12	38503
377	63	Atlantic	No	Yes	0	5	41771
378	29	Ontario	Yes	No	1955	14.5	38465
379	30	Ontario	No	No	2040	17	48962
380	29	Quebec	No	No	2086	12	27333
381	63	Prairies	No	No	212	11	12366
382	31	Ontario	Yes	No	1304	13	21191
383	56	Ontario	No	No	5162	10.5	7293
384	44	Prairies	No	No	2130	14	58498
385	33	Quebec	Yes	No	1558	17	36827
386	39	Ontario	No	No	1564	20	62129
387	24	Ontario	Yes	No	0	16	27673
388	64	Atlantic	No	No	0	5	12531
389	43	Prairies	No	No	2868	18	47603
390	49	BC	No	No	1877	12.5	41536
391	42	Prairies	No	No	0	14	46262
392	35	Prairies	Yes	Yes	2086	16	30097
393	47	BC	No	No	0	10	52074
394	21	Atlantic	Yes	No	0	12	48642
395	42	Prairies	No	No	2086	17	28958
396	48	Atlantic	No	No	2007	16	34427
397	49	Ontario	No	No	1955	16	47156
398	55	Quebec	No	No	0	4	5691
399	62	BC	No	No	0	8	28067
400	45	Atlantic	No	No	1825	13	6911
401	39	Atlantic	No	No	1877	12.2	47579
403	40	Ontario	No	Yes	2294	17	25105
404	46	Ontario	No	No	1251	16.5	92734
405	57	BC	No	No	0	15	60105
406	53	Quebec	No	No	0	7	34761
407	43	Prairies	No	No	1981	15.5	24433
408	51	Atlantic	No	No	0	12	33169
409	34	Quebec	No	No	626	12	22832
410	34	Atlantic	No	Yes	592	10	19974
411	39	Quebec	No	No	1719	11.5	23450
412	30	Atlantic	Yes	Yes	1016	12	7457
413	59	Prairies	No	No	0	12	19336
414	28	Ontario	Yes	No	900	12.3	45634
415	35	Prairies	No	Yes	1557	13	28422
416	43	Atlantic	No	No	0	13	57949
417	35	Atlantic	Yes	No	1564	13	13936
418	43	Ontario	No	No	0	14	47833
419	45	Atlantic	No	No	1825	12	5504
420	31	Quebec	Yes	Yes	1304	17	12469
421	40	Ontario	No	Yes	912	14	46462
422	47	Prairies	No	No	1825	17	15159
423	35	Quebec	No	No	0	14	32530
424	26	Prairies	No	No	2086	16.8	16763
426	24	Ontario	Yes	No	0	10.6	32137
427	36	Ontario	No	Yes	1877	20	30751
428	37	Prairies	No	No	1019	12	61919
429	51	Ontario	No	No	3276	12.5	13714
430	36	Atlantic	No	No	2086	13	18130
431	48	Quebec	No	No	0	7	41023
432	25	Quebec	Yes	No	0	8	15144
433	46	Quebec	No	No	1955	12	28954
434	43	Ontario	No	No	2607	17	43311
435	42	Prairies	No	No	2190	13.5	20724
437	54	Atlantic	No	No	0	16	0
438	31	Ontario	Yes	Yes	1043	12	30689
439	62	Ontario	No	No	1825	12	18055
440	48	Atlantic	No	No	0	9	10312
441	57	Prairies	No	No	0	12.5	31022
442	31	Prairies	No	No	2086	12	40528
443	33	Atlantic	No	Yes	0	11	16843
444	54	Quebec	No	No	0	11	34617
445	57	Prairies	No	No	0	12	15631
446	42	Ontario	No	Yes	1981	13	28742
447	44	Quebec	No	No	0	13	72213
448	43	Prairies	No	No	2034	14	24231
449	43	Ontario	No	No	1564	13	30920
450	47	Quebec	No	No	1955	11	39222
451	21	Prairies	No	No	564	12	21608
452	38	Quebec	No	Yes	2086	11	35835
453	30	Prairies	Yes	No	1251	12	22802
454	34	Prairies	No	No	2086	14	20041
455	44	Atlantic	No	No	0	11.5	18311
456	50	Prairies	No	No	1929	15.1	24608
458	33	BC	Yes	No	786	17	28568
459	25	Atlantic	No	No	1304	12	15954
460	52	Quebec	No	No	0	13	50350
461	24	Prairies	No	No	3129	15	19988
462	41	Ontario	No	No	0	9	101886
463	44	Ontario	No	No	2092	17	42788
464	48	Prairies	No	No	1825	13	47458
465	57	Quebec	No	No	2086	14	0
467	52	Ontario	No	No	0	5	52049
468	34	BC	Yes	No	608	15	38584
469	41	Atlantic	No	No	254	11.5	15779
470	51	Prairies	No	No	435	10	55679
471	36	Quebec	No	Yes	0	9.2	12715
472	54	BC	No	No	1955	10	29418
473	33	Atlantic	No	Yes	0	12.5	29293
474	47	Atlantic	No	No	0	18.3	40584
475	43	Ontario	No	No	1825	18	57962
476	57	BC	No	No	0	15	13292
477	60	Prairies	No	No	0	12	17303
479	44	Quebec	No	No	1909	8	34231
480	34	Quebec	No	Yes	1961	12.5	40952
481	38	Prairies	No	No	2086	12	25247
482	31	BC	Yes	No	590	18	46525
483	41	Ontario	No	No	669	12.5	38162
484	51	Ontario	No	No	0	14.5	51631
485	32	Ontario	Yes	Yes	1356	15	27039
486	34	Atlantic	Yes	No	1825	13.6	24116
487	39	Atlantic	No	No	2468	9	14769
488	34	Atlantic	No	Yes	1825	12.5	20812
489	33	Prairies	Yes	Yes	2086	16	25255
490	55	Ontario	No	No	0	9	33328
491	30	Ontario	Yes	No	583	13	27994
492	34	Prairies	Yes	No	2026	17	24267
493	28	Ontario	Yes	Yes	808	16	5293
494	41	Quebec	No	No	1460	15.8	47859
495	44	Atlantic	No	No	2086	10	27884
496	28	Ontario	Yes	No	1912	17	35511
497	33	Quebec	Yes	No	1955	12	31061
498	40	Prairies	No	No	1304	12	21692
499	41	Ontario	No	No	1981	11	38251
500	38	Atlantic	No	No	0	10	25899
501	35	Ontario	Yes	Yes	1877	17	46776
502	56	Ontario	No	No	2086	10.5	26477
503	62	Ontario	No	No	0	8	21233
504	45	Ontario	No	No	1564	14	44732
505	50	Ontario	No	No	1955	13.5	43206
506	37	Atlantic	Yes	Yes	1981	13	25567
507	27	Prairies	Yes	No	1825	12.5	24661
508	32	Ontario	No	Yes	713	17.1	32726
509	31	Ontario	No	Yes	1043	18	59154
510	27	Prairies	Yes	No	521	12	87584
511	55	BC	No	No	1043	12	22030
512	30	Ontario	Yes	No	1955	12	25398
513	27	Quebec	Yes	No	1825	13	12186
514	41	Prairies	No	Yes	0	12	18028
515	46	Atlantic	No	No	0	9	20195
516	53	Ontario	No	No	2086	12	65800
517	57	Ontario	No	No	0	12	23866
518	27	Prairies	Yes	No	1460	8	30026
519	24	Ontario	No	No	660	17	28608
520	62	Prairies	No	No	0	8	16551
521	42	Prairies	No	No	1564	19	40714
522	37	Atlantic	No	No	2662	14.1	13850
523	61	Quebec	No	No	0	11	34891
524	38	Atlantic	No	No	0	11	19451
525	29	Atlantic	No	Yes	0	12	18007
526	52	Ontario	No	No	2346	17	34586
527	26	Ontario	Yes	No	2086	14	18942
528	59	Prairies	No	No	0	11	29246
529	45	Quebec	No	No	0	9	30058
530	37	Ontario	No	Yes	1564	14	29001
531	60	Ontario	No	No	0	8	25539
532	45	Prairies	No	No	1564	11	5932
534	55	Atlantic	No	No	1083	13	38880
535	41	Ontario	No	No	1981	16	336
536	56	Prairies	No	No	626	12	15206
537	30	Prairies	Yes	No	2086	12.1	34084
538	41	Ontario	No	No	1304	13.5	43180
539	62	Ontario	No	No	2086	18	22256
540	48	Atlantic	No	No	1955	11	29317
541	58	Prairies	No	No	1825	12	24688
542	56	Quebec	No	No	0	12	28946
543	46	Atlantic	No	No	1825	8.1	29799
544	55	Atlantic	No	No	1293	12	1068
545	31	Ontario	Yes	No	1981	12	25696
546	57	Prairies	No	No	2086	12	24520
547	49	Ontario	No	No	0	12.5	53271
548	43	Atlantic	No	No	2086	16	57160
549	42	Prairies	No	No	2086	16	30556
550	54	Ontario	No	No	1369	10	30569
551	25	Atlantic	No	No	2086	12	18710
552	37	Ontario	No	No	0	13.3	28191
553	57	Ontario	No	No	522	17	33938
554	41	Atlantic	No	No	1955	13	26906
555	31	Quebec	No	Yes	2216	11	49005
556	44	Ontario	No	No	2084	18	85494
558	31	Atlantic	No	No	2607	18	64487
559	38	Ontario	No	No	1981	16	22602
561	35	Prairies	No	No	730	10	16924
562	38	Ontario	No	No	968	9	1464
563	34	Atlantic	No	Yes	2086	12.1	40975
564	48	Prairies	Yes	No	0	14	42240
565	43	BC	No	No	1526	10	58264
567	58	BC	No	No	0	10	10106
568	29	Ontario	Yes	No	1304	18	33793
569	41	Ontario	No	No	2086	17	37199
570	48	BC	No	No	2086	12	42373
571	43	Quebec	No	No	0	8	25209
572	26	Ontario	Yes	No	724	11.5	29411
573	29	Atlantic	No	No	679	20	0
574	55	Ontario	No	No	1955	12	31774
575	35	Ontario	No	Yes	261	12	30540
576	59	Quebec	No	No	0	11	32296
577	58	Quebec	No	No	0	8	60373
579	35	BC	No	No	1929	16	30964
580	57	Atlantic	No	No	2086	11	21887
581	35	Ontario	No	No	2086	11	0
582	56	Quebec	No	No	1834	12	24596
583	33	Atlantic	Yes	Yes	1564	16	37896
584	36	Quebec	Yes	Yes	0	13	29839
586	43	Prairies	No	Yes	1043	19.6	47637
587	40	Prairies	No	Yes	15	13	46047
588	38	Prairies	No	No	1955	13	23719
589	39	Atlantic	No	Yes	0	11	18253
590	35	BC	No	No	2086	12	38803
591	40	Atlantic	No	No	1932	15.1	37075
592	32	Atlantic	No	Yes	2086	16	21745
593	38	Quebec	No	Yes	2086	9	25665
594	48	BC	No	No	1285	12	43297
595	32	Atlantic	Yes	Yes	1404	14	66721
596	49	Ontario	No	No	2528	13.1	36078
597	47	Ontario	No	No	1877	12	45036
598	53	Ontario	No	No	1981	16	57625
599	50	Quebec	No	No	1721	17	45898
600	36	Ontario	No	Yes	1169	16.1	24374
602	57	Ontario	No	No	0	8	18778
604	23	Ontario	No	Yes	1912	12.2	14571
605	31	Atlantic	Yes	Yes	2086	13	27544
606	45	Ontario	No	No	117	10	55502
608	46	Ontario	No	No	1877	12	29115
609	46	Atlantic	No	No	502	9	49366
610	48	Atlantic	No	No	1981	15	29683
611	55	Ontario	No	No	1564	15	46788
612	56	Quebec	No	No	0	11	35223
613	34	Quebec	No	No	1466	11	23732
614	42	Atlantic	No	Yes	2086	18	47626
615	39	Prairies	No	No	0	10	44052
616	32	Prairies	Yes	No	1955	13	30967
617	32	BC	No	Yes	1251	13	48551
618	33	Prairies	No	Yes	0	14	43916
619	24	Prairies	Yes	No	841	12	20307
620	45	Quebec	No	No	391	14	41402
621	39	BC	No	Yes	1236	12.5	32177
622	37	Quebec	No	Yes	2086	12	2566
623	55	Atlantic	No	No	1564	10	21419
624	51	Atlantic	No	No	0	9	18475
625	38	Ontario	No	No	1314	10	42787
626	33	Ontario	No	Yes	0	12	1180
627	41	Prairies	No	No	0	16	28365
628	54	Quebec	No	No	0	12	36114
630	29	Atlantic	Yes	Yes	521	12	71911
631	53	Atlantic	Yes	No	0	11	32150
632	49	Atlantic	No	No	1460	11	35636
633	56	Atlantic	No	No	1509	10	9434
634	51	Quebec	No	Yes	0	12	8884
635	41	Atlantic	No	No	1981	13	21053
636	40	Prairies	No	Yes	0	13	42973
637	41	Atlantic	No	No	1095	11	31560
638	26	Prairies	No	No	576	17.8	37245
639	41	Atlantic	No	No	608	12	36719
640	46	Ontario	No	No	1251	15	59182
641	27	Atlantic	No	Yes	111	13	21403
642	52	Prairies	No	No	0	16	29980
643	62	Prairies	No	No	0	12	8396
644	47	Atlantic	No	No	2086	12	33407
645	55	Prairies	No	No	345	10	18280
647	32	Atlantic	No	Yes	1825	16	21484
648	47	Ontario	No	No	2675	13	55790
649	40	Prairies	No	No	1473	12	66632
651	25	Quebec	Yes	No	0	14.6	28707
652	35	Quebec	No	No	1825	12.5	0
653	43	Atlantic	Yes	Yes	0	10.3	66989
654	39	Atlantic	No	Yes	1929	13	20671
655	58	Atlantic	No	No	1981	12	53807
657	28	Ontario	Yes	No	1408	10.5	32468
658	37	Ontario	No	Yes	0	11	22873
659	43	Quebec	No	No	1825	12	32436
660	38	Ontario	No	No	521	10.6	25849
661	50	Ontario	No	No	1997	12	37372
662	58	Atlantic	No	No	0	10	28396
663	45	Prairies	No	No	0	10	23839
664	41	Ontario	No	No	910	17	28704
665	31	Prairies	Yes	No	43	13	28855
666	46	Atlantic	No	Yes	206	13	25944
667	39	Ontario	No	No	1929	17	31227
668	41	Prairies	No	Yes	1395	14	27936
669	37	Ontario	Yes	No	0	14	13865
670	33	Atlantic	Yes	Yes	1553	14	17705
671	45	Quebec	No	No	313	12	50625
672	24	Atlantic	Yes	No	0	12	36866
673	45	BC	No	Yes	912	17	40981
674	48	Atlantic	Yes	No	3129	13	52328
675	31	Prairies	Yes	No	499	10	15506
676	44	BC	No	No	1825	14	33758
677	25	Prairies	Yes	Yes	0	13	24426
678	50	Prairies	No	No	521	11	30140
679	49	Ontario	No	No	2607	10	9746
680	34	Ontario	No	Yes	0	12	54639
681	44	Atlantic	No	No	1043	13	28281
682	55	Prairies	No	No	2086	17	24863
683	33	Ontario	No	Yes	4172	11.1	30717
685	37	Ontario	No	Yes	841	9	42490
