household province population weight education gender age income voted
1823 PE 105780 870.62 higher Female 39 110+ Yes
543 PE 105780 870.62 college Female 61 60-89 Yes
1029 PE 105780 870.62 college Female 37 60-89 Yes
431 PE 105780 1305.93 HS Female 45 60-89 Yes
754 PE 105780 870.62 lessHS Male 75 NA Yes
2667 PE 105780 435.31 college Female 55 30-59 No
1824 PE 105780 870.62 college Male 78 <30 Yes
3093 PE 105780 435.31 HS Female 68 30-59 NA
525 PE 105780 1305.93 college Female 24 NA Yes
3094 PE 105780 435.31 HS Female 70 30-59 NA
686 PE 105780 870.62 bachelors Female 66 60-89 Yes
1030 PE 105780 870.62 bachelors Female 36 110+ Yes
1031 PE 105780 870.62 lessHS Male 81 <30 Yes
1825 PE 105780 870.62 somePS Female 40 60-89 Yes
3006 PE 105780 435.31 higher Female 79 60-89 Yes
1032 PE 105780 870.62 bachelors Female 61 30-59 Yes
66 PE 105780 1741.23 higher Male 31 60-89 Yes
1633 PE 105780 870.62 HS Female 74 <30 Yes
1634 PE 105780 870.62 HS Female 37 60-89 Yes
110 PE 105780 1741.23 HS Male 55 30-59 Yes
2517 PE 105780 435.31 college Female 76 <30 Yes
284 PE 105780 1305.93 college Male 65 60-89 Yes
2887 PE 105780 435.31 HS Female 69 <30 Yes
1420 PE 105780 870.62 HS Male 63 60-89 Yes
3096 PE 105780 435.31 bachelors Female 48 <30 NA
2437 PE 105780 435.31 college Female 83 <30 Yes
1826 PE 105780 870.62 lessHS Male 51 <30 Yes
1034 PE 105780 870.62 bachelors Female 29 60-89 Yes
1636 PE 105780 870.62 somePS Male 62 110+ Yes
1035 PE 105780 870.62 HS Female 44 30-59 NA
1036 PE 105780 870.62 HS Female 67 <30 NA
1349 PE 105780 870.62 somePS Female 72 NA Yes
203 PE 105780 1305.93 bachelors Female 39 90:109 Yes
111 PE 105780 1741.23 lessHS Male 57 30-59 Yes
432 PE 105780 1305.93 bachelors Female 56 110+ Yes
2668 NS 729545 3199.76 lessHS Male 91 <30 NA
1637 NS 729545 6399.52 somePS Female 60 60-89 Yes
2669 NS 729545 3199.76 somePS Female 52 <30 Yes
3007 NS 729545 3199.76 HS Male 65 NA Yes
234 NS 729545 9599.28 somePS Male 55 60-89 NA
1827 NS 729545 6399.52 bachelors Female 32 90:109 Yes
401 NS 729545 9599.28 HS Female 47 <30 Yes
1828 NS 729545 6399.52 HS Male 50 30-59 No
864 NS 729545 6399.52 bachelors Male 32 30-59 No
1829 NS 729545 6399.52 somePS Female 41 110+ Yes
1037 NS 729545 6399.52 lessHS Female 55 NA No
285 NS 729545 9599.28 HS Female 73 30-59 NA
1038 NS 729545 6399.52 HS Male 56 90:109 NA
1638 NS 729545 6399.52 lessHS Male 76 <30 Yes
2670 NS 729545 3199.76 somePS Male 64 30-59 Yes
1039 NS 729545 6399.52 NA Male 69 NA Yes
1040 NS 729545 6399.52 bachelors Male 72 NA Yes
2671 NS 729545 3199.76 HS Male 63 30-59 NA
935 NS 729545 6399.52 lessHS Male 70 NA Yes
1830 NS 729545 6399.52 HS Male 48 30-59 Yes
1041 NS 729545 6399.52 bachelors Female 60 60-89 Yes
2672 NS 729545 3199.76 HS Female 64 <30 Yes
1831 NS 729545 6399.52 bachelors Female 41 110+ Yes
3008 NS 729545 3199.76 lessHS Male 32 NA No
1042 NS 729545 6399.52 HS Male 51 110+ Yes
2888 NS 729545 3199.76 HS Male 72 30-59 No
563 NS 729545 6399.52 HS Male 70 30-59 Yes
2673 NS 729545 3199.76 HS Male 59 <30 Yes
3009 NS 729545 3199.76 HS Female 19 <30 No
2674 NS 729545 3199.76 lessHS Male 82 <30 Yes
1043 NS 729545 6399.52 HS Male 31 90:109 Yes
1421 NS 729545 6399.52 lessHS Female 55 60-89 Yes
2081 NS 729545 6399.52 HS Female 56 60-89 Yes
724 NS 729545 6399.52 lessHS Male 62 30-59 NA
1832 NS 729545 6399.52 HS Male 55 110+ Yes
1933 NS 729545 6399.52 HS Male 73 30-59 NA
2675 NS 729545 3199.76 HS Female NA 60-89 NA
3099 NS 729545 3199.76 somePS Female 61 60-89 NA
1044 NS 729545 6399.52 lessHS Male 21 <30 Yes
1045 NS 729545 6399.52 bachelors Male 59 90:109 Yes
3259 NS 729545 3199.76 bachelors Female 41 60-89 NA
286 NS 729545 9599.28 HS Female 49 NA NA
582 NS 729545 6399.52 college Female 61 NA Yes
1833 NS 729545 6399.52 HS Male 46 60-89 Yes
1046 NS 729545 6399.52 higher Female 71 30-59 Yes
1047 NS 729545 6399.52 higher Female 41 110+ Yes
2677 NS 729545 3199.76 lessHS Female 71 <30 Yes
1640 NS 729545 6399.52 HS Female 24 <30 NA
1048 NS 729545 6399.52 somePS Female 68 NA Yes
1049 NS 729545 6399.52 bachelors Female 53 60-89 Yes
287 NS 729545 9599.28 HS Female 50 110+ NA
2678 NS 729545 3199.76 lessHS Female 70 <30 Yes
866 NS 729545 6399.52 higher Female 55 110+ Yes
169 NS 729545 12799.04 college Male 51 60-89 Yes
236 NS 729545 9599.28 lessHS Female 40 NA Yes
2679 NS 729545 3199.76 somePS Male 62 30-59 Yes
3100 NS 729545 3199.76 bachelors Female NA NA Yes
3041 NS 729545 3199.76 college Male 69 30-59 Yes
1050 NS 729545 6399.52 HS Female 64 NA Yes
1051 NS 729545 6399.52 higher Female 56 60-89 Yes
1052 NS 729545 6399.52 higher Female 40 110+ Yes
204 NS 729545 9599.28 HS Male 59 30-59 Yes
2680 NS 729545 3199.76 lessHS Female 70 <30 No
1053 NS 729545 6399.52 somePS Male 24 60-89 Yes
2681 NS 729545 3199.76 lessHS Female 67 <30 NA
583 NS 729545 6399.52 college Male 69 NA No
2852 NS 729545 3199.76 bachelors Female 83 NA Yes
545 NS 729545 6399.52 higher Female 53 110+ Yes
1054 NS 729545 6399.52 somePS Male 58 30-59 Yes
2518 NS 729545 3199.76 lessHS Female 70 <30 NA
3101 NS 729545 3199.76 bachelors Male 77 NA Yes
402 NS 729545 9599.28 HS Female 56 60-89 Yes
1534 NS 729545 6399.52 bachelors Female 46 60-89 Yes
1055 NS 729545 6399.52 lessHS Female 73 <30 Yes
1835 NS 729545 6399.52 HS Female 48 30-59 Yes
1836 NS 729545 6399.52 bachelors Male 68 60-89 Yes
2385 NS 729545 6399.52 HS Female 53 30-59 Yes
1535 NS 729545 6399.52 college Male 47 60-89 Yes
3010 NS 729545 3199.76 college Female 57 <30 No
392 NS 729545 9599.28 bachelors Female 57 <30 Yes
1641 NS 729545 6399.52 HS Male 48 60-89 No
469 NS 729545 9599.28 HS Male 21 NA Yes
2682 NS 729545 3199.76 college Male 64 60-89 Yes
435 NS 729545 9599.28 HS Female 52 110+ Yes
3102 NS 729545 3199.76 college Male 33 60-89 Yes
2951 NS 729545 3199.76 bachelors Female 31 60-89 NA
2683 NS 729545 3199.76 lessHS Female 67 30-59 Yes
205 NS 729545 9599.28 higher Female 62 60-89 Yes
1837 NS 729545 6399.52 lessHS Male 67 <30 Yes
2889 NS 729545 3199.76 somePS Female 43 30-59 Yes
1838 NS 729545 6399.52 lessHS Female 60 30-59 NA
584 NS 729545 6399.52 lessHS Female 68 NA Yes
3103 NS 729545 3199.76 somePS Female 80 30-59 NA
2477 NS 729545 3199.76 bachelors Male 62 30-59 NA
1056 NS 729545 6399.52 HS Female 63 NA Yes
1057 NS 729545 6399.52 somePS Female 61 NA Yes
2890 NS 729545 3199.76 college Male NA NA NA
840 NS 729545 6399.52 somePS Female 40 60-89 Yes
92 NS 729545 12799.04 HS Female 56 <30 No
1058 NS 729545 6399.52 HS Female 69 30-59 NA
2684 NS 729545 3199.76 HS Male 52 60-89 NA
288 NS 729545 9599.28 HS Female 20 90:109 Yes
289 NS 729545 9599.28 college Female 57 30-59 NA
2891 NB 582625 2479.26 lessHS Female 68 <30 NA
2386 NB 582625 4958.51 HS Male 45 60-89 Yes
673 NB 582625 4958.51 somePS Female 60 30-59 NA
2892 NB 582625 2479.26 somePS Male 59 30-59 Yes
29 NB 582625 12396.28 college Male 59 110+ Yes
2026 NB 582625 4958.51 college Female 49 30-59 No
54 NB 582625 9917.02 HS Female 51 110+ NA
1059 NB 582625 4958.51 college Female 33 30-59 No
1423 NB 582625 4958.51 higher Female 39 NA Yes
1424 NB 582625 4958.51 college Female 36 110+ NA
3204 NB 582625 2479.26 bachelors Male 42 110+ NA
1839 NB 582625 4958.51 somePS Male NA NA Yes
1060 NB 582625 4958.51 college Male 42 110+ Yes
2893 NB 582625 2479.26 college Male 69 30-59 NA
2408 NB 582625 4958.51 HS Female NA NA Yes
290 NB 582625 7437.77 bachelors Male 72 30-59 Yes
2082 NB 582625 4958.51 college Male 36 60-89 Yes
2625 NB 582625 2479.26 lessHS Female 95 <30 NA
718 NB 582625 4958.51 HS Female 60 NA Yes
2519 NB 582625 2479.26 lessHS Female 77 <30 Yes
1426 NB 582625 4958.51 bachelors Female 34 110+ NA
2409 NB 582625 4958.51 bachelors Male NA NA Yes
3182 NB 582625 2479.26 lessHS Male 72 <30 NA
756 NB 582625 4958.51 lessHS Male 29 30-59 NA
1643 NB 582625 4958.51 somePS Female 25 <30 NA
1061 NB 582625 4958.51 lessHS Female 66 NA Yes
681 NB 582625 4958.51 college Male 37 60-89 NA
1062 NB 582625 4958.51 higher Female 68 30-59 Yes
3318 NB 582625 2479.26 college Male 56 30-59 No
436 NB 582625 7437.77 college Female 56 60-89 Yes
291 NB 582625 7437.77 HS Female 41 30-59 Yes
1389 NB 582625 4958.51 somePS Male 47 30-59 Yes
2685 NB 582625 2479.26 college Female 98 <30 Yes
1427 NB 582625 4958.51 bachelors Male 72 30-59 Yes
2894 NB 582625 2479.26 somePS Female 35 30-59 Yes
1063 NB 582625 4958.51 HS Female 42 <30 NA
1644 NB 582625 4958.51 somePS Female 33 60-89 NA
1065 NB 582625 4958.51 bachelors Female 55 60-89 NA
2686 NB 582625 2479.26 bachelors Female 61 60-89 NA
1645 NB 582625 4958.51 college Female NA 30-59 Yes
1646 NB 582625 4958.51 college Female 39 90:109 Yes
2687 NB 582625 2479.26 bachelors Female 27 30-59 NA
2688 NB 582625 2479.26 lessHS Male 63 30-59 NA
1524 NB 582625 4958.51 higher Female 39 60-89 Yes
1428 NB 582625 4958.51 college Female NA 30-59 NA
1647 NB 582625 4958.51 lessHS Female 49 NA No
2944 NB 582625 2479.26 college Male 35 60-89 Yes
1066 NB 582625 4958.51 HS Female 36 60-89 Yes
1067 NB 582625 4958.51 HS Female 72 30-59 Yes
292 NB 582625 7437.77 lessHS Male 58 30-59 No
2689 NB 582625 2479.26 somePS Male 60 30-59 Yes
1429 NB 582625 4958.51 lessHS Female 64 <30 No
1648 NB 582625 4958.51 higher Male 49 90:109 Yes
349 NB 582625 7437.77 college Female 51 NA NA
2083 NB 582625 4958.51 higher Male 50 110+ Yes
1430 NB 582625 4958.51 somePS Male 47 60-89 NA
2690 NB 582625 2479.26 college Male 35 30-59 NA
2691 NB 582625 2479.26 bachelors Female 56 60-89 Yes
1431 NB 582625 4958.51 HS Male 55 30-59 NA
758 NB 582625 4958.51 HS Female 42 30-59 NA
293 NB 582625 7437.77 somePS Male 24 NA No
1432 NB 582625 4958.51 HS Male 55 30-59 NA
1983 NB 582625 4958.51 HS Male 72 <30 Yes
2521 NB 582625 2479.26 HS Female 73 <30 Yes
2522 NB 582625 2479.26 lessHS Male 61 NA NA
759 NB 582625 4958.51 HS Female 37 30-59 Yes
1433 NB 582625 4958.51 higher Male 69 <30 NA
2692 NB 582625 2479.26 college Male 32 30-59 Yes
867 NB 582625 4958.51 lessHS Female 81 30-59 Yes
674 NB 582625 4958.51 lessHS Female 70 <30 Yes
2895 NB 582625 2479.26 HS Female 61 30-59 Yes
2523 NB 582625 2479.26 HS Male 66 30-59 Yes
129 NB 582625 9917.02 somePS Male 29 <30 NA
2693 NB 582625 2479.26 lessHS Male 89 <30 NA
1650 NB 582625 4958.51 college Female 59 110+ Yes
2419 NB 582625 4958.51 NA Female NA NA NA
2694 NB 582625 2479.26 lessHS Female 79 <30 Yes
2695 NB 582625 2479.26 HS Female 46 30-59 Yes
1842 NB 582625 4958.51 bachelors Male 69 90:109 Yes
1434 NB 582625 4958.51 somePS Male 61 30-59 Yes
350 NB 582625 7437.77 college Female 51 30-59 Yes
3104 NB 582625 2479.26 bachelors Male 63 60-89 NA
1068 NB 582625 4958.51 HS Female 37 60-89 NA
2524 NB 582625 2479.26 lessHS Female 61 <30 NA
1531 NB 582625 4958.51 NA Female NA NA NA
1651 NB 582625 4958.51 bachelors Female 45 60-89 Yes
760 NB 582625 4958.51 college Female 52 90:109 NA
2084 NB 582625 4958.51 bachelors Female 52 60-89 Yes
1069 NB 582625 4958.51 HS Female 62 NA Yes
2696 NB 582625 2479.26 somePS Female 63 NA NA
1435 NB 582625 4958.51 bachelors Male 68 NA Yes
2896 NB 582625 2479.26 bachelors Female 59 30-59 Yes
294 NB 582625 7437.77 bachelors Female 35 60-89 Yes
2697 NB 582625 2479.26 HS Female 68 <30 Yes
1436 NB 582625 4958.51 bachelors Female 33 90:109 Yes
1070 NB 582625 4958.51 lessHS Male 67 30-59 Yes
3260 NB 582625 2479.26 somePS Female 48 90:109 Yes
2085 NB 582625 4958.51 somePS Female 30 110+ NA
761 NB 582625 4958.51 higher Female 63 NA Yes
3261 NB 582625 2479.26 lessHS Female 71 <30 NA
1843 NB 582625 4958.51 higher Female 41 110+ Yes
546 NB 582625 4958.51 bachelors Female 34 110+ Yes
3011 NB 582625 2479.26 bachelors Female 43 60-89 Yes
1652 NB 582625 4958.51 HS Female 50 NA Yes
2698 NB 582625 2479.26 lessHS Male 29 NA NA
1072 NB 582625 4958.51 lessHS Male 48 30-59 Yes
1844 NB 582625 4958.51 HS Female 47 NA Yes
1437 NB 582625 4958.51 HS Female 45 60-89 Yes
1073 NB 582625 4958.51 HS Female 38 30-59 Yes
2086 NB 582625 4958.51 college Female 66 NA NA
1845 NB 582625 4958.51 college Male 40 90:109 No
2087 NB 582625 4958.51 bachelors Female 58 NA Yes
1074 NB 582625 4958.51 college Female 35 110+ Yes
3320 QC 5996930 3076.93 somePS Female 70 30-59 NA
1985 QC 5996930 6153.85 higher Female 57 60-89 Yes
2699 QC 5996930 3076.93 higher Male 59 110+ Yes
403 QC 5996930 9230.78 college Male 25 <30 NA
2016 QC 5996930 6153.85 bachelors Male 38 NA Yes
2897 QC 5996930 3076.93 college Female 65 60-89 Yes
2184 QC 5996930 6153.85 higher Female 27 NA NA
1438 QC 5996930 6153.85 HS Male 73 30-59 NA
351 QC 5996930 9230.78 lessHS Female 76 30-59 NA
3262 QC 5996930 3076.93 college Female 44 30-59 NA
2088 QC 5996930 6153.85 lessHS Male 54 30-59 NA
1439 QC 5996930 6153.85 lessHS Male 55 60-89 NA
2185 QC 5996930 6153.85 somePS Male 34 110+ Yes
763 QC 5996930 6153.85 higher Female 29 60-89 NA
2186 QC 5996930 6153.85 somePS Male 64 NA Yes
3321 QC 5996930 3076.93 bachelors Female 30 NA NA
1390 QC 5996930 6153.85 college Female 66 30-59 NA
1709 QC 5996930 6153.85 lessHS Female 32 <30 NA
126 QC 5996930 12307.71 lessHS Female 54 NA NA
3350 QC 5996930 3076.93 college Male 25 NA Yes
3322 QC 5996930 3076.93 higher Female 65 30-59 NA
3251 QC 5996930 3076.93 higher Female 61 30-59 No
2089 QC 5996930 6153.85 college Female 58 60-89 Yes
1653 QC 5996930 6153.85 bachelors Female 78 30-59 Yes
2008 QC 5996930 6153.85 bachelors Male 36 60-89 Yes
232 QC 5996930 9230.78 higher Female 79 <30 Yes
3263 QC 5996930 3076.93 lessHS Female 84 NA Yes
2525 QC 5996930 3076.93 HS Female 61 <30 NA
1440 QC 5996930 6153.85 college Male 39 90:109 NA
1710 QC 5996930 6153.85 bachelors Male 45 110+ NA
3351 QC 5996930 3076.93 lessHS Male 66 30-59 NA
2405 QC 5996930 6153.85 bachelors Female 46 30-59 NA
2873 QC 5996930 3076.93 HS Female 29 <30 NA
2157 QC 5996930 6153.85 bachelors Female 64 30-59 NA
1607 QC 5996930 6153.85 college Female 42 110+ Yes
2090 QC 5996930 6153.85 lessHS Male 70 NA Yes
532 QC 5996930 9230.78 college Male NA NA No
564 QC 5996930 6153.85 somePS Male 49 110+ NA
2187 QC 5996930 6153.85 bachelors Female 37 90:109 Yes
1442 QC 5996930 6153.85 bachelors Male 49 NA Yes
1443 QC 5996930 6153.85 bachelors Male 34 30-59 Yes
2020 QC 5996930 6153.85 HS Male 47 <30 No
2091 QC 5996930 6153.85 higher Male 80 60-89 Yes
1444 QC 5996930 6153.85 lessHS Female 87 <30 Yes
3048 QC 5996930 3076.93 HS Female 78 60-89 Yes
148 QC 5996930 12307.71 somePS Male 25 <30 No
2234 QC 5996930 6153.85 HS Female 47 110+ NA
3217 QC 5996930 3076.93 somePS Male 40 30-59 Yes
547 QC 5996930 6153.85 bachelors Male 33 90:109 Yes
764 QC 5996930 6153.85 college Male 55 30-59 Yes
1846 QC 5996930 6153.85 somePS Female 51 60-89 NA
2092 QC 5996930 6153.85 bachelors Male 62 110+ Yes
2235 QC 5996930 6153.85 HS Male 47 <30 No
2376 QC 5996930 6153.85 college Female 37 110+ Yes
2526 QC 5996930 3076.93 bachelors Male 45 30-59 Yes
3265 QC 5996930 3076.93 higher Female 32 60-89 NA
1526 QC 5996930 6153.85 bachelors Female 43 90:109 Yes
2093 QC 5996930 6153.85 HS Female 78 60-89 Yes
2236 QC 5996930 6153.85 bachelors Male 36 110+ NA
2453 QC 5996930 3076.93 college Female 62 30-59 Yes
2898 QC 5996930 3076.93 bachelors Female 45 60-89 No
2003 QC 5996930 6153.85 bachelors Male 29 90:109 NA
1396 QC 5996930 6153.85 lessHS Male NA <30 NA
