working	region	kids0004	kids0509	kids1014	familyIncome	education
42	TRUE	Atlantic	Yes	Yes	No	46.782	14
43	TRUE	Atlantic	No	Yes	Yes	16.737	10.5
44	TRUE	Ontario	Yes	Yes	No	17.782	12.1
45	TRUE	Quebec	No	Yes	No	33.514	11
46	TRUE	Quebec	Yes	Yes	No	32.052	11
47	FALSE	Ontario	Yes	Yes	No	29.578	14
48	TRUE	Atlantic	No	Yes	No	34.526	16
49	TRUE	Atlantic	No	No	No	26.666	15
50	FALSE	Ontario	Yes	Yes	No	22.258	12.5
51	FALSE	Ontario	Yes	No	No	26.738	14.1
52	TRUE	BC	Yes	Yes	No	39.854	9.1
53	TRUE	Atlantic	No	No	No	31.54	13
54	TRUE	Quebec	Yes	No	No	26.039	12.5
55	FALSE	Atlantic	No	Yes	No	27.827	7
56	TRUE	Quebec	No	Yes	No	24.898	8.2
57	TRUE	BC	Yes	Yes	Yes	25.243	14
58	TRUE	Prairies	No	No	Yes	11.546	14
59	TRUE	Ontario	No	No	No	45.3	16.1
60	TRUE	Atlantic	Yes	Yes	No	27.035	15
61	TRUE	Ontario	Yes	Yes	No	33.787	17.3
62	TRUE	Quebec	Yes	Yes	No	17.156	13.5
63	FALSE	Ontario	Yes	Yes	Yes	47.677	11
64	TRUE	Ontario	No	No	Yes	11.141	12
65	TRUE	BC	No	No	No	9.673	19.1
66	TRUE	Ontario	No	No	No	37.023	12
67	TRUE	Quebec	Yes	No	No	15.198	11.5
68	TRUE	BC	No	No	No	70.087	15
69	TRUE	Quebec	No	Yes	No	19.263	13.3
70	TRUE	Ontario	No	Yes	Yes	16.289	11
71	TRUE	Ontario	No	Yes	No	37.988	13
72	FALSE	Quebec	No	Yes	Yes	0.639	11
73	FALSE	Quebec	Yes	No	No	6.128	14
74	TRUE	Prairies	Yes	Yes	No	31.684	17
75	FALSE	Prairies	Yes	Yes	No	35.591	15.7
76	TRUE	Atlantic	Yes	Yes	No	14.307	12.5
77	TRUE	Prairies	No	Yes	Yes	12.144	12.5
78	TRUE	Prairies	No	No	No	2.79	12
79	FALSE	Ontario	Yes	Yes	No	41.091	12
80	TRUE	Atlantic	Yes	No	No	15.773	20
81	FALSE	Quebec	Yes	No	No	21.63	12
82	TRUE	Ontario	Yes	Yes	No	34.535	12.5
83	TRUE	Ontario	No	Yes	No	24.292	8
84	TRUE	Quebec	Yes	Yes	Yes	35.604	14
85	TRUE	Atlantic	Yes	Yes	No	31.422	13
86	TRUE	Ontario	Yes	No	No	17.313	14
87	TRUE	Atlantic	No	Yes	Yes	9.282	12
88	FALSE	Quebec	Yes	No	No	24.504	11
89	FALSE	Ontario	Yes	No	No	38.995	13
90	FALSE	Ontario	Yes	No	No	19.612	12
91	FALSE	Quebec	Yes	No	No	15.155	9.4
92	FALSE	Quebec	No	Yes	Yes	12.328	6
93	TRUE	Atlantic	No	No	No	42.532	12
94	TRUE	Ontario	No	Yes	Yes	47.09	20
95	TRUE	Prairies	No	No	No	18.812	19
96	FALSE	Quebec	Yes	No	No	22.222	10
97	TRUE	Atlantic	No	Yes	No	11.185	13
98	TRUE	Ontario	Yes	No	No	25.133	12.5
99	TRUE	BC	Yes	Yes	No	28.264	12.5
100	TRUE	Prairies	Yes	No	Yes	29.768	13
101	TRUE	Prairies	No	No	Yes	45.073	12
102	TRUE	Prairies	No	Yes	Yes	22.119	12.5
103	TRUE	Quebec	No	Yes	Yes	27.584	12
104	TRUE	BC	Yes	No	No	38.503	12
105	TRUE	Ontario	Yes	No	No	38.465	14.5
106	TRUE	Ontario	No	No	No	48.962	17
107	TRUE	Quebec	No	No	No	27.333	12
108	TRUE	Ontario	Yes	No	Yes	21.191	13
109	TRUE	Quebec	Yes	No	No	36.827	17
110	FALSE	Ontario	Yes	No	No	27.673	16
111	TRUE	Prairies	Yes	Yes	No	30.097	16
112	FALSE	Atlantic	Yes	No	Yes	48.642	12
113	TRUE	Quebec	No	No	Yes	22.832	12
114	TRUE	Atlantic	No	Yes	No	19.974	10
115	TRUE	Atlantic	Yes	Yes	No	7.457	12
116	TRUE	Ontario	Yes	No	No	45.634	12.3
117	TRUE	Prairies	No	Yes	Yes	28.422	13
118	TRUE	Atlantic	Yes	No	No	13.936	13
119	TRUE	Quebec	Yes	Yes	No	12.469	17
120	FALSE	Quebec	No	No	Yes	32.53	14
121	TRUE	Prairies	No	No	No	16.763	16.8
122	FALSE	Ontario	Yes	No	No	32.137	10.6
123	FALSE	Quebec	Yes	No	Yes	15.144	8
124	TRUE	Ontario	Yes	Yes	No	30.689	12
125	TRUE	Prairies	No	No	No	40.528	12
126	FALSE	Atlantic	No	Yes	No	16.843	11
127	TRUE	Prairies	No	No	No	21.608	12
128	TRUE	Prairies	Yes	No	No	22.802	12
129	TRUE	Prairies	No	No	No	20.041	14
130	TRUE	BC	Yes	No	No	28.568	17
131	TRUE	Atlantic	No	No	No	15.954	12
132	TRUE	Prairies	No	No	No	19.988	15
133	TRUE	BC	Yes	No	No	38.584	15
134	FALSE	Atlantic	No	Yes	Yes	29.293	12.5
135	TRUE	Atlantic	No	No	No	15.783	13
136	TRUE	Quebec	No	Yes	No	40.952	12.5
137	TRUE	BC	Yes	No	No	46.525	18
138	TRUE	Ontario	Yes	Yes	No	27.039	15
139	TRUE	Atlantic	Yes	No	Yes	24.116	13.6
140	TRUE	Atlantic	No	Yes	Yes	20.812	12.5
141	TRUE	Prairies	Yes	Yes	No	25.255	16
142	TRUE	Ontario	Yes	No	No	27.994	13
143	TRUE	Prairies	Yes	No	No	24.267	17
144	TRUE	Ontario	Yes	Yes	No	5.293	16
145	TRUE	Ontario	Yes	No	No	35.511	17
146	TRUE	Quebec	Yes	No	No	31.061	12
147	TRUE	Ontario	Yes	Yes	No	46.776	17
148	TRUE	Prairies	Yes	No	No	24.661	12.5
149	TRUE	Ontario	No	Yes	No	32.726	17.1
150	TRUE	Ontario	No	Yes	No	59.154	18
151	TRUE	Prairies	Yes	No	No	87.584	12
152	TRUE	Ontario	Yes	No	No	25.398	12
153	TRUE	Quebec	Yes	No	No	12.186	13
154	TRUE	Prairies	Yes	No	No	30.026	8
155	TRUE	Ontario	No	No	No	28.608	17
156	FALSE	Atlantic	No	Yes	No	18.007	12
157	TRUE	Ontario	Yes	No	No	18.942	14
158	TRUE	Prairies	Yes	No	Yes	34.084	12.1
159	TRUE	Ontario	Yes	No	Yes	25.696	12
160	TRUE	Atlantic	No	No	No	18.71	12
161	TRUE	Quebec	No	Yes	No	49.005	11
162	TRUE	Atlantic	No	No	No	64.487	18
163	TRUE	Prairies	No	No	No	16.924	10
164	TRUE	Atlantic	No	Yes	Yes	40.975	12.1
165	TRUE	Ontario	Yes	No	No	33.793	18
166	TRUE	Ontario	Yes	No	No	29.411	11.5
167	TRUE	Atlantic	No	No	No	0	20
168	TRUE	Ontario	No	Yes	Yes	30.54	12
169	TRUE	Prairies	No	No	Yes	21.241	11
170	TRUE	BC	No	No	No	30.964	16
171	TRUE	Ontario	No	No	Yes	0	11
172	TRUE	Atlantic	Yes	Yes	No	37.896	16
173	TRUE	BC	No	No	No	38.803	12
174	TRUE	Atlantic	No	Yes	No	21.745	16
175	TRUE	Atlantic	Yes	Yes	Yes	66.721	14
176	TRUE	Ontario	No	Yes	No	14.571	12.2
177	TRUE	Atlantic	Yes	Yes	No	27.544	13
178	TRUE	Quebec	No	No	Yes	23.732	11
179	TRUE	Prairies	Yes	No	No	30.967	13
180	TRUE	BC	No	Yes	No	48.551	13
181	FALSE	Prairies	No	Yes	Yes	43.916	14
182	TRUE	Prairies	Yes	No	No	20.307	12
183	FALSE	Ontario	No	Yes	Yes	1.18	12
184	TRUE	Atlantic	Yes	Yes	No	71.911	12
185	TRUE	Prairies	No	No	No	37.245	17.8
186	TRUE	Atlantic	No	Yes	No	21.403	13
187	TRUE	Atlantic	No	Yes	No	21.484	16
188	FALSE	Quebec	Yes	No	No	28.707	14.6
189	TRUE	Quebec	No	No	No	0	12.5
190	TRUE	Ontario	Yes	No	No	32.468	10.5
191	TRUE	Prairies	Yes	No	No	28.855	13
192	TRUE	Atlantic	Yes	Yes	No	17.705	14
193	FALSE	Atlantic	Yes	No	No	36.866	12
194	TRUE	Prairies	Yes	No	No	15.506	10
195	FALSE	Prairies	Yes	Yes	No	24.426	13
196	FALSE	Ontario	No	Yes	No	54.639	12
197	TRUE	Ontario	No	Yes	Yes	30.717	11.1
198	TRUE	Ontario	No	No	Yes	13.354	10
199	TRUE	Atlantic	Yes	No	No	28.962	16.4
200	FALSE	Quebec	Yes	No	No	14.852	11.5
201	TRUE	BC	Yes	No	No	37.819	18
202	TRUE	Atlantic	Yes	No	Yes	25.543	9.5
203	TRUE	BC	No	No	No	0	16.7
204	TRUE	Prairies	Yes	No	No	20.77	15
205	FALSE	Ontario	Yes	No	No	43.065	14
206	TRUE	Atlantic	No	No	No	36.345	18.5
207	FALSE	Ontario	Yes	Yes	No	33.122	8
208	TRUE	Prairies	Yes	No	No	57.978	17
209	TRUE	Quebec	Yes	No	No	27.042	19
210	TRUE	Prairies	No	Yes	No	43.923	9
211	TRUE	Ontario	Yes	Yes	No	36.716	13
212	FALSE	Atlantic	Yes	No	No	45.502	12
213	TRUE	Prairies	Yes	Yes	No	0.506	12
214	TRUE	Ontario	No	Yes	No	55.633	14
215	TRUE	Prairies	No	No	No	15.401	12.5
216	TRUE	Quebec	No	No	No	20.428	19.5
217	FALSE	Atlantic	Yes	No	No	25.303	15
218	FALSE	Prairies	Yes	No	No	18.934	10
219	TRUE	Atlantic	No	Yes	No	30.469	16
220	TRUE	Prairies	Yes	No	No	47.185	13.5
221	FALSE	Prairies	No	Yes	No	43.548	10
222	TRUE	Ontario	Yes	No	No	40.245	14.1
223	TRUE	Prairies	Yes	No	No	20.327	16
224	TRUE	Prairies	No	No	No	17.142	12.5
225	TRUE	Atlantic	No	No	Yes	22.425	12.5
226	TRUE	Prairies	Yes	Yes	No	28.442	12.5
227	TRUE	Ontario	No	No	No	69.074	9.5
228	TRUE	Quebec	No	Yes	No	38.545	11
229	TRUE	Prairies	No	No	No	30.758	12
230	TRUE	Prairies	Yes	No	No	32.902	14
231	FALSE	Atlantic	Yes	Yes	No	31.418	11.5
232	TRUE	Quebec	Yes	No	No	37.188	19
233	TRUE	Quebec	Yes	Yes	No	33.381	12
234	TRUE	Atlantic	No	No	No	26.312	16
235	TRUE	Atlantic	Yes	No	No	20.193	16
236	TRUE	Quebec	Yes	Yes	No	24.397	12
237	TRUE	Atlantic	Yes	Yes	No	27.385	17.2
238	TRUE	BC	Yes	No	No	61.677	11
239	TRUE	BC	Yes	Yes	No	43.806	14
240	TRUE	Ontario	No	No	No	20.463	16
241	TRUE	Atlantic	Yes	No	No	46.762	16.6
242	FALSE	Quebec	Yes	No	No	11.362	14
243	TRUE	Ontario	Yes	Yes	No	30.09	11
244	FALSE	Atlantic	No	Yes	Yes	12.786	10
245	TRUE	Atlantic	No	No	No	14.833	13
246	TRUE	Ontario	Yes	Yes	No	38.755	12
247	TRUE	Prairies	Yes	No	No	40.395	13
248	TRUE	Quebec	Yes	Yes	No	1.938	15
249	TRUE	Prairies	Yes	No	No	19.132	13
250	TRUE	Prairies	No	No	No	15.217	11
251	TRUE	Ontario	No	No	No	33.664	12
252	TRUE	Atlantic	No	Yes	Yes	49.585	12
253	FALSE	Ontario	Yes	No	No	25.522	12
254	TRUE	Prairies	Yes	Yes	No	23.727	10
255	FALSE	Atlantic	Yes	Yes	Yes	27.456	10
256	FALSE	Prairies	Yes	Yes	No	25.879	15
257	FALSE	Prairies	Yes	No	No	33.999	12.5
258	TRUE	Quebec	Yes	No	No	20.482	12
259	FALSE	Prairies	Yes	Yes	No	27.442	11
260	FALSE	Ontario	Yes	No	No	11.791	11
261	TRUE	Prairies	Yes	Yes	Yes	8.951	14
262	TRUE	Atlantic	Yes	No	No	16.516	14
263	TRUE	Prairies	No	Yes	Yes	23.184	12
264	TRUE	Prairies	Yes	Yes	No	33.535	12
265	FALSE	Prairies	Yes	Yes	No	15.174	10
266	TRUE	Atlantic	Yes	Yes	No	34.787	12
267	TRUE	Prairies	No	No	No	36.741	12.5
268	TRUE	Quebec	No	Yes	Yes	21.338	10
269	FALSE	Prairies	Yes	No	No	27.362	13
270	FALSE	Quebec	Yes	No	No	32.753	16
271	FALSE	Quebec	No	Yes	Yes	22.379	11
272	FALSE	Atlantic	Yes	Yes	No	26.542	16
273	TRUE	Quebec	No	No	No	14.742	9
274	TRUE	Ontario	Yes	Yes	No	29.3	17.5
275	TRUE	Atlantic	No	Yes	No	18.841	14
276	TRUE	Prairies	Yes	Yes	No	40.735	12
277	TRUE	Prairies	Yes	No	No	4.652	13
278	TRUE	Ontario	Yes	No	No	32.483	13.7
279	TRUE	Atlantic	Yes	No	No	23.632	18
280	FALSE	Ontario	No	No	Yes	15.228	12
281	TRUE	Atlantic	No	Yes	No	14.309	12
282	TRUE	BC	No	Yes	No	68.275	19
283	TRUE	Prairies	No	No	No	9.767	16
284	FALSE	Prairies	Yes	No	Yes	37.851	17
285	TRUE	Ontario	No	Yes	Yes	30.407	15.4
286	TRUE	Prairies	Yes	No	No	31.536	14.3
287	TRUE	Prairies	No	No	No	17.549	13.1
288	TRUE	Prairies	No	No	No	18.05	17.5
289	FALSE	Ontario	Yes	Yes	No	36.338	14
290	FALSE	Atlantic	No	Yes	Yes	44.345	8
291	TRUE	Ontario	Yes	No	No	40.866	13
292	TRUE	Atlantic	No	Yes	Yes	26.033	8
293	FALSE	Prairies	Yes	Yes	Yes	48.801	12
294	FALSE	Atlantic	No	No	No	37.968	13
295	TRUE	Quebec	No	No	Yes	12.224	9
296	TRUE	Atlantic	No	Yes	No	25.742	11
297	TRUE	Prairies	Yes	No	No	32.792	14
298	TRUE	Prairies	No	Yes	No	24.07	12
299	TRUE	Atlantic	No	No	No	17.056	12
300	TRUE	Prairies	No	Yes	Yes	17.874	12
301	TRUE	Quebec	Yes	No	No	32.156	19.5
302	TRUE	Ontario	Yes	No	No	41.454	15
303	TRUE	Ontario	Yes	Yes	No	39.552	11.5
304	TRUE	Atlantic	No	No	Yes	21.928	12
305	TRUE	Prairies	Yes	No	No	11.649	12
306	TRUE	Ontario	Yes	Yes	No	0	10
307	TRUE	Prairies	Yes	No	No	54.118	14
308	TRUE	Quebec	No	Yes	No	35.456	11
309	TRUE	Prairies	No	No	Yes	41.247	13
310	TRUE	Quebec	Yes	Yes	No	23.152	10
311	TRUE	Atlantic	Yes	Yes	No	29.685	12
312	FALSE	Atlantic	Yes	Yes	No	21.47	13
313	TRUE	Ontario	No	No	No	34.512	17
314	TRUE	Ontario	Yes	No	No	45.945	15
315	TRUE	Atlantic	No	No	No	7.278	19
316	FALSE	Atlantic	No	Yes	No	24.924	17
317	TRUE	Quebec	Yes	No	No	15.383	14.1
318	FALSE	Quebec	No	Yes	Yes	35.676	14
319	TRUE	Atlantic	Yes	No	No	13.89	11.5
320	FALSE	Quebec	Yes	Yes	No	35.255	15
321	TRUE	BC	Yes	Yes	No	35.246	13
322	TRUE	Atlantic	Yes	Yes	No	13.751	12
323	TRUE	Atlantic	Yes	No	No	28.209	19
324	TRUE	Atlantic	Yes	No	No	38.06	12.5
325	TRUE	Prairies	No	Yes	Yes	7.549	13
326	TRUE	Ontario	Yes	No	No	0	13
327	TRUE	Ontario	Yes	Yes	No	33.719	15
328	TRUE	Prairies	No	No	Yes	23.824	12.5
329	TRUE	Prairies	Yes	No	No	15.269	17
330	TRUE	BC	Yes	No	No	64.934	16.5
331	TRUE	Ontario	Yes	Yes	No	17.524	13
332	FALSE	Ontario	No	Yes	Yes	50.836	14.2
333	TRUE	Quebec	Yes	Yes	No	28.824	12
334	TRUE	Ontario	No	No	Yes	26.476	10.1
335	TRUE	Prairies	No	Yes	No	25.13	15.6
336	TRUE	Atlantic	Yes	Yes	No	46.485	10
337	FALSE	Prairies	Yes	Yes	No	22.933	13
338	FALSE	Prairies	Yes	No	No	12.449	16
339	TRUE	Ontario	Yes	No	No	23.45	12.5
340	TRUE	Prairies	No	No	No	33.986	12
341	TRUE	BC	Yes	No	No	14.454	13.3
342	TRUE	Ontario	Yes	No	No	31.899	17
343	TRUE	Ontario	No	No	No	27.154	16.3
344	TRUE	Quebec	Yes	No	No	27.267	18
345	TRUE	Prairies	Yes	No	No	29.38	14
346	FALSE	Prairies	Yes	Yes	Yes	25.658	14
347	TRUE	Prairies	Yes	Yes	No	28.343	12.5
348	TRUE	Ontario	No	No	No	18.704	14.5
349	TRUE	Atlantic	No	No	No	41.986	16
350	TRUE	Ontario	No	Yes	No	45.723	17.5
351	FALSE	Quebec	No	No	No	27.647	15
352	TRUE	Atlantic	No	No	No	23.755	12
353	FALSE	Ontario	Yes	No	No	26.276	15
354	FALSE	Atlantic	No	Yes	Yes	18.07	13
355	TRUE	Ontario	Yes	Yes	Yes	14.783	9
356	TRUE	Quebec	Yes	No	No	37.255	16
357	TRUE	Ontario	Yes	Yes	No	41.429	15
358	TRUE	Atlantic	Yes	No	No	28.141	10
359	TRUE	Ontario	Yes	Yes	No	30.742	15
360	TRUE	Ontario	Yes	No	No	26.399	13
361	TRUE	Prairies	No	Yes	No	27.645	13
362	TRUE	Quebec	No	Yes	Yes	14.126	12
363	TRUE	Ontario	No	No	No	33.924	17.1
364	TRUE	Prairies	No	Yes	No	17.482	13
365	FALSE	Prairies	Yes	No	No	35.112	15
366	FALSE	Quebec	Yes	Yes	No	21.248	11
367	TRUE	Quebec	Yes	Yes	Yes	30.071	13
368	TRUE	Atlantic	Yes	No	No	34.92	12
369	TRUE	Prairies	Yes	Yes	No	29.464	12
370	TRUE	Prairies	Yes	No	No	35.04	14
371	TRUE	BC	No	Yes	Yes	22.403	13.1
372	TRUE	Quebec	Yes	Yes	No	32.377	17
373	FALSE	Ontario	Yes	No	No	34.763	13
374	TRUE	BC	Yes	Yes	Yes	7.395	16.3
375	FALSE	Quebec	Yes	No	No	20.06	16
376	TRUE	Prairies	Yes	Yes	No	20.453	13
377	TRUE	Ontario	No	Yes	Yes	12.588	12
378	TRUE	Atlantic	No	Yes	Yes	22.16	10
379	TRUE	Prairies	Yes	No	No	22.48	16
380	TRUE	BC	No	No	No	18.666	11
381	TRUE	Atlantic	No	No	No	15.759	13
382	TRUE	Atlantic	No	Yes	No	14.883	12.5
383	TRUE	Prairies	No	No	No	14.918	14.4
384	TRUE	Prairies	Yes	No	No	29.614	15
385	TRUE	Prairies	Yes	No	No	38.963	13
386	TRUE	Prairies	No	Yes	No	58.406	13.4
387	TRUE	Atlantic	No	No	No	38.781	17.4
388	TRUE	Ontario	No	No	No	31.984	20
389	TRUE	Ontario	No	No	Yes	21.027	12
390	TRUE	Prairies	No	No	No	14.787	12
391	TRUE	Quebec	Yes	No	No	29.531	13
392	TRUE	Prairies	No	No	No	25.575	12.5
393	TRUE	Prairies	No	No	Yes	28.38	12.5
394	TRUE	Ontario	Yes	No	No	30.655	18
395	TRUE	Ontario	Yes	No	No	22.772	11.5
396	TRUE	Atlantic	Yes	Yes	Yes	25.196	12
397	TRUE	BC	Yes	No	No	49.592	18.5
398	FALSE	Quebec	No	No	No	4.059	16.1
399	TRUE	Atlantic	Yes	No	No	39.003	16
400	TRUE	Atlantic	Yes	Yes	Yes	32.795	11
401	TRUE	Prairies	Yes	Yes	No	31.561	14
402	TRUE	Prairies	No	Yes	No	22.347	14.5
403	TRUE	Quebec	Yes	No	No	34.657	14
404	TRUE	Ontario	Yes	Yes	No	52.552	12
405	FALSE	Atlantic	Yes	No	No	31.507	12.5
406	TRUE	Prairies	No	No	No	38.189	12.5
407	TRUE	Ontario	Yes	No	No	29.733	19
408	FALSE	BC	Yes	No	No	58.593	12
409	TRUE	Atlantic	Yes	Yes	No	42.043	13
410	TRUE	Quebec	Yes	No	No	32.985	18
411	TRUE	Ontario	Yes	No	No	97.181	16
412	TRUE	Ontario	Yes	Yes	No	24.531	12
413	TRUE	Prairies	No	No	Yes	43.996	12
414	TRUE	Prairies	No	No	Yes	9.973	11.5
415	TRUE	Ontario	Yes	Yes	No	29.496	14
416	FALSE	Atlantic	No	Yes	No	0	9
417	TRUE	Ontario	No	No	No	21.514	14
418	TRUE	Ontario	Yes	No	No	5.694	14
419	TRUE	Quebec	Yes	Yes	No	28.577	14
420	TRUE	Atlantic	No	Yes	No	29.437	12
421	FALSE	BC	Yes	Yes	No	52.85	14
422	TRUE	Prairies	No	Yes	Yes	36.178	14
423	FALSE	Atlantic	Yes	No	No	14.059	12
424	TRUE	Atlantic	Yes	No	No	33.055	17
425	TRUE	Prairies	No	No	No	18.178	14
426	FALSE	Quebec	Yes	Yes	No	12.154	6
427	FALSE	Quebec	No	Yes	Yes	24.562	12.5
428	FALSE	BC	Yes	Yes	No	12.49	11
429	TRUE	Prairies	Yes	Yes	No	26.166	17.5
430	TRUE	Prairies	No	No	No	11.881	13
431	TRUE	Prairies	Yes	No	No	13.677	16.6
432	TRUE	Atlantic	Yes	No	No	7.214	12
433	TRUE	BC	Yes	Yes	Yes	48.549	12.5
434	TRUE	BC	Yes	Yes	No	34.896	13
435	TRUE	BC	No	No	No	24.152	14
436	TRUE	Quebec	Yes	No	No	33.094	15
437	TRUE	BC	No	Yes	Yes	32.743	12
438	TRUE	Prairies	No	Yes	Yes	29.604	12
439	TRUE	Ontario	Yes	No	No	32.309	12.5
440	TRUE	Atlantic	Yes	No	No	51.664	16.5
441	TRUE	Ontario	Yes	No	No	21.873	12
442	TRUE	Quebec	No	Yes	Yes	42.201	16
443	FALSE	Prairies	Yes	No	No	21.541	14
444	TRUE	BC	No	No	No	31.746	16.5
445	TRUE	Ontario	Yes	No	No	41.983	17
446	TRUE	Ontario	Yes	Yes	No	11.601	13
447	TRUE	Ontario	No	No	No	32.956	18
448	TRUE	Prairies	Yes	No	No	10	14
449	TRUE	Ontario	Yes	No	No	37.902	15
450	TRUE	Ontario	Yes	No	No	32.103	13
451	FALSE	Ontario	No	Yes	No	85.742	17
452	FALSE	Atlantic	No	No	Yes	38.456	12
453	FALSE	Quebec	No	No	No	18.13	12
454	TRUE	Quebec	Yes	No	No	21.426	15.5
455	FALSE	Ontario	Yes	Yes	No	28.945	12
456	TRUE	Atlantic	Yes	Yes	No	18.194	14
457	TRUE	Ontario	Yes	Yes	No	24.552	13
458	TRUE	BC	No	No	No	7.856	20
459	TRUE	Quebec	Yes	No	No	6.667	15
460	TRUE	Ontario	Yes	Yes	No	17.579	12
461	FALSE	Ontario	No	Yes	No	37.964	12
462	TRUE	Prairies	No	Yes	Yes	32.707	12
463	TRUE	Ontario	No	No	No	35.393	19
464	TRUE	Atlantic	Yes	Yes	No	59.264	13
465	TRUE	Prairies	Yes	No	No	6.74	10
466	TRUE	Prairies	No	No	No	34.364	11.5
467	FALSE	Atlantic	Yes	No	No	29.437	16
468	TRUE	Atlantic	Yes	Yes	No	0.223	15
469	TRUE	Atlantic	Yes	No	No	18.296	12.5
470	TRUE	Quebec	Yes	No	No	17.614	15.5
471	TRUE	Ontario	Yes	Yes	No	33.244	13.5
472	TRUE	Ontario	Yes	Yes	No	36.783	12
473	TRUE	Atlantic	No	No	No	20.732	12
474	TRUE	Quebec	Yes	No	No	24.478	11
475	TRUE	Ontario	Yes	Yes	No	61.982	17
476	TRUE	Quebec	No	Yes	No	18.915	12
477	FALSE	Prairies	Yes	Yes	No	39.189	15
478	FALSE	Prairies	Yes	Yes	No	43.244	12
479	TRUE	BC	No	No	No	30.507	17
480	TRUE	Quebec	Yes	Yes	No	26.937	16
481	TRUE	Ontario	No	No	No	36.058	19
482	FALSE	Quebec	No	Yes	Yes	28.048	12
483	TRUE	Atlantic	No	No	No	11.115	12
484	TRUE	Atlantic	No	No	No	23.298	12
485	TRUE	Quebec	No	Yes	No	18.968	13.6
486	FALSE	Quebec	Yes	Yes	No	15.211	13.5
487	TRUE	Ontario	Yes	No	No	20.07	15
488	FALSE	Prairies	Yes	Yes	No	52.955	10.5
489	FALSE	Prairies	No	Yes	Yes	24.94	12.5
490	FALSE	Ontario	No	Yes	No	1.846	14.5
491	FALSE	Quebec	No	Yes	No	22.938	10.5
492	FALSE	Quebec	Yes	Yes	Yes	29.853	8
493	TRUE	Ontario	Yes	Yes	No	40.45	15.1
494	TRUE	Ontario	Yes	Yes	No	26.838	9.4
495	FALSE	Prairies	Yes	Yes	No	19.94	16
496	TRUE	Ontario	No	Yes	No	28.031	12
497	TRUE	Atlantic	No	No	No	8.066	14
498	TRUE	Ontario	Yes	No	Yes	13.46	13
499	TRUE	Prairies	No	No	No	11.792	12.5
500	FALSE	Atlantic	Yes	Yes	No	37.882	12
501	TRUE	Ontario	No	No	No	12.192	13.9
502	TRUE	Atlantic	No	No	No	0	12.5
503	TRUE	Prairies	Yes	No	No	18.163	9
504	TRUE	Ontario	No	No	No	33.078	18.1
505	TRUE	Prairies	No	Yes	Yes	39.92	12.3
506	TRUE	Quebec	No	Yes	No	18.237	12
507	TRUE	Prairies	Yes	No	No	20.936	12
508	TRUE	Ontario	Yes	Yes	No	17.041	13
509	TRUE	Prairies	No	No	No	6.491	14.5
510	TRUE	Atlantic	No	Yes	Yes	29.263	13
511	TRUE	BC	No	Yes	Yes	23.595	11
512	TRUE	Ontario	No	Yes	No	33.835	14
513	TRUE	Atlantic	Yes	Yes	No	14.899	9
514	TRUE	Ontario	Yes	No	No	41.201	16
515	TRUE	Ontario	Yes	No	No	31.836	15
516	FALSE	Prairies	Yes	Yes	No	32.455	9
