age	education	prestige	year	gender	race	workingMom
100	64	8	32	1977	female	white	A
101	51	9	28	1977	male	white	SD
102	22	12	29	1977	female	white	SD
103	54	10	19	1977	female	white	SD
104	47	8	20	1977	female	white	D
105	60	10	37	1977	male	white	A
106	34	12	34	1977	female	white	A
107	20	12	45	1977	male	white	SA
108	47	12	62	1977	female	white	A
109	37	9	31	1977	female	white	SD
110	40	17	43	1977	female	white	SA
111	40	17	50	1977	male	white	SD
112	42	12	46	1977	female	white	SD
113	32	17	60	1977	female	white	SA
114	46	12	38	1977	male	white	D
115	57	16	29	1977	male	white	D
116	32	15	70	1977	male	white	SD
117	57	11	29	1977	female	white	A
118	20	12	29	1977	male	white	A
119	57	12	34	1977	female	white	A
120	47	16	50	1977	male	white	A
121	55	8	27	1977	male	nonwhite	D
122	27	13	26	1977	female	nonwhite	SD
123	56	12	27	1977	male	nonwhite	D
124	34	12	48	1977	male	white	SA
125	65	10	20	1977	female	white	SA
126	24	13	62	1977	female	white	SA
127	83	5	51	1977	male	white	SD
128	31	11	32	1977	male	white	A
129	58	8	19	1977	female	white	SA
130	30	6	40	1977	male	nonwhite	A
131	21	13	20	1977	female	white	SA
132	43	11	37	1977	male	white	D
133	22	9	29	1977	male	nonwhite	D
134	27	16	69	1977	male	nonwhite	A
135	74	16	50	1977	male	white	SD
136	55	10	46	1977	female	white	SD
137	36	13	56	1977	male	nonwhite	SA
138	19	10	17	1977	male	white	D
139	54	13	48	1977	female	white	D
140	71	8	32	1977	female	white	SD
141	30	11	31	1977	female	white	SD
142	56	12	23	1977	female	white	SD
143	42	12	40	1977	male	white	A
144	63	8	18	1977	female	white	D
145	39	12	32	1977	male	white	D
146	66	14	34	1977	male	white	A
147	68	12	31	1977	female	white	D
148	42	12	36	1977	female	white	A
149	60	12	41	1977	male	white	SD
150	60	7	27	1977	male	white	SA
151	35	10	27	1977	female	white	A
152	22	12	36	1977	female	white	SA
153	25	12	27	1977	female	white	SD
154	25	12	32	1977	male	white	A
155	51	12	49	1977	male	white	A
156	48	12	50	1977	male	white	D
157	35	16	60	1977	female	white	A
158	31	14	34	1977	female	white	A
159	22	13	14	1977	female	white	D
160	49	18	60	1977	female	white	SA
161	59	16	63	1977	female	white	A
162	65	13	69	1977	male	white	A
163	23	11	34	1977	female	white	SA
164	69	12	45	1977	male	white	SD
165	53	12	50	1977	female	white	A
166	67	8	33	1977	female	white	A
167	68	8	31	1977	female	white	D
168	46	12	31	1977	male	white	SD
169	38	12	36	1977	male	white	A
170	26	12	44	1977	female	white	A
171	49	12	36	1977	male	white	SD
172	46	14	36	1977	female	white	SD
173	36	12	78	1977	male	white	SD
174	46	13	46	1977	female	white	D
175	39	12	35	1977	male	white	A
176	71	6	26	1977	female	white	SA
177	48	12	32	1977	male	white	SD
178	70	12	46	1977	female	white	SD
179	75	7	32	1977	female	white	D
180	72	9	29	1977	female	white	D
181	78	12	46	1977	female	white	SA
182	20	10	15	1977	female	white	SA
183	44	8	32	1977	male	white	A
184	47	12	31	1977	female	white	D
185	26	14	14	1977	female	white	SA
186	24	13	35	1977	male	white	A
187	29	12	46	1977	female	white	SA
188	41	16	47	1977	male	white	A
189	30	17	63	1977	female	white	SA
190	30	12	57	1977	female	white	SA
191	45	12	32	1977	male	white	D
192	33	14	51	1977	female	white	SD
193	59	9	40	1977	male	white	A
194	21	12	14	1977	male	white	A
195	65	10	31	1977	female	white	A
196	20	12	16	1977	female	white	SD
197	44	12	50	1977	male	white	A
198	28	12	45	1977	female	white	A
199	44	12	45	1977	male	white	D
200	53	12	50	1977	female	white	A
201	25	14	47	1977	female	white	A
202	34	18	60	1977	male	white	D
203	34	14	34	1977	male	white	D
204	49	12	16	1977	male	white	D
205	41	12	39	1977	female	white	A
206	77	11	14	1977	male	white	D
207	35	11	27	1977	female	white	A
208	36	17	50	1977	male	white	D
209	37	12	46	1977	female	white	D
210	36	16	68	1977	male	nonwhite	A
211	28	20	78	1977	male	white	SD
212	28	12	28	1977	male	nonwhite	D
213	35	14	26	1977	female	white	SA
214	48	10	30	1977	male	white	SD
215	65	8	39	1977	male	white	D
216	64	8	27	1977	female	white	SD
217	25	12	46	1977	female	white	SD
218	77	8	29	1977	female	white	A
219	49	12	44	1977	female	white	SD
220	65	17	60	1977	male	white	A
221	62	16	60	1977	female	white	A
222	38	12	50	1977	female	white	SD
223	30	12	50	1977	female	white	SD
224	60	12	36	1977	female	white	D
225	38	12	36	1977	female	white	SA
226	74	6	45	1977	male	white	A
227	73	10	32	1977	female	white	D
228	27	14	23	1977	male	white	A
229	44	8	33	1977	male	white	A
230	48	12	32	1977	female	white	A
231	45	12	19	1977	female	white	A
232	41	9	30	1977	male	white	D
233	38	12	41	1977	female	white	A
234	56	18	71	1977	male	white	A
235	51	11	37	1977	male	white	SA
236	33	12	18	1977	female	white	A
237	38	18	63	1977	female	white	A
238	40	15	28	1977	female	white	SA
239	50	12	30	1977	male	nonwhite	D
240	23	13	45	1977	male	white	A
241	41	12	46	1977	female	white	D
242	39	12	36	1977	female	white	A
243	56	11	12	1977	male	nonwhite	SA
244	23	16	60	1977	male	white	A
245	79	5	19	1977	female	white	D
246	59	12	45	1977	male	white	SD
247	48	12	46	1977	female	white	SA
248	28	18	47	1977	male	white	D
249	50	11	33	1977	male	white	D
250	67	12	46	1977	female	white	SD
251	39	12	41	1977	female	nonwhite	SA
252	41	9	34	1977	male	nonwhite	D
253	29	12	45	1977	female	nonwhite	A
254	37	15	36	1977	female	nonwhite	A
255	75	8	43	1977	female	white	A
256	69	5	16	1977	female	white	SA
257	54	20	60	1977	male	white	D
258	80	18	46	1977	female	white	A
259	40	18	63	1977	male	white	D
260	77	16	74	1977	male	white	SA
261	48	12	50	1977	male	white	D
262	22	13	40	1977	female	nonwhite	D
263	23	14	50	1977	female	white	SD
264	28	13	41	1977	female	nonwhite	D
265	59	11	62	1977	female	white	SD
266	24	16	61	1977	female	white	A
267	27	16	34	1977	male	white	D
268	22	13	46	1977	female	nonwhite	A
269	49	10	17	1977	male	nonwhite	A
270	37	13	25	1977	female	nonwhite	SA
271	43	6	18	1977	female	nonwhite	D
272	40	12	31	1977	female	white	A
273	37	12	25	1977	female	white	SA
274	55	12	35	1977	male	nonwhite	D
275	68	8	23	1977	female	white	D
276	21	12	50	1977	female	white	D
277	36	14	42	1977	female	white	SD
278	56	13	48	1977	female	white	A
279	20	14	31	1977	male	white	SA
280	63	10	40	1977	male	white	A
281	35	12	46	1977	female	white	SA
282	51	12	62	1977	female	white	A
283	35	12	32	1977	male	white	D
284	45	12	46	1977	female	white	D
285	27	12	31	1977	female	white	SA
286	26	12	46	1977	female	white	D
287	39	12	46	1977	female	white	A
288	33	16	69	1977	male	white	D
289	37	10	20	1977	female	white	SA
290	42	12	45	1977	female	white	A
291	62	12	34	1977	female	white	SA
292	55	16	31	1977	male	white	D
293	39	12	46	1977	female	white	SA
294	42	12	48	1977	female	white	A
295	54	14	43	1977	female	white	D
296	36	13	46	1977	female	white	A
297	74	18	63	1977	male	white	D
298	72	9	40	1977	female	white	D
299	44	9	32	1977	male	white	SD
300	19	12	20	1977	female	white	A
301	31	6	26	1977	female	nonwhite	SA
302	54	6	12	1977	female	white	SD
303	22	9	33	1977	male	white	D
304	42	16	60	1977	female	white	SA
305	29	9	35	1977	male	white	SD
306	38	9	17	1977	male	white	SD
307	32	12	46	1977	female	white	SA
308	36	12	62	1977	female	white	SA
309	53	12	61	1977	male	white	SD
310	53	12	22	1977	male	white	D
311	39	12	22	1977	male	white	A
312	37	14	69	1977	male	nonwhite	A
313	36	11	32	1977	male	nonwhite	A
314	58	12	42	1977	female	nonwhite	SD
315	56	9	20	1977	female	nonwhite	SD
316	29	10	19	1977	female	nonwhite	SA
317	26	12	36	1977	male	nonwhite	A
318	59	8	50	1977	male	white	SD
319	57	12	37	1977	male	white	A
320	21	11	20	1977	female	white	A
321	74	7	25	1977	female	white	D
322	36	12	48	1977	female	white	D
323	30	11	32	1977	female	white	A
324	62	12	27	1977	female	white	A
325	26	13	17	1977	male	white	D
326	26	12	20	1977	female	white	A
327	23	14	29	1977	male	white	A
328	28	14	45	1977	female	nonwhite	SA
329	30	10	18	1977	female	nonwhite	D
330	27	10	33	1977	female	nonwhite	SD
331	26	12	57	1977	female	nonwhite	SA
332	22	14	31	1977	female	nonwhite	SA
333	25	13	32	1977	male	nonwhite	SA
334	26	12	17	1977	female	nonwhite	D
335	31	17	20	1977	male	white	SA
336	52	12	36	1977	female	white	A
337	75	20	82	1977	male	white	D
338	31	14	46	1977	female	white	A
339	75	11	37	1977	male	white	D
340	63	15	61	1977	male	white	A
341	76	12	48	1977	female	white	SD
342	69	3	16	1977	female	nonwhite	SD
343	63	12	50	1977	male	white	D
344	52	16	67	1977	male	white	D
345	71	4	23	1977	male	white	A
346	58	4	41	1977	male	white	SA
347	48	8	19	1977	female	white	SD
348	54	12	48	1977	female	white	SD
349	45	12	33	1977	male	white	D
350	37	17	78	1977	male	white	SA
351	23	16	63	1977	female	white	SA
352	37	18	67	1977	male	white	SA
353	35	12	45	1977	female	white	D
354	49	12	41	1977	female	white	SA
355	41	18	61	1977	female	white	SA
356	48	12	33	1977	male	white	A
357	25	12	48	1977	female	white	SA
358	42	10	47	1977	male	white	D
359	33	15	46	1977	female	white	SA
360	41	12	36	1977	female	nonwhite	A
361	33	12	47	1977	male	white	A
362	29	13	31	1977	female	white	SA
363	34	12	47	1977	male	nonwhite	A
364	32	16	60	1977	female	white	SA
365	38	16	43	1977	female	white	D
366	38	15	61	1977	female	white	A
367	47	12	48	1977	female	white	D
368	54	13	51	1977	male	white	SD
369	25	12	47	1977	female	white	SA
370	35	12	41	1977	female	white	D
371	30	12	33	1977	female	white	D
372	21	12	46	1977	female	white	A
373	45	15	71	1977	male	nonwhite	D
374	60	12	20	1977	female	white	D
375	72	7	22	1977	male	white	A
376	28	11	22	1977	male	white	A
377	54	12	28	1977	male	white	A
378	53	11	36	1977	female	white	SA
379	50	14	56	1977	male	white	SA
380	48	12	46	1977	female	white	SA
381	46	12	46	1977	female	white	D
382	55	11	46	1977	female	white	SA
383	49	12	36	1977	female	white	D
384	24	13	29	1977	male	white	A
385	36	12	46	1977	female	white	SD
386	34	14	51	1977	female	white	A
387	52	13	46	1977	female	white	SA
388	46	12	50	1977	male	white	SD
389	33	12	45	1977	male	white	A
390	50	16	50	1977	male	nonwhite	D
391	32	14	32	1977	male	white	D
392	33	12	35	1977	female	white	SA
393	61	12	34	1977	female	white	D
394	23	12	48	1977	female	white	A
395	46	12	50	1977	male	white	D
396	39	12	39	1977	male	white	D
397	22	14	46	1977	female	white	SA
398	42	13	32	1977	male	white	A
399	37	18	78	1977	male	white	A
400	29	14	40	1977	male	white	D
401	42	12	46	1977	female	white	A
402	30	14	31	1977	male	white	SA
403	42	10	34	1977	female	white	A
404	45	12	40	1977	male	nonwhite	SD
405	27	13	36	1977	male	white	D
406	19	11	46	1977	male	white	D
407	54	12	45	1977	female	white	SA
408	33	19	61	1977	male	white	A
409	49	20	60	1977	male	white	D
410	25	14	22	1977	male	white	A
411	47	13	61	1977	female	white	A
412	31	14	33	1977	male	white	SA
413	28	14	41	1977	female	nonwhite	SA
414	31	11	33	1977	female	nonwhite	A
415	34	12	33	1977	female	white	A
416	46	10	18	1977	female	nonwhite	D
417	37	11	43	1977	female	nonwhite	A
418	53	16	52	1977	female	white	A
419	53	12	50	1977	female	white	SA
420	50	12	50	1977	male	white	A
421	64	8	40	1977	male	white	A
422	39	13	44	1977	female	white	SA
423	48	10	19	1977	female	white	SA
424	27	13	39	1977	female	white	SA
425	37	12	27	1977	female	white	SA
426	24	12	17	1977	male	nonwhite	A
427	72	12	32	1977	male	white	SD
428	49	8	50	1977	male	white	SA
429	75	12	36	1977	female	nonwhite	D
430	50	10	33	1977	female	white	D
431	57	14	34	1977	male	white	A
432	65	12	38	1977	male	white	A
433	43	12	42	1977	female	white	SA
434	23	12	20	1977	female	white	A
435	47	8	40	1977	male	white	D
436	57	8	19	1977	male	white	SD
437	20	11	18	1977	male	white	A
438	44	8	25	1977	female	white	SD
439	60	11	18	1977	female	white	D
440	57	17	78	1977	male	white	SD
441	23	13	50	1977	male	white	D
442	40	12	62	1977	female	white	A
443	40	12	46	1977	female	white	SD
444	52	15	34	1977	male	white	D
445	37	12	50	1977	male	white	A
446	70	16	63	1977	female	white	SD
447	52	16	71	1977	male	white	A
448	20	12	29	1977	male	white	D
449	74	8	26	1977	male	white	A
450	63	7	25	1977	female	white	D
451	22	12	27	1977	female	white	SA
452	25	12	40	1977	male	white	D
453	24	13	34	1977	male	white	A
454	46	12	36	1977	female	white	SD
455	66	8	33	1977	male	white	A
456	42	12	25	1977	female	white	SD
457	53	12	36	1977	female	white	SD
458	25	12	41	1977	male	white	SD
459	42	12	46	1977	female	white	SA
460	50	7	36	1977	female	white	D
461	60	12	47	1977	male	white	A
462	29	12	17	1977	male	white	SD
463	34	17	61	1977	male	white	SA
464	26	12	48	1977	female	white	A
465	31	12	32	1977	female	white	A
466	22	12	50	1977	female	white	SD
467	67	8	41	1977	male	white	A
468	55	9	50	1977	male	white	A
469	66	12	40	1977	female	white	A
470	37	16	41	1977	male	white	D
471	66	8	25	1977	female	white	D
472	48	16	67	1977	male	white	D
473	25	17	63	1977	female	white	A
474	78	14	60	1977	female	white	D
475	73	8	39	1977	female	white	SD
476	62	12	50	1977	male	white	D
477	49	12	47	1977	female	white	A
478	48	14	41	1977	female	white	A
479	56	12	32	1977	female	white	D
480	19	12	26	1977	male	white	D
481	25	16	63	1977	female	white	A
482	58	15	33	1977	male	white	A
483	34	11	33	1977	male	white	SA
484	66	8	39	1977	male	white	A
485	22	9	16	1977	male	white	A
486	35	15	20	1977	female	white	SA
487	24	14	37	1977	male	white	A
488	21	12	23	1977	female	white	A
489	28	18	78	1977	male	white	A
490	30	16	34	1977	female	white	A
491	51	16	34	1977	male	white	D
492	29	16	57	1977	female	white	D
493	55	8	28	1977	male	white	SD
494	23	12	48	1977	male	white	D
495	34	12	72	1977	male	white	D
496	28	12	36	1977	female	white	A
497	54	12	36	1977	male	white	A
498	30	13	37	1977	male	white	SA
499	41	14	48	1977	female	white	SA
500	30	16	29	1977	male	white	A
501	53	9	17	1977	female	white	A
502	70	8	41	1977	male	white	SD
503	33	12	28	1977	female	white	A
504	35	11	45	1977	female	white	D
505	35	12	23	1977	female	white	D
506	48	10	29	1977	male	white	D
507	24	12	34	1977	female	white	A
508	20	14	45	1977	female	white	A
509	46	12	48	1977	male	white	A
510	65	6	40	1977	female	white	A
511	20	12	49	1977	male	white	A
512	26	16	45	1977	male	white	D
513	54	12	26	1977	male	white	D
514	38	15	54	1977	male	white	A
515	26	16	37	1977	male	white	A
516	51	10	45	1977	male	white	SD
517	22	12	32	1977	male	white	A
518	61	12	63	1977	male	white	D
519	41	11	32	1977	female	white	SA
520	38	13	50	1977	male	white	A
521	76	8	40	1977	male	white	A
522	67	10	32	1977	male	white	D
523	49	9	19	1977	female	white	SD
524	54	9	28	1977	male	white	D
525	34	12	32	1977	male	white	D
526	41	11	26	1977	male	nonwhite	SD
527	63	16	69	1977	male	white	SD
528	81	5	36	1977	male	white	A
529	22	14	14	1977	male	white	A
530	56	7	41	1977	male	white	D
531	57	9	41	1977	male	nonwhite	D
532	21	9	27	1977	male	white	D
533	37	19	69	1977	male	white	D
534	68	9	41	1977	male	white	D
535	51	8	25	1977	female	white	D
536	21	7	32	1977	male	white	SA
537	28	9	25	1977	female	white	SA
538	53	12	50	1977	male	white	D
539	42	16	47	1977	male	white	A
540	63	9	32	1977	male	white	D
541	59	11	34	1977	female	white	D
542	31	18	50	1977	male	white	D
543	34	15	43	1977	female	white	A
544	72	12	62	1977	female	white	D
545	21	12	29	1977	female	white	D
546	71	15	50	1977	female	white	D
547	64	11	40	1977	female	white	SD
548	56	11	31	1977	female	white	D
549	76	6	32	1977	female	nonwhite	D
550	67	3	17	1977	male	nonwhite	D
551	55	7	23	1977	female	nonwhite	A
552	65	7	22	1977	female	nonwhite	A
553	40	10	25	1977	female	white	SD
554	36	18	37	1977	male	white	A
555	73	12	34	1977	female	white	D
556	49	12	47	1977	male	white	D
557	68	12	46	1977	female	white	A
558	23	16	36	1977	male	white	D
559	27	12	41	1977	female	white	D
560	65	10	23	1977	female	nonwhite	A
561	49	9	24	1977	male	nonwhite	A
562	35	12	17	1977	male	nonwhite	A
563	24	13	61	1977	female	nonwhite	SA
564	73	10	31	1977	female	white	A
565	33	20	60	1977	male	white	SA
566	58	11	43	1977	female	white	A
567	54	12	46	1977	female	white	A
568	56	12	40	1977	male	white	D
569	63	8	30	1977	male	white	SD
570	53	5	18	1977	male	nonwhite	A
571	32	12	60	1977	female	nonwhite	A
572	86	5	14	1977	female	nonwhite	A
573	66	4	18	1977	female	nonwhite	A
574	88	9	19	1977	female	nonwhite	SA
575	49	15	62	1977	female	white	A
576	50	10	14	1977	female	white	SD
577	48	7	20	1977	female	white	A
578	77	8	30	1977	male	white	D
579	74	7	18	1977	female	white	SD
580	19	11	22	1977	female	white	SA
581	23	12	34	1977	female	white	A
582	20	13	47	1977	male	nonwhite	D
583	30	12	43	1977	female	white	SA
584	26	13	22	1977	female	white	A
585	19	12	34	1977	female	white	SA
586	29	12	28	1977	male	white	A
587	30	14	29	1977	male	nonwhite	A
588	23	13	25	1977	female	white	SD
589	42	15	44	1977	male	white	D
590	28	12	37	1977	female	white	SA
591	29	14	40	1977	male	white	D
592	60	11	50	1977	male	white	D
593	20	12	19	1977	female	white	A
594	55	13	46	1977	female	white	A
595	28	15	36	1977	female	white	A
596	25	12	27	1977	male	white	SD
597	29	12	40	1977	male	white	SD
598	82	5	39	1977	male	white	SD
599	57	10	36	1977	female	white	D
600	74	10	19	1977	female	white	D
601	26	13	35	1977	male	white	A
602	61	11	45	1977	female	white	D
603	66	9	33	1977	female	white	SD
604	44	6	26	1977	male	white	SD
605	52	8	40	1977	male	white	D
606	56	10	29	1977	female	white	A
607	59	12	34	1977	female	white	D
608	74	9	23	1977	female	white	D
609	19	12	23	1977	male	white	SD
610	61	16	60	1977	female	white	A
611	62	8	12	1977	female	white	D
612	78	8	18	1977	female	white	A
613	58	12	40	1977	male	white	A
614	79	8	32	1977	female	white	D
615	62	16	60	1977	male	white	D
616	26	12	19	1977	female	white	D
617	40	10	45	1977	female	white	D
618	75	16	63	1977	female	white	A
619	82	12	61	1977	female	white	D
620	53	12	41	1977	male	white	A
621	61	16	60	1977	female	white	D
622	64	8	41	1977	male	white	D
623	34	12	57	1977	male	white	SD
624	26	12	20	1977	female	white	D
625	21	12	34	1977	male	white	A
626	44	12	48	1977	female	white	SA
627	83	8	20	1977	female	white	A
628	73	8	27	1977	female	white	D
629	43	12	42	1977	male	white	D
630	36	8	19	1977	female	white	D
631	36	12	25	1977	female	white	A
632	39	12	26	1977	male	white	D
633	54	14	49	1977	male	white	D
634	24	12	17	1977	male	white	D
635	21	12	32	1977	male	white	D
636	63	8	18	1977	female	white	A
637	71	15	60	1977	male	white	D
638	22	12	34	1977	male	white	A
639	53	15	36	1977	male	white	SD
640	45	10	34	1977	female	white	SA
641	41	9	49	1977	male	white	SD
642	23	13	42	1977	female	white	A
643	56	12	56	1977	male	white	SD
644	20	12	20	1977	female	white	SA
645	33	10	31	1977	female	white	SD
646	48	4	17	1977	male	white	SA
647	71	6	22	1977	male	white	D
648	71	6	12	1977	female	white	A
649	36	16	63	1977	female	white	A
650	25	12	36	1977	male	white	SD
651	71	10	34	1977	female	white	SD
652	52	8	49	1977	male	white	SD
653	63	12	31	1977	female	white	SD
654	47	12	42	1977	female	white	SA
655	25	16	52	1977	female	white	A
656	55	9	18	1977	female	nonwhite	D
657	26	12	32	1977	male	nonwhite	D
658	53	11	45	1977	male	white	D
659	20	13	36	1977	female	white	SA
660	40	12	22	1977	female	white	A
661	54	12	50	1977	female	white	A
662	58	9	40	1977	male	white	A
663	22	15	41	1977	female	white	SD
664	47	14	47	1977	male	white	D
665	46	11	32	1977	male	white	D
666	61	12	16	1977	male	white	SD
667	38	13	43	1977	female	white	SA
668	63	12	32	1977	female	white	A
669	60	12	36	1977	female	white	SA
670	55	12	31	1977	female	white	SA
671	22	12	17	1977	male	white	D
672	29	12	31	1977	male	white	A
673	56	12	36	1977	male	white	D
674	41	16	34	1977	female	white	SA
675	34	16	34	1977	female	white	A
676	50	9	22	1977	female	white	D
677	31	17	61	1977	female	nonwhite	A
678	65	12	51	1977	female	white	D
679	58	16	50	1977	male	white	D
680	40	16	57	1977	female	white	SA
681	50	15	44	1977	female	white	A
682	19	12	22	1977	male	white	D
683	46	16	51	1977	male	white	A
684	42	16	48	1977	female	white	D
685	46	10	26	1977	female	white	A
686	63	11	40	1977	male	white	A
687	49	5	16	1977	male	white	SD
688	58	12	48	1977	male	white	D
689	50	12	50	1977	female	white	A
690	68	11	48	1977	male	white	D
691	35	15	58	1977	female	white	SA
692	63	12	20	1977	female	nonwhite	D
693	28	12	37	1977	male	white	A
694	41	14	46	1977	male	white	SA
695	69	5	36	1977	female	white	SA
696	61	12	58	1977	male	white	D
697	57	3	37	1977	male	white	SA
698	79	8	42	1977	male	white	D
699	57	17	60	1977	female	white	D
700	71	6	18	1977	female	nonwhite	D
701	34	15	36	1977	female	nonwhite	D
702	55	12	36	1977	male	white	A
703	21	14	26	1977	male	white	A
704	50	12	44	1977	female	white	D
705	25	16	63	1977	male	white	A
706	33	12	40	1977	female	nonwhite	A
707	33	15	31	1977	female	nonwhite	SA
708	57	12	18	1977	female	nonwhite	A
709	35	12	39	1977	male	white	A
710	20	12	23	1977	male	white	A
711	50	12	26	1977	male	white	SD
712	56	9	22	1977	female	white	D
713	30	12	25	1977	female	white	SA
714	19	11	30	1977	male	white	A
715	27	18	63	1977	female	white	SA
716	37	13	34	1977	male	white	A
717	35	16	50	1977	male	white	D
718	56	12	14	1977	female	nonwhite	A
719	65	2	40	1977	male	nonwhite	D
720	24	12	40	1977	female	nonwhite	SD
721	37	12	36	1977	female	nonwhite	SA
722	59	7	26	1977	male	white	D
723	22	12	48	1977	female	white	SD
724	67	3	32	1977	male	white	SD
725	57	8	36	1977	female	white	SD
726	52	12	33	1977	female	white	SA
727	39	12	40	1977	male	white	SD
728	51	12	39	1977	female	white	SD
729	43	12	34	1977	female	white	SD
730	40	12	22	1977	female	white	D
731	61	9	37	1977	male	white	SD
732	48	12	48	1977	female	white	SD
733	64	7	29	1977	female	white	SD
734	30	12	39	1977	male	white	D
735	20	11	20	1977	female	white	A
736	76	8	39	1977	female	white	D
737	26	14	42	1977	female	nonwhite	A
738	42	10	27	1977	female	white	D
739	64	17	50	1977	female	white	A
740	36	16	78	1977	male	white	SA
741	64	10	46	1977	female	white	D
742	34	16	46	1977	female	white	A
743	71	16	62	1977	male	white	D
744	54	16	46	1977	female	white	D
745	38	12	46	1977	female	white	A
746	74	8	32	1977	female	white	A
747	36	10	17	1977	male	white	SD
748	53	9	26	1977	female	white	D
749	29	9	40	1977	male	white	A
750	58	12	30	1977	male	white	SD
751	67	8	16	1977	male	white	A
752	26	13	27	1977	female	white	A
753	35	10	32	1977	male	white	D
754	33	12	45	1977	female	white	SA
755	32	18	60	1977	male	white	SD
756	60	12	46	1977	female	white	A
757	47	16	22	1977	female	white	A
758	59	18	74	1977	male	white	SA
759	58	12	46	1977	female	white	A
760	61	12	46	1977	male	white	SA
761	36	16	51	1977	female	white	A
762	42	16	50	1977	male	white	A
763	25	12	32	1977	male	nonwhite	A
764	67	5	17	1977	male	nonwhite	SD
765	25	9	32	1977	female	nonwhite	A
766	35	16	69	1977	male	white	SD
767	32	7	50	1977	male	white	D
768	45	10	17	1977	male	white	A
769	29	14	32	1977	male	white	A
770	26	15	50	1977	male	white	A
771	30	10	20	1977	male	white	SA
772	20	14	17	1977	male	white	D
773	68	7	48	1977	male	white	SD
774	63	15	50	1977	male	white	D
775	51	12	36	1977	female	white	D
776	28	13	27	1977	female	white	A
777	27	10	17	1977	male	white	D
778	32	14	35	1977	male	white	D
779	30	18	60	1977	female	white	A
780	39	13	46	1977	female	white	SA
781	40	20	50	1977	male	white	A
782	31	19	69	1977	male	white	A
783	41	16	50	1977	male	white	SA
