school	iq	test	ses	class.size	meanses	meaniq
95	10	8	14	10	25	19.6	10.5
96	10	11	39	33	25	19.6	10.5
97	11	4	NA	11	28	17.6	10.84
98	11	12	NA	28	28	17.6	10.84
99	11	12	NA	11	28	17.6	10.84
100	11	7.5	NA	11	28	17.6	10.84
101	11	6	NA	11	28	17.6	10.84
102	11	11	NA	17	28	17.6	10.84
103	11	11	NA	15	28	17.6	10.84
104	11	12.5	NA	11	28	17.6	10.84
105	11	9	NA	13	28	17.6	10.84
106	11	10	NA	12	28	17.6	10.84
107	11	11	NA	19	28	17.6	10.84
108	11	11	NA	38	28	17.6	10.84
109	11	11.5	NA	13	28	17.6	10.84
110	11	12	NA	11	28	17.6	10.84
111	11	6	NA	11	28	17.6	10.84
112	11	13	NA	22	28	17.6	10.84
113	11	7.5	NA	12	28	17.6	10.84
114	11	11	NA	11	28	17.6	10.84
115	11	11.5	NA	28	28	17.6	10.84
116	11	15	NA	19	28	17.6	10.84
117	11	13	NA	11	28	17.6	10.84
118	11	10	NA	17	28	17.6	10.84
119	11	12	NA	11	28	17.6	10.84
120	11	16.5	NA	28	28	17.6	10.84
121	11	15	NA	49	28	17.6	10.84
122	12	11.5	39	23	31	29.765	9.529
123	12	9	NA	41	31	29.765	9.529
124	12	9.5	23	27	31	29.765	9.529
125	12	10.5	43	33	31	29.765	9.529
126	12	8.5	25	33	31	29.765	9.529
127	12	7.5	24	28	31	29.765	9.529
128	12	11	41	37	31	29.765	9.529
129	12	10.5	32	30	31	29.765	9.529
130	12	10.5	26	20	31	29.765	9.529
131	12	9.5	21	40	31	29.765	9.529
132	12	10	37	20	31	29.765	9.529
133	12	11.5	30	17	31	29.765	9.529
134	12	9.5	41	20	31	29.765	9.529
135	12	9	31	50	31	29.765	9.529
136	12	8	27	20	31	29.765	9.529
137	12	7.5	33	27	31	29.765	9.529
138	12	8.5	29	40	31	29.765	9.529
139	13	12	42	23	25	33.429	13.929
140	13	11.5	37	31	25	33.429	13.929
141	13	17	49	47	25	33.429	13.929
142	13	13	39	24	25	33.429	13.929
143	13	11.5	32	20	25	33.429	13.929
144	13	15.5	50	38	25	33.429	13.929
145	13	14.5	45	37	25	33.429	13.929
146	13	16	43	28	25	33.429	13.929
147	13	14.5	54	24	25	33.429	13.929
148	13	12	50	38	25	33.429	13.929
149	13	13	47	44	25	33.429	13.929
150	13	12	52	30	25	33.429	13.929
151	13	17	51	44	25	33.429	13.929
152	13	15.5	54	40	25	33.429	13.929
153	14	12.5	43	36	24	36.609	13.022
154	14	9.5	NA	23	24	36.609	13.022
155	14	11.5	22	12	24	36.609	13.022
156	14	14	26	30	24	36.609	13.022
157	14	12	38	41	24	36.609	13.022
158	14	9.5	32	45	24	36.609	13.022
159	14	14	40	28	24	36.609	13.022
160	14	13	38	41	24	36.609	13.022
161	14	13	35	41	24	36.609	13.022
162	14	12	32	36	24	36.609	13.022
163	14	12	35	28	24	36.609	13.022
164	14	12.5	37	41	24	36.609	13.022
165	14	12.5	31	32	24	36.609	13.022
166	14	10.5	27	36	24	36.609	13.022
167	14	12.5	37	36	24	36.609	13.022
168	14	13.5	51	41	24	36.609	13.022
169	14	13	42	41	24	36.609	13.022
170	14	17	45	41	24	36.609	13.022
171	14	14	36	41	24	36.609	13.022
172	14	16	54	41	24	36.609	13.022
173	14	13	42	49	24	36.609	13.022
174	14	15	51	41	24	36.609	13.022
175	14	17	43	41	24	36.609	13.022
176	15	8.5	23	NA	35	28.125	11.167
177	15	14	31	40	35	28.125	11.167
178	15	8.5	18	20	35	28.125	11.167
179	15	13	37	40	35	28.125	11.167
180	15	10.5	22	25	35	28.125	11.167
181	15	15	43	20	35	28.125	11.167
182	15	9	9	30	35	28.125	11.167
183	15	10	41	30	35	28.125	11.167
184	15	12	46	20	35	28.125	11.167
185	16	12.5	NA	31	28	29.556	11.778
186	16	11	34	23	28	29.556	11.778
187	16	11	47	33	28	29.556	11.778
188	16	12.5	44	27	28	29.556	11.778
189	16	13	50	27	28	29.556	11.778
190	16	12.5	45	23	28	29.556	11.778
191	16	11	43	30	28	29.556	11.778
192	16	11.5	34	35	28	29.556	11.778
193	16	11	35	37	28	29.556	11.778
194	18	10.5	NA	39	28	31.96	11.7
195	18	9.5	22	23	28	31.96	11.7
196	18	9.5	27	15	28	31.96	11.7
197	18	15	45	50	28	31.96	11.7
198	18	11.5	45	27	28	31.96	11.7
199	18	13	38	35	28	31.96	11.7
200	18	10.5	24	33	28	31.96	11.7
201	18	13	50	25	28	31.96	11.7
202	18	11	22	20	28	31.96	11.7
203	18	14	43	30	28	31.96	11.7
204	18	13.5	28	28	28	31.96	11.7
205	18	10.5	38	33	28	31.96	11.7
206	18	9.5	20	25	28	31.96	11.7
207	18	15.5	40	33	28	31.96	11.7
208	18	12	47	50	28	31.96	11.7
209	18	11	20	15	28	31.96	11.7
210	18	11	28	25	28	31.96	11.7
211	18	13	33	50	28	31.96	11.7
212	18	11.5	21	30	28	31.96	11.7
213	18	12.5	44	38	28	31.96	11.7
214	18	12	43	20	28	31.96	11.7
215	18	10	18	35	28	31.96	11.7
216	18	10.5	31	50	28	31.96	11.7
217	18	11.5	21	35	28	31.96	11.7
218	18	11	41	35	28	31.96	11.7
219	19	9	33	45	34	33.818	12.065
220	19	9	30	20	34	33.818	12.065
221	19	11	30	41	34	33.818	12.065
222	19	12	37	20	34	33.818	12.065
223	19	10	37	17	34	33.818	12.065
224	19	10	35	34	34	33.818	12.065
225	19	13	43	17	34	33.818	12.065
226	19	11.5	36	31	34	33.818	12.065
227	19	12	41	37	34	33.818	12.065
228	19	12	32	39	34	33.818	12.065
229	19	11.5	11	32	34	33.818	12.065
230	19	10	34	45	34	33.818	12.065
231	19	12.5	35	32	34	33.818	12.065
232	19	11	40	27	34	33.818	12.065
233	19	11.5	29	26	34	33.818	12.065
234	19	12.5	30	30	34	33.818	12.065
235	19	11	42	40	34	33.818	12.065
236	19	16.5	40	30	34	33.818	12.065
237	19	11	32	24	34	33.818	12.065
238	19	14	41	45	34	33.818	12.065
239	19	11	40	36	34	33.818	12.065
240	19	15.5	45	49	34	33.818	12.065
241	19	12.5	44	32	34	33.818	12.065
242	19	12	35	47	34	33.818	12.065
243	19	12.5	44	37	34	33.818	12.065
244	19	14	47	45	34	33.818	12.065
245	19	11.5	45	28	34	33.818	12.065
246	19	14	41	30	34	33.818	12.065
247	19	NA	49	41	34	33.818	12.065
248	19	12	49	41	34	33.818	12.065
249	19	NA	55	28	34	33.818	12.065
250	19	14	51	38	34	33.818	12.065
251	19	14	51	32	34	33.818	12.065
252	21	12	44	22	19	21.278	11.778
253	21	14.5	48	20	19	21.278	11.778
254	21	13	43	18	19	21.278	11.778
255	21	8.5	32	18	19	21.278	11.778
256	21	11.5	17	20	19	21.278	11.778
257	21	8.5	27	20	19	21.278	11.778
258	21	13	55	28	19	21.278	11.778
259	21	12.5	45	28	19	21.278	11.778
260	21	13.5	36	18	19	21.278	11.778
261	21	8	24	18	19	21.278	11.778
262	21	9	35	18	19	21.278	11.778
263	21	11.5	43	23	19	21.278	11.778
264	21	13	48	23	19	21.278	11.778
265	21	14.5	38	23	19	21.278	11.778
266	21	12	44	20	19	21.278	11.778
267	21	12	47	18	19	21.278	11.778
268	21	13.5	36	23	19	21.278	11.778
269	21	11.5	41	25	19	21.278	11.778
270	23	12	36	28	24	21.227	11.957
271	23	12	44	22	24	21.227	11.957
272	23	9.5	28	17	24	21.227	11.957
273	23	13.5	42	28	24	21.227	11.957
274	23	13.5	37	NA	24	21.227	11.957
275	23	11.5	44	17	24	21.227	11.957
276	23	12	46	21	24	21.227	11.957
277	23	9.5	24	21	24	21.227	11.957
278	23	13	45	17	24	21.227	11.957
279	23	9	35	17	24	21.227	11.957
280	23	11.5	37	26	24	21.227	11.957
281	23	14.5	49	15	24	21.227	11.957
282	23	13	49	17	24	21.227	11.957
283	23	12.5	48	26	24	21.227	11.957
284	23	12.5	40	28	24	21.227	11.957
285	23	10	33	26	24	21.227	11.957
286	23	13	45	17	24	21.227	11.957
287	23	11	43	17	24	21.227	11.957
288	23	13	51	17	24	21.227	11.957
289	23	13	48	26	24	21.227	11.957
290	23	12	42	19	24	21.227	11.957
291	23	10	52	28	24	21.227	11.957
292	23	13.5	54	17	24	21.227	11.957
293	24	12	NA	20	35	22.92	11.96
294	24	12	41	23	35	22.92	11.96
295	24	10	26	20	35	22.92	11.96
296	24	14	52	20	35	22.92	11.96
297	24	12.5	43	10	35	22.92	11.96
298	24	13	54	20	35	22.92	11.96
299	24	11.5	49	30	35	22.92	11.96
300	24	15.5	51	20	35	22.92	11.96
301	24	13.5	47	23	35	22.92	11.96
302	24	12	51	17	35	22.92	11.96
303	24	12	51	23	35	22.92	11.96
304	24	8.5	34	20	35	22.92	11.96
305	24	10.5	51	23	35	22.92	11.96
306	24	10	49	23	35	22.92	11.96
307	24	9	42	37	35	22.92	11.96
308	24	13	50	17	35	22.92	11.96
309	24	6.5	33	17	35	22.92	11.96
310	24	13.5	46	33	35	22.92	11.96
311	24	16.5	57	20	35	22.92	11.96
312	24	10.5	35	30	35	22.92	11.96
313	24	13.5	44	27	35	22.92	11.96
314	24	12	36	23	35	22.92	11.96
315	24	12.5	50	23	35	22.92	11.96
316	24	13	38	27	35	22.92	11.96
317	24	12	49	27	35	22.92	11.96
318	25	11.5	32	26	20	24.692	10.615
319	25	9	32	25	20	24.692	10.615
320	25	8	33	17	20	24.692	10.615
321	25	13	48	17	20	24.692	10.615
322	25	8	34	20	20	24.692	10.615
323	25	10	37	20	20	24.692	10.615
324	25	8.5	37	23	20	24.692	10.615
325	25	10	40	17	20	24.692	10.615
326	25	11	41	43	20	24.692	10.615
327	25	11.5	40	20	20	24.692	10.615
328	25	13	43	47	20	24.692	10.615
329	25	12	45	20	20	24.692	10.615
330	25	12.5	44	26	20	24.692	10.615
331	26	13.5	39	37	21	32.421	12.447
332	26	10.5	26	20	21	32.421	12.447
333	26	12	48	35	21	32.421	12.447
334	26	12.5	32	40	21	32.421	12.447
335	26	13	46	33	21	32.421	12.447
336	26	10	38	30	21	32.421	12.447
337	26	11	44	33	21	32.421	12.447
338	26	11	35	17	21	32.421	12.447
339	26	16.5	40	23	21	32.421	12.447
340	26	13	40	37	21	32.421	12.447
341	26	11.5	46	20	21	32.421	12.447
342	26	10	31	20	21	32.421	12.447
343	26	13.5	50	45	21	32.421	12.447
344	26	13.5	46	40	21	32.421	12.447
345	26	16.5	51	43	21	32.421	12.447
346	26	9	29	28	21	32.421	12.447
347	26	12	39	33	21	32.421	12.447
348	26	13.5	49	35	21	32.421	12.447
349	26	14	43	47	21	32.421	12.447
350	27	9.5	34	NA	32	29.238	11.522
351	27	15.5	52	NA	32	29.238	11.522
352	27	10	37	23	32	29.238	11.522
353	27	10.5	35	23	32	29.238	11.522
354	27	13	38	28	32	29.238	11.522
355	27	13	40	23	32	29.238	11.522
356	27	14	42	47	32	29.238	11.522
357	27	14.5	41	40	32	29.238	11.522
358	27	12	32	40	32	29.238	11.522
359	27	12.5	40	27	32	29.238	11.522
360	27	10.5	20	23	32	29.238	11.522
361	27	11	29	27	32	29.238	11.522
362	27	12.5	41	40	32	29.238	11.522
363	27	13	23	30	32	29.238	11.522
364	27	11.5	27	23	32	29.238	11.522
365	27	9.5	35	27	32	29.238	11.522
366	27	11.5	33	35	32	29.238	11.522
367	27	9.5	31	23	32	29.238	11.522
368	27	12	29	40	32	29.238	11.522
369	27	10	31	20	32	29.238	11.522
370	27	12	40	20	32	29.238	11.522
371	27	6.5	19	20	32	29.238	11.522
372	27	11	40	35	32	29.238	11.522
373	28	13	46	17	21	23.75	10.85
374	28	9.5	36	25	21	23.75	10.85
375	28	8.5	33	25	21	23.75	10.85
376	28	10.5	37	25	21	23.75	10.85
377	28	12	42	21	21	23.75	10.85
378	28	7.5	27	19	21	23.75	10.85
379	28	9.5	37	17	21	23.75	10.85
380	28	7	NA	15	21	23.75	10.85
381	28	12.5	NA	17	21	23.75	10.85
382	28	10	34	19	21	23.75	10.85
383	28	9	21	37	21	23.75	10.85
384	28	12	39	37	21	23.75	10.85
385	28	12.5	35	27	21	23.75	10.85
386	28	10.5	NA	21	21	23.75	10.85
387	28	10.5	36	19	21	23.75	10.85
388	28	12.5	41	19	21	23.75	10.85
389	28	11	32	32	21	23.75	10.85
390	28	12.5	44	33	21	23.75	10.85
391	28	13.5	52	20	21	23.75	10.85
392	28	13	42	30	21	23.75	10.85
393	29	16.5	NA	49	22	43.273	13.682
394	29	18	51	45	22	43.273	13.682
395	29	16	51	47	22	43.273	13.682
396	29	12	35	50	22	43.273	13.682
397	29	11.5	50	50	22	43.273	13.682
398	29	12	51	45	22	43.273	13.682
399	29	15.5	52	40	22	43.273	13.682
400	29	14	44	35	22	43.273	13.682
401	29	6	39	35	22	43.273	13.682
402	29	12.5	41	35	22	43.273	13.682
403	29	16.5	51	45	22	43.273	13.682
404	30	12	40	19	29	26.2	12.75
405	30	11	36	19	29	26.2	12.75
406	30	11.5	43	19	29	26.2	12.75
407	30	13.5	50	38	29	26.2	12.75
408	30	12.5	42	19	29	26.2	12.75
409	30	14	54	32	29	26.2	12.75
410	30	13.5	54	24	29	26.2	12.75
411	30	13	52	41	29	26.2	12.75
412	30	13	50	19	29	26.2	12.75
413	30	13.5	55	32	29	26.2	12.75
414	31	9	22	13	26	30.3	11.909
415	31	8	27	27	26	30.3	11.909
416	31	13	33	17	26	30.3	11.909
417	31	11	31	34	26	30.3	11.909
418	31	11.5	37	17	26	30.3	11.909
419	31	13	47	38	26	30.3	11.909
420	31	13	47	47	26	30.3	11.909
421	31	13.5	36	47	26	30.3	11.909
422	31	12	45	NA	26	30.3	11.909
423	31	13.5	45	36	26	30.3	11.909
424	31	13.5	44	27	26	30.3	11.909
425	32	10	39	23	21	27.857	12.381
426	32	14	35	19	21	27.857	12.381
427	32	11.5	39	19	21	27.857	12.381
428	32	14	42	26	21	27.857	12.381
429	32	11.5	30	30	21	27.857	12.381
430	32	12	29	20	21	27.857	12.381
431	32	11.5	35	23	21	27.857	12.381
432	32	10.5	26	34	21	27.857	12.381
433	32	11	38	19	21	27.857	12.381
434	32	12	33	19	21	27.857	12.381
435	32	14	47	47	21	27.857	12.381
436	32	13	36	26	21	27.857	12.381
437	32	12.5	48	36	21	27.857	12.381
438	32	9.5	37	21	21	27.857	12.381
439	32	12	38	36	21	27.857	12.381
440	32	14.5	35	29	21	27.857	12.381
441	32	12.5	45	23	21	27.857	12.381
442	32	12.5	45	23	21	27.857	12.381
443	32	14.5	50	29	21	27.857	12.381
444	32	13	42	34	21	27.857	12.381
445	32	14	51	49	21	27.857	12.381
446	33	12	42	NA	14	24.5	11.429
447	33	12	20	15	14	24.5	11.429
448	33	10	43	20	14	24.5	11.429
449	33	10	31	37	14	24.5	11.429
450	33	11	42	25	14	24.5	11.429
451	33	13	50	23	14	24.5	11.429
452	33	12	41	27	14	24.5	11.429
453	34	11	31	15	NA	23.125	12.188
454	34	8	32	17	NA	23.125	12.188
455	34	10.5	NA	15	NA	23.125	12.188
456	34	12	41	13	NA	23.125	12.188
457	34	13.5	45	26	NA	23.125	12.188
458	34	15	52	30	NA	23.125	12.188
459	34	13	NA	28	NA	23.125	12.188
460	34	14.5	49	41	NA	23.125	12.188
461	35	7.5	NA	11	16	21.062	10.219
462	35	5.5	NA	11	16	21.062	10.219
463	35	11	38	20	16	21.062	10.219
464	35	13	52	20	16	21.062	10.219
465	35	10.5	34	20	16	21.062	10.219
466	35	7	34	18	16	21.062	10.219
467	35	13	54	30	16	21.062	10.219
468	35	13	47	45	16	21.062	10.219
469	35	11	25	18	16	21.062	10.219
470	35	8	27	13	16	21.062	10.219
471	35	8	35	23	16	21.062	10.219
472	35	12	28	18	16	21.062	10.219
473	35	8.5	34	10	16	21.062	10.219
474	35	9.5	42	25	16	21.062	10.219
475	35	10.5	38	25	16	21.062	10.219
476	35	15.5	51	30	16	21.062	10.219
477	36	8.5	18	26	29	29.885	11.5
478	36	12	47	NA	29	29.885	11.5
479	36	9.5	NA	21	29	29.885	11.5
480	36	11.5	NA	21	29	29.885	11.5
481	36	14.5	55	33	29	29.885	11.5
482	36	12	40	20	29	29.885	11.5
483	36	12	49	30	29	29.885	11.5
484	36	13	37	35	29	29.885	11.5
485	36	9.5	31	25	29	29.885	11.5
486	36	12	31	30	29	29.885	11.5
487	36	8.5	28	30	29	29.885	11.5
488	36	11	30	20	29	29.885	11.5
489	36	9.5	34	40	29	29.885	11.5
490	36	12.5	42	40	29	29.885	11.5
491	36	11	29	30	29	29.885	11.5
492	36	12	27	20	29	29.885	11.5
493	36	13	32	33	29	29.885	11.5
494	36	9.5	22	30	29	29.885	11.5
495	36	14.5	34	30	29	29.885	11.5
496	36	12.5	36	38	29	29.885	11.5
497	36	12.5	46	28	29	29.885	11.5
498	36	12.5	45	30	29	29.885	11.5
499	36	12.5	39	37	29	29.885	11.5
500	36	11	36	40	29	29.885	11.5
501	36	10.5	33	30	29	29.885	11.5
502	36	11	28	40	29	29.885	11.5
503	36	12	35	20	29	29.885	11.5
504	37	10	35	41	32	31.931	12.224
505	37	8.5	20	18	32	31.931	12.224
506	37	13	39	34	32	31.931	12.224
507	37	11	26	14	32	31.931	12.224
508	37	14	35	20	32	31.931	12.224
509	37	12.5	41	23	32	31.931	12.224
510	37	10	36	19	32	31.931	12.224
511	37	12.5	34	34	32	31.931	12.224
512	37	9	38	26	32	31.931	12.224
513	37	12.5	44	18	32	31.931	12.224
514	37	11	33	34	32	31.931	12.224
515	37	11.5	43	47	32	31.931	12.224
516	37	11.5	34	41	32	31.931	12.224
517	37	12	45	41	32	31.931	12.224
518	37	13.5	37	41	32	31.931	12.224
519	37	13	34	26	32	31.931	12.224
520	37	11.5	46	26	32	31.931	12.224
521	37	11	40	26	32	31.931	12.224
522	37	13.5	54	41	32	31.931	12.224
523	37	11.5	44	18	32	31.931	12.224
524	37	11.5	42	18	32	31.931	12.224
525	37	15.5	58	46	32	31.931	12.224
526	37	13.5	53	29	32	31.931	12.224
527	37	13	52	43	32	31.931	12.224
528	37	12	51	45	32	31.931	12.224
529	37	12.5	55	34	32	31.931	12.224
530	37	13.5	48	37	32	31.931	12.224
531	37	14.5	52	41	32	31.931	12.224
532	37	15.5	56	45	32	31.931	12.224
533	38	10	34	NA	31	28.393	11.548
534	38	13.5	49	NA	31	28.393	11.548
535	38	13	52	NA	31	28.393	11.548
536	38	11	42	50	31	28.393	11.548
537	38	10	42	40	31	28.393	11.548
538	38	9.5	34	20	31	28.393	11.548
539	38	9.5	47	20	31	28.393	11.548
540	38	10	43	47	31	28.393	11.548
541	38	11	45	47	31	28.393	11.548
542	38	12	53	20	31	28.393	11.548
543	38	12	53	40	31	28.393	11.548
544	38	12	42	30	31	28.393	11.548
545	38	11	40	30	31	28.393	11.548
546	38	12.5	50	45	31	28.393	11.548
547	38	12.5	41	23	31	28.393	11.548
548	38	9	35	30	31	28.393	11.548
549	38	13	42	20	31	28.393	11.548
550	38	13	52	25	31	28.393	11.548
551	38	9	26	20	31	28.393	11.548
552	38	12	39	23	31	28.393	11.548
553	38	8	33	20	31	28.393	11.548
554	38	13.5	50	20	31	28.393	11.548
555	38	10	38	20	31	28.393	11.548
556	38	13.5	45	23	31	28.393	11.548
557	38	14.5	43	33	31	28.393	11.548
558	38	12	41	20	31	28.393	11.548
559	38	10.5	36	25	31	28.393	11.548
560	38	12	38	30	31	28.393	11.548
561	38	9.5	31	20	31	28.393	11.548
562	38	15.5	53	37	31	28.393	11.548
563	38	13.5	35	17	31	28.393	11.548
564	39	6.5	31	13	27	26.37	11.944
565	39	11	32	19	27	26.37	11.944
566	39	10	37	17	27	26.37	11.944
567	39	10.5	40	20	27	26.37	11.944
568	39	14.5	52	29	27	26.37	11.944
569	39	10	41	15	27	26.37	11.944
570	39	12	50	28	27	26.37	11.944
571	39	10.5	39	19	27	26.37	11.944
572	39	10	49	28	27	26.37	11.944
573	39	11	48	26	27	26.37	11.944
574	39	11.5	49	21	27	26.37	11.944
575	39	13.5	46	28	27	26.37	11.944
576	39	11	47	37	27	26.37	11.944
577	39	10.5	36	14	27	26.37	11.944
578	39	16.5	53	28	27	26.37	11.944
579	39	10	45	23	27	26.37	11.944
580	39	11	48	32	27	26.37	11.944
581	39	12.5	55	26	27	26.37	11.944
582	39	14.5	51	23	27	26.37	11.944
583	39	13.5	57	43	27	26.37	11.944
584	39	12	38	32	27	26.37	11.944
585	39	11	43	41	27	26.37	11.944
586	39	15	52	29	27	26.37	11.944
587	39	13	54	35	27	26.37	11.944
588	39	10.5	40	19	27	26.37	11.944
589	39	16	48	37	27	26.37	11.944
590	39	14.5	54	30	27	26.37	11.944
591	40	8	NA	34	28	33.038	12.077
592	40	11.5	41	45	28	33.038	12.077
593	40	9	27	40	28	33.038	12.077
594	40	10	30	50	28	33.038	12.077
595	40	12.5	48	50	28	33.038	12.077
596	40	12	36	40	28	33.038	12.077
597	40	9.5	30	20	28	33.038	12.077
598	40	11.5	18	30	28	33.038	12.077
599	40	12.5	34	20	28	33.038	12.077
600	40	13	49	50	28	33.038	12.077
601	40	12.5	44	20	28	33.038	12.077
602	40	15.5	50	30	28	33.038	12.077
603	40	14	51	20	28	33.038	12.077
604	40	13.5	50	20	28	33.038	12.077
605	40	14	50	30	28	33.038	12.077
606	40	12	44	30	28	33.038	12.077
607	40	13	48	40	28	33.038	12.077
608	40	9.5	26	20	28	33.038	12.077
609	40	13.5	50	30	28	33.038	12.077
610	40	15	52	30	28	33.038	12.077
611	40	12.5	46	50	28	33.038	12.077
612	40	13.5	50	40	28	33.038	12.077
613	40	11	36	30	28	33.038	12.077
614	40	11	44	40	28	33.038	12.077
615	40	11.5	35	20	28	33.038	12.077
616	40	12.5	20	30	28	33.038	12.077
617	41	9.5	NA	11	18	17.467	12.133
618	41	13.5	NA	11	18	17.467	12.133
619	41	11.5	38	20	18	17.467	12.133
620	41	13	40	20	18	17.467	12.133
621	41	12.5	31	20	18	17.467	12.133
622	41	10.5	38	30	18	17.467	12.133
623	41	11	29	20	18	17.467	12.133
624	41	15	52	20	18	17.467	12.133
625	41	15	41	20	18	17.467	12.133
626	41	13	48	20	18	17.467	12.133
627	41	15.5	50	20	18	17.467	12.133
628	41	11.5	37	15	18	17.467	12.133
629	41	11	30	10	18	17.467	12.133
630	41	10	28	15	18	17.467	12.133
631	41	9.5	30	10	18	17.467	12.133
632	42	11.5	45	28	21	31.786	11.821
633	42	11.5	25	38	21	31.786	11.821
634	42	14.5	49	43	21	31.786	11.821
635	42	12	30	40	21	31.786	11.821
636	42	12.5	35	40	21	31.786	11.821
637	42	9.5	18	30	21	31.786	11.821
638	42	11	39	20	21	31.786	11.821
639	42	10	20	20	21	31.786	11.821
640	42	14.5	47	30	21	31.786	11.821
641	42	11	34	38	21	31.786	11.821
642	42	13	45	48	21	31.786	11.821
643	42	11.5	31	20	21	31.786	11.821
644	42	11.5	38	25	21	31.786	11.821
645	42	11.5	38	25	21	31.786	11.821
646	44	10	33	11	25	18.75	11.125
647	44	11	26	15	25	18.75	11.125
648	44	11.5	43	25	25	18.75	11.125
649	44	10.5	34	18	25	18.75	11.125
650	44	11.5	39	18	25	18.75	11.125
651	44	10.5	36	10	25	18.75	11.125
652	44	12.5	46	17	25	18.75	11.125
653	44	11	38	25	25	18.75	11.125
654	44	11	25	18	25	18.75	11.125
655	44	9.5	23	18	25	18.75	11.125
656	44	12.5	38	25	25	18.75	11.125
657	44	12.5	53	25	25	18.75	11.125
658	44	10	31	17	25	18.75	11.125
659	44	10.5	45	20	25	18.75	11.125
660	44	11.5	43	20	25	18.75	11.125
661	44	12	26	18	25	18.75	11.125
