hsgrad  nonwhite    mhs fhs income  asvab   nsibs   intact
1925    Yes No  Yes Yes 10.104   1.024   2  No
1930    Yes No  Yes Yes 10.000   1.487   1  Yes
1931    Yes No  No  No  13.229  -0.285   4  No
1945    Yes No  Yes No   1.350   0.000   1  Yes
1950    Yes No  Yes No   5.774   0.747   1  Yes
1952    Yes No  Yes No  10.286  -0.041   2  Yes
1955    Yes No  Yes No   9.815   1.192   1  Yes
1963    Yes No  Yes Yes 14.434   0.989   2  Yes
1966    Yes No  No  No   7.500   1.235   3  Yes
1971    Yes No  Yes No  11.000   0.108   1  Yes
1975    Yes No  Yes Yes 12.702   0.818   4  Yes
1977    Yes No  Yes Yes 12.000  -0.365   2  Yes
1978    Yes No  Yes Yes 12.000  -0.646   2  Yes
1984    No  No  No  No   3.464  -1.267   1  No
1991    No  No  Yes No   4.830  -1.124   4  No
1992    Yes No  Yes No   4.830  -0.671   4  No
2005    Yes No  Yes No  22.361   1.196   2  Yes
2007    Yes No  Yes Yes 15.011   1.261   0  Yes
2015    No  No  No  No   0.939  -1.597   5  No
2020    Yes No  Yes No  11.431  -0.683   3  Yes
2026    No  No  No  No  11.258   0.000   0  Yes
2031    No  No  Yes No   5.292  -1.721   2  No
2032    Yes No  Yes No   5.292  -0.742   2  No
2033    Yes No  Yes Yes 13.000   0.735   1  Yes
2038    Yes No  No  No  11.547   1.546   1  Yes
2040    Yes No  Yes Yes 14.500   0.911   5  Yes
2041    Yes No  Yes Yes 12.969   0.481   5  Yes
2045    Yes No  No  No   2.256  -0.125   4  No
2051    No  No  Yes No   2.449  -1.225   3  Yes
2060    Yes No  Yes No   3.500   0.130   2  No
2067    Yes No  Yes Yes  7.750   0.244  11  No
2069    Yes No  No  No  10.206   1.481   3  Yes
2078    Yes No  No  No   3.578  -2.010   2  Yes
2085    Yes No  Yes Yes 11.000   0.350   1  Yes
2089    Yes No  Yes Yes  8.485  -0.593   6  Yes
2090    No  No  Yes Yes  8.485  -0.814   6  Yes
2091    No  No  No  No   3.266  -1.590  10  Yes
2092    No  No  No  No   3.266  -1.281  10  Yes
2107    Yes No  Yes Yes 12.500   1.305   1  Yes
2109    Yes No  Yes No  17.500   0.496   2  Yes
2110    Yes No  No  No   7.333   1.439   6  Yes
2111    Yes No  Yes No   7.333   1.082   6  Yes
2113    Yes No  No  Yes 16.547   1.686   2  Yes
2118    Yes No  Yes Yes 13.416  -0.271   3  Yes
2135    No  No  No  No   9.899  -0.987   0  No
2138    Yes No  Yes No   3.536   0.684   5  Yes
2147    Yes No  Yes No  11.000   1.368   1  Yes
2151    Yes No  Yes Yes 14.000   1.021   2  Yes
2169    Yes Yes Yes Yes 17.889   0.774   2  Yes
2172    Yes No  No  No  12.124  -0.012   1  Yes
2178    Yes No  Yes No  18.475   0.711   3  Yes
2180    Yes No  No  No   4.740   0.155   3  Yes
2182    Yes No  No  No   5.931   0.892   4  No
2187    Yes No  Yes No   9.000  -0.005   1  Yes
2188    Yes No  Yes No   9.000  -0.705   1  Yes
2202    Yes No  Yes Yes 11.500   1.154   1  Yes
2207    Yes No  No  Yes  5.657   0.805   0  No
2208    Yes Yes Yes Yes  4.919  -0.550   3  No
2209    Yes Yes Yes Yes  4.919  -0.845   3  No
2218    Yes No  No  No  17.889   0.496   2  Yes
2219    Yes No  Yes No   8.160   0.230   1  Yes
2223    Yes No  No  No   4.619   0.015   2  Yes
2238    Yes No  Yes No  15.652   1.351   2  Yes
2255    No  No  No  No   6.708  -0.982   2  Yes
2256    Yes No  Yes Yes  6.000   0.054   1  Yes
2261    No  No  No  No   3.250  -1.464   5  Yes
2266    No  Yes Yes No  13.333  -1.513   5  Yes
2291    Yes No  No  No  20.000   1.640   1  Yes
2302    Yes No  No  No   8.573   1.398   5  Yes
2306    No  No  No  No   5.367  -1.071   5  Yes
2307    No  No  No  No   5.367  -1.594   5  Yes
2309    Yes No  No  No   1.485  -0.446  10  No
2316    No  No  No  No   6.000  -0.792   6  Yes
2323    Yes No  Yes Yes  8.944  -0.200   2  Yes
2326    Yes No  No  Yes  8.497  -0.357   2  Yes
2327    Yes No  No  Yes  8.497   0.359   2  Yes
2330    Yes No  Yes Yes  8.660   0.368   1  Yes
2341    Yes No  Yes Yes  8.944   1.260   3  Yes
2344    Yes No  Yes Yes 21.000  -1.020   1  Yes
2352    No  Yes Yes No   2.683  -1.482   3  No
2361    No  No  Yes No   8.165  -1.543   6  Yes
2365    Yes No  Yes Yes 11.533  -0.234   3  No
2376    Yes No  Yes No  10.500   0.749   1  Yes
2380    Yes No  Yes Yes  5.367   0.916   3  No
2382    Yes Yes No  No   4.536  -0.034   5  Yes
2386    Yes Yes Yes No   7.603   0.949   2  No
2397    No  Yes No  No   4.693  -1.145  10  Yes
2415    Yes No  Yes No   8.032   1.423   2  No
2438    Yes No  Yes No  12.667   1.343   6  Yes
2439    Yes No  Yes No  12.667   0.767   6  Yes
2443    Yes No  No  No   8.497   0.201   2  Yes
2456    No  No  Yes Yes  7.500  -0.412   2  Yes
2465    Yes No  No  Yes 11.180   1.626   4  Yes
2466    No  No  Yes Yes  4.914  -0.678   5  Yes
2467    Yes No  Yes Yes  4.914   0.489   4  Yes
2470    Yes No  No  No   7.000   0.711   1  No
2475    Yes No  No  Yes 10.206   0.917   5  Yes
2476    No  No  No  Yes 10.206  -1.235   5  Yes
2477    Yes No  No  No   5.303   0.679   1  No
2479    Yes No  No  No   9.391   0.682   2  Yes
2497    Yes No  Yes Yes 12.800   0.932   3  No
2526    Yes No  Yes No   5.680   0.419   2  No
2527    Yes No  Yes Yes  7.647  -1.141   2  No
2540    Yes No  Yes Yes 19.963  -0.206   3  Yes
2541    Yes No  Yes No   6.750   1.519   2  Yes
2545    Yes No  No  No  13.856   1.014   0  Yes
2546    Yes No  No  No   7.778  -0.641   4  No
2547    Yes Yes Yes No   5.000  -0.273   3  Yes
2553    Yes No  Yes No   5.124   0.951   5  Yes
2557    Yes No  Yes Yes 11.180   1.490   2  Yes
2562    Yes No  No  Yes  6.546   1.183   5  Yes
2563    Yes No  Yes Yes  8.944   0.963   2  Yes
2571    Yes No  Yes Yes 10.619   1.244   1  Yes
2572    Yes No  Yes Yes 13.000   0.822   3  Yes
2574    Yes No  No  No   2.598  -0.063   3  Yes
2578    Yes No  Yes Yes  3.464  -1.012  10  Yes
2579    Yes No  Yes Yes  4.135   1.435   1  Yes
2582    Yes No  No  No   6.172  -0.892  12  Yes
2583    Yes No  No  No   6.172   0.003  12  Yes
2584    Yes No  No  No   6.172  -1.253  12  Yes
2589    Yes No  No  No   4.000   1.547   1  Yes
2594    No  No  No  No   6.500   0.068   3  Yes
2602    No  No  No  No   5.367   0.633   4  Yes
2604    Yes No  Yes Yes  7.155   0.537   2  Yes
2610    Yes No  Yes No   8.944   1.219   2  Yes
2611    Yes No  Yes No  13.500   0.856   1  Yes
2612    Yes No  Yes No  13.500  -0.432   1  Yes
2617    No  No  Yes Yes  7.217  -1.447   3  No
2630    Yes No  Yes Yes  6.081   0.785   2  No
2633    Yes No  Yes No   5.367   1.765   2  No
2642    Yes No  No  No  10.500   1.343   1  Yes
2644    Yes Yes No  No   3.578  -0.066   4  Yes
2650    Yes Yes No  No   2.177   0.710   8  Yes
2658    No  Yes No  No   2.834  -1.467   3  Yes
2666    No  No  No  No   1.500  -1.526   2  Yes
2682    No  Yes No  No   0.077  -1.545  12  Yes
2696    Yes Yes No  Yes  2.268   0.076   4  Yes
2697    Yes Yes No  No   2.828   0.158   6  Yes
2707    Yes Yes No  No   3.266  -1.180   9  Yes
2714    Yes No  Yes No  17.321   1.506   1  Yes
2724    Yes No  Yes No  11.000   1.211   1  Yes
2725    Yes No  Yes No  15.011   1.291   0  Yes
2732    Yes No  No  No   6.000   0.152   2  Yes
2755    No  No  Yes No  10.733   0.600   3  Yes
2760    Yes No  Yes Yes  3.187  -0.040   5  No
2765    Yes No  Yes Yes 10.286   0.171   2  Yes
2766    Yes No  No  No   3.130   0.926   2  Yes
2767    Yes No  No  No   3.130  -1.147   2  Yes
2772    Yes Yes Yes No   5.376  -0.867  10  Yes
2773    Yes Yes No  No   9.815  -0.112   0  Yes
2776    Yes No  No  No   8.132   1.015   5  Yes
2780    Yes No  No  No   0.805  -1.620   2  Yes
2783    Yes No  Yes No   1.097   0.129   2  Yes
2787    Yes No  No  No   6.954   0.971   2  Yes
2800    Yes No  Yes Yes 19.706   1.526   1  Yes
2803    Yes Yes Yes Yes  5.814  -0.608   2  Yes
2805    Yes Yes Yes No   9.899  -0.886   5  No
2811    Yes No  No  Yes  8.981  -0.597   3  Yes
2815    Yes No  Yes Yes  6.803   0.219   4  Yes
2830    Yes No  No  Yes  4.572   0.523   3  Yes
2832    Yes No  No  No   8.250   0.138   0  No
2837    No  No  Yes No  12.750  -0.358   1  Yes
2838    Yes No  Yes No   6.708   1.530   2  Yes
2845    Yes No  No  No   5.367   1.766   3  Yes
2851    Yes No  No  No  20.125   1.519   2  Yes
2857    Yes No  Yes Yes 17.889  -0.065   6  Yes
2858    Yes No  Yes No  17.889   1.125   6  Yes
2860    Yes No  Yes No  11.339   1.048   2  Yes
2861    Yes No  No  No  10.000   1.756   1  Yes
2866    Yes No  No  Yes  4.899   0.381   5  Yes
2870    Yes No  No  No  12.247   1.184   5  Yes
2871    Yes No  No  No  12.247   0.441   5  Yes
2895    Yes No  No  No  20.412   0.357   3  Yes
2896    Yes No  No  No  20.412   1.391   3  Yes
2903    Yes No  No  No  43.301   1.517   2  Yes
2905    Yes No  No  No  23.702   1.275   2  Yes
2906    Yes No  No  No  23.702   1.396   2  Yes
2912    Yes No  No  Yes  2.000  -0.175   3  No
2937    Yes No  No  Yes 10.062   0.685   2  Yes
2941    Yes No  No  No  33.541   1.481   2  Yes
2944    Yes No  No  No  10.000   0.377   3  Yes
2945    Yes No  Yes No  13.472   0.515   3  Yes
2950    Yes No  No  No  13.676   0.912   5  Yes
2953    No  No  No  Yes  3.688  -0.106   1  No
2954    Yes No  Yes No   5.669  -1.750   4  Yes
2956    Yes No  No  No  14.289   0.737   3  Yes
2957    Yes No  No  No  14.289   1.169   3  Yes
2962    Yes No  Yes No  11.339   0.746   5  Yes
2963    Yes No  No  No  12.500   0.814   1  Yes
2966    No  No  No  No   3.189  -1.765   4  No
2967    Yes No  No  No   3.511  -0.869   4  No
2971    No  Yes No  No   4.750  -1.775   6  Yes
2973    Yes No  No  Yes 14.500  -0.161   2  Yes
2974    No  No  Yes Yes  6.736  -0.612   4  Yes
2975    Yes No  Yes Yes  4.472   1.311   2  Yes
2976    Yes No  Yes No   8.655   0.573   3  Yes
2977    Yes No  Yes Yes  8.000  -0.205   6  Yes
2981    Yes No  Yes Yes 13.064   0.321   3  Yes
2982    Yes No  No  No  24.495   1.343   3  No
2984    Yes No  No  No  24.495   1.731   3  Yes
2985    Yes No  No  No  24.495   1.386   3  No
2998    Yes No  No  No  17.324   0.778   4  Yes
3005    Yes Yes Yes No  13.856   0.239   1  Yes
